code,CH4AR4_IPC1_TOTAL_NET_HISTORY_UNFCCC2019BI
entity,CH4
category,IPC1
name_category,Energy
type,NET
class,TOTAL
descr,GHG data submitted to the UNFCCC by Parties: non-AnnexI Parties only. See http://unfccc.int/di/DetailedByParty.do
note,Read in by JG and RG
source,UNFCCC2019BI
scenario,HISTORY
datatype,CountryYearMatrix
tablekind,usr
family,emi
subsource,UNFCCC_2019B.csv
unit,MtCO2eq
gwp,AR4
iso3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
ISR,NaN,NaN,NaN,NaN,NaN,NaN,0.088775,NaN,NaN,NaN,0.086568,NaN,NaN,0.084504,0.08337,0.083883,0.085746,0.089479,0.090868,0.089919,0.093184,0.094933,0.10104,0.095604,0.096419,0.1017,NaN
JOR,NaN,NaN,NaN,NaN,0.038446,NaN,NaN,NaN,NaN,NaN,0.15397,NaN,NaN,NaN,NaN,NaN,0.025,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
KEN,NaN,NaN,NaN,NaN,NaN,1.9265,NaN,NaN,NaN,NaN,2.3,NaN,NaN,NaN,NaN,2.35,NaN,NaN,NaN,NaN,4.5765,NaN,NaN,NaN,NaN,NaN,NaN
KGZ,1.3935,1.2554,1.0592,0.90931,0.72833,0.61349,0.48836,0.37352,0.29659,0.23198,0.39114,0.54273,0.90012,1.2604,1.6322,1.9845,1.8174,1.8024,1.9787,1.3393,1.1643,NaN,NaN,NaN,NaN,NaN,NaN
KOR,9.4458,8.2515,6.7653,5.6608,4.817,4.2593,4.1855,4.2483,3.9722,4.277,4.5228,4.6212,4.7705,4.9188,5.247,5.4223,5.5965,5.9245,6.0228,5.7583,6.5293,6.9368,7.3233,7.4888,7.072,NaN,NaN
LBN,NaN,NaN,NaN,NaN,0.074616,NaN,NaN,NaN,NaN,NaN,0.0405,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.048,0.05275,0.052952,NaN,NaN,NaN
LCA,NaN,NaN,NaN,NaN,0.0020137,NaN,NaN,NaN,NaN,NaN,0.003265,NaN,NaN,NaN,NaN,0.003095,NaN,NaN,NaN,NaN,0.0029625,NaN,NaN,NaN,NaN,NaN,NaN
MAR,NaN,NaN,NaN,NaN,1.6,NaN,NaN,NaN,NaN,NaN,2.421,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.6664,NaN,4.7763,NaN,NaN,NaN,NaN
MDA,1.1471,1.0247,0.81875,0.72419,0.70349,0.7363,0.81385,0.65228,0.60485,0.59817,0.64225,0.63352,0.69315,0.73654,0.78157,0.83409,0.73674,0.77003,0.76799,0.6446,0.66451,0.75803,0.75393,0.73523,NaN,NaN,NaN
MDG,NaN,NaN,NaN,NaN,0.81375,NaN,NaN,NaN,NaN,NaN,1.055,NaN,NaN,NaN,NaN,0.83,1.7448,1.8118,0.92643,0.97893,1.0448,NaN,NaN,NaN,NaN,NaN,NaN
MEX,22.0368,22.4109,22.1538,22.9952,23.1492,24.1865,29.6177,33.3737,34.9065,31.4123,32.1995,30.3539,29.315,30.9424,29.4985,30.1448,31.8007,36.3857,49.1757,46.1013,40.3861,38.4084,33.4587,38.7986,NaN,NaN,NaN
MHL,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0038437,NaN,NaN,NaN,NaN,0.004623,NaN,NaN,NaN,NaN,0.0082503,NaN,NaN,NaN,NaN,NaN,NaN
MKD,0.27116,0.25606,0.25458,0.26112,0.26278,0.2645,0.25283,0.24216,0.27186,0.24431,0.28266,0.29222,0.27984,0.33625,0.329,0.311,0.31675,0.30775,0.3585,0.35075,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MLI,NaN,NaN,NaN,NaN,NaN,0.024807,NaN,NaN,NaN,NaN,0.86875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.09595,NaN,NaN,NaN,NaN,NaN,NaN
MNE,0.091975,0.08735,0.086175,0.081525,0.0624,0.05845,0.07225,0.07565,0.075725,0.07565,0.071225,0.0645,0.08125,0.0915,0.09025,0.0855,0.09175,0.083,0.0965,0.0805,0.103,0.10333,NaN,NaN,NaN,NaN,NaN
MNG,0.5175,0.4825,0.4675,0.445,0.4475,0.4475,0.47,0.4775,0.4825,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.385,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MUS,NaN,NaN,NaN,NaN,NaN,0.012775,NaN,NaN,NaN,NaN,0.01168,0.01168,0.010625,0.011038,0.010905,0.010935,0.00875,NaN,NaN,NaN,NaN,NaN,NaN,0.012,NaN,NaN,NaN
MYS,7.9404,9.3788,10.0335,13.6403,14.9746,16.8934,19.6829,22.2937,22.6765,24.0397,26.4115,27.1003,26.68,26.9543,29.3847,32.6412,32.6039,33.0491,34.3805,32.8498,36.1892,35.5345,NaN,NaN,NaN,NaN,NaN
NER,0.3415,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NIU,NaN,NaN,NaN,NaN,1.4693e-05,NaN,NaN,NaN,NaN,NaN,5.25e-06,NaN,NaN,NaN,NaN,5.4881e-06,4.5357e-06,4.7738e-06,4.2976e-06,4.4286e-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NRU,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5725e-05,NaN,NaN,0.00013545,NaN,NaN,NaN,3.5275e-05,NaN,NaN,6.4537e-05,NaN,NaN,NaN,NaN,NaN,NaN
PER,NaN,NaN,NaN,NaN,1.3295,NaN,NaN,NaN,NaN,NaN,1.194,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.1959,NaN,2.6286,NaN,NaN,NaN,NaN
PRK,24.7,NaN,NaN,NaN,18.65,NaN,NaN,NaN,NaN,NaN,10.25,NaN,10.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PRY,NaN,NaN,NaN,NaN,0.73225,NaN,NaN,NaN,NaN,NaN,0.37425,NaN,NaN,NaN,NaN,0.707,NaN,NaN,NaN,NaN,NaN,0.64875,0.6545,NaN,NaN,NaN,NaN
SAU,2.1897,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.6405,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.7042,NaN,12.8933,NaN,NaN,NaN,NaN
TGO,NaN,NaN,0.345,0.3575,0.3775,0.434,0.3875,0.4,0.47,NaN,0.566,NaN,NaN,NaN,NaN,0.64175,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TJK,1.1,1.075,1.0225,0.975,0.525,0.35,0.175,0.175,0.075,0.125,0.15,0.175,0.125,0.175,0.075,0.1,0.1,0.075,0.075,0.05,0.025,NaN,NaN,NaN,NaN,NaN,NaN
TKM,NaN,NaN,NaN,NaN,19.2145,NaN,NaN,NaN,NaN,NaN,26.0637,NaN,NaN,NaN,32.4237,NaN,NaN,NaN,NaN,NaN,23.8899,NaN,NaN,NaN,NaN,NaN,NaN
URY,0.1075,NaN,NaN,NaN,0.1075,NaN,NaN,NaN,0.0222,NaN,0.11,NaN,0.018457,NaN,0.11,NaN,0.14203,NaN,0.14375,NaN,0.125,NaN,0.1275,NaN,0.1286,NaN,NaN
UZB,52.396,54.5158,54.1964,85.9069,70.1706,72.1045,74.4519,65.1975,60.9508,66.6223,80.1431,83.491,84.3887,86.07,84.5507,86.9639,101.501,101.8655,104.1881,85.8735,81.2792,81.3358,81.5003,NaN,NaN,NaN,NaN
VCT,0.0002325,NaN,NaN,NaN,0.00028,NaN,NaN,0.0003125,NaN,NaN,0.0009,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
VNM,NaN,NaN,NaN,NaN,4.1818,NaN,NaN,NaN,NaN,NaN,7.714,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.9982,NaN,NaN,23.3978,NaN,NaN,NaN
YEM,NaN,NaN,NaN,NaN,NaN,0.15075,NaN,NaN,NaN,NaN,1.15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.6688,NaN,1.8396,NaN,NaN,NaN,NaN
ZWE,NaN,NaN,NaN,NaN,1.9298,NaN,NaN,NaN,NaN,NaN,1.7,NaN,NaN,NaN,NaN,NaN,0.2858,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
