code,CO2AR4_IPCMLULUCF_TOTAL_NET_HISTORY_EDGAR42COMPI
entity,CO2
category,IPCMLULUCF
name_category,LULUCF
type,NET
class,TOTAL
descr,Result of CO2_CAT5F+CAT5D_TOTAL_NET_HISTORY_EDGAR42FT2010P+CO2_CAT5A_TOTAL_NET_HISTORY_EDGAR42FT2010P - regarding information just missing in one of the tables as zero; interpolation of NaN values by 'perform_interpolation_on_table'; downscaled using POP_DEMOGR_TOTAL_NET_HISTORY_UN2017P
note,calculated by the function combine_tables_varying_in_one_sheet_as by CC and JN from PRIMAPRenamed as composite source from CO2_CAT5_TOTAL_NET_HISTORY_EDGAR42FT2010P! | Pad values of country AFG... || Pad values of country AGO... || Pad values of country ALB... || Pad values of country ARE... || Pad values of country ARG... || Pad values of country ARM... || Pad values of country AUS... || Pad values of country AUT... || Pad values of country AZE... || Pad values of country BDI... || Pad values of country BEL... || Pad values of country BEN... || Pad values of country BFA... || Pad values of country BGD... || Pad values of country BGR... || Pad values of country BHS... || Pad values of country BIH... || Pad values of country BLR... || Pad values of country BLZ... || Pad values of country BMU... || Pad values of country BOL... || Pad values of country BRA... || Pad values of country BRN... || Pad values of country BTN... || Pad values of country BWA... || Pad values of country CAF... || Pad values of country CAN... || Pad values of country CHE... || Pad values of country CHL... || Pad values of country CHN... || Pad values of country CIV... || Pad values of country CMR... || Pad values of country COD... || Pad values of country COG... || Pad values of country COK... || Pad values of country COL... || Pad values of country CRI... || Pad values of country CUB... || Pad values of country CYM... || Pad values of country CZE... || Pad values of country DEU... || Pad values of country DJI... || Pad values of country DMA... || Pad values of country DNK... || Pad values of country DOM... || Pad values of country DZA... || Pad values of country ECU... || Pad values of country EGY... || Pad values of country ESP... || Pad values of country EST... || Pad values of country ETH... || Pad values of country FIN... || Pad values of country FJI... || Pad values of country FLK... || Pad values of country FRA... || Pad values of country FRO... || Pad values of country FSM... || Pad values of country GAB... || Pad values of country GBR... || Pad values of country GEO... || Pad values of country GHA... || Pad values of country GIN... || Pad values of country GLP... || Pad values of country GMB... || Pad values of country GNB... || Pad values of country GNQ... || Pad values of country GRC... || Pad values of country GTM... || Pad values of country GUF... || Pad values of country GUM... || Pad values of country GUY... || Pad values of country HND... || Pad values of country HRV... || Pad values of country HTI... || Pad values of country HUN... || Pad values of country IDN... || Pad values of country IND... || Pad values of country IRL... || Pad values of country IRN... || Pad values of country IRQ... || Pad values of country ISL... || Pad values of country ISR... || Pad values of country ITA... || Pad values of country JAM... || Pad values of country JPN... || Pad values of country KAZ... || Pad values of country KEN... || Pad values of country KGZ... || Pad values of country KHM... || Pad values of country KIR... || Pad values of country KOR... || Pad values of country LAO... || Pad values of country LBN... || Pad values of country LBR... || Pad values of country LBY... || Pad values of country LKA... || Pad values of country LSO... || Pad values of country LTU... || Pad values of country LUX... || Pad values of country LVA... || Pad values of country MAR... || Pad values of country MDA... || Pad values of country MDG... || Pad values of country MDV... || Pad values of country MEX... || Pad values of country MKD... || Pad values of country MLI... || Pad values of country MMR... || Pad values of country MNG... || Pad values of country MOZ... || Pad values of country MRT... || Pad values of country MTQ... || Pad values of country MUS... || Pad values of country MWI... || Pad values of country MYS... || Pad values of country NAM... || Pad values of country NER... || Pad values of country NGA... || Pad values of country NIC... || Pad values of country NLD... || Pad values of country NPL... || Pad values of country NZL... || Pad values of country OMN... || Pad values of country PAK... || Pad values of country PAN... || Pad values of country PER... || Pad values of country PHL... || Pad values of country PNG... || Pad values of country POL... || Pad values of country PRI... || Pad values of country PRK... || Pad values of country PRT... || Pad values of country PRY... || Pad values of country PYF... || Pad values of country REU... || Pad values of country ROU... || Pad values of country RUS... || Pad values of country RWA... || Pad values of country SDN... || Pad values of country SEN... || Pad values of country SGP... || Pad values of country SLB... || Pad values of country SLE... || Pad values of country SLV... || Pad values of country SOM... || Pad values of country STP... || Pad values of country SUR... || Pad values of country SVK... || Pad values of country SVN... || Pad values of country SWE... || Pad values of country SWZ... || Pad values of country SYR... || Pad values of country TCD... || Pad values of country TGO... || Pad values of country THA... || Pad values of country TKM... || Pad values of country TON... || Pad values of country TTO... || Pad values of country TUN... || Pad values of country TUR... || Pad values of country TZA... || Pad values of country UGA... || Pad values of country UKR... || Pad values of country URY... || Pad values of country USA... || Pad values of country UZB... || Pad values of country VEN... || Pad values of country VNM... || Pad values of country WSM... || Pad values of country YEM... || Pad values of country ZAF... || Pad values of country ZMB... || Pad values of country ZWE... || Pad values of country SRBMNE... ||
source,EDGAR42COMPI
scenario,HISTORY
datatype,CountryYearMatrix
tablekind,csg
family,emi
subsource,v4.2_FT2010_CO2_excl_short-cycle_org_C_2000.csv; v4.2_FT2010_CO2_excl_short-cycle_org_C_2001.csv; v4.2_FT2010_CO2_excl_short-cycle_org_C_2002.csv; v4.2_FT2010_CO2_excl_short-cycle_org_C_2003.csv; v4.2_FT2010_CO2_excl_short-cycle_org_C_2004.csv; v4.2_FT2010_CO2_excl_short-cycle_org_C_2005.csv; v4.2_FT2010_CO2_excl_short-cycle_org_C_2006.csv; v4.2_FT2010_CO2_excl_short-cycle_org_C_2007.csv; v4.2_FT2010_CO2_excl_short-cycle_org_C_2008.csv; v4.2_FT2010_CO2_excl_short-cycle_org_C_2009.csv; v4.2_FT2010_CO2_excl_short-cycle_org_C_2010.csv
unit,MtCO2eq
gwp,AR4
iso3,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
BGR,0,0.0108,0.0216,0.0324,0.0432,0.054,0.0648,0.0756,0.0864,0.0972,0.108,0.1188,0.1296,0.1404,0.1512,0.162,0.1728,0.1836,0.1944,0.2052,0.216,0.21383,0.21164,0.20944,0.20724,0.20501,0.20278,0.20053,0.19827,0.196,0.19372,0.19142,0.18911,0.18679,0.18446,0.18211,0.17975,0.17738,0.175,0.17222,0.16944
BHS,0,0.006,0.012,0.018,0.024,0.03,0.036,0.042,0.048,0.054,0.06,0.066,0.072,0.078,0.084,0.09,0.096,0.102,0.108,0.114,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12
BIH,0,0.0175,0.035,0.0525,0.07,0.0875,0.105,0.1225,0.14,0.1575,0.175,0.1925,0.21,0.2275,0.245,0.2625,0.28,0.2975,0.315,0.3325,0.35,0.34819,0.34639,0.34458,0.34278,0.34097,0.33917,0.33736,0.33555,0.33375,0.33194,0.33014,0.32833,0.32653,0.32472,0.32292,0.32111,0.31931,0.3175,0.3157,0.31389
BLR,41.515,41.515,41.515,41.515,41.515,41.515,41.515,41.515,41.515,41.515,41.515,41.515,41.515,41.515,41.515,41.515,41.515,41.515,41.515,41.515,41.515,41.515,41.515,41.515,41.515,41.515,41.515,41.515,41.515,41.515,41.515,41.515,41.515,41.515,41.515,41.515,41.515,41.515,41.515,41.515,41.515
BLZ,0,0.002,0.004,0.006,0.008,0.01,0.012,0.014,0.016,0.018,0.02,0.022,0.024,0.026,0.028,0.03,0.032,0.034,0.036,0.038,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
BOL,140.7808,99.2284,120.0309,100.3323,107.2563,120.9122,139.663,107.8647,130.036,137.1857,145.9918,132.5297,139.6814,142.377,112.2373,118.3505,125.4991,153.2631,128.5106,129.754,149.1269,140.8407,149.3354,163.8369,115.5685,127.2714,131.7249,132.9687,117.5703,298.6031,131.1443,126.2937,157.2203,117.5712,490.9903,219.3131,103.7715,98.2536,93.2369,92.0721,97.2361
BRA,840.647,592.8676,717.8292,600.6978,642.6944,724.928,837.6426,648.1892,781.3158,824.6824,877.919,798.0636,841.4102,858.1428,678.6064,715.796,759.1326,925.6652,778.2758,786.3014,902.685,853.147,903.922,990.591,702.055,772.037,798.661,806.09,973.394,821.267,602.26,709.637,747.534,909.782,1114.505,1458.045,536.4999,484.4822,445.664,427.2957,523.692
BRN,7.6244,4.8248,6.179,9.0791,4.9285,4.8342,4.6591,7.3844,9.0446,7.8111,9.3738,8.1403,8.0628,15.5204,8.8763,7.4479,8.8188,11.9309,9.343,6.3686,10.7341,9.5865,14.139,11.5431,10.1067,11.5674,8.6829,8.5978,46.1001,10.4719,7.4742,7.8143,7.6852,7.2886,6.6492,12.0826,6.5971,6.0777,5.5131,5.5231,5.5331
BTN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44861,2.3367,1.9475,1.0855,0.7274,0.47359,0.50506,0.53633,2.4102,0.61345,1.0423,2.3571,6.6144
BWA,0,0.02,0.04,0.06,0.08,0.1,0.12,0.14,0.16,0.18,0.2,0.22,0.24,0.26,0.28,0.3,0.32,0.34,0.36,0.38,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
CAF,123.7211,120.8051,119.4026,128.3705,102.9547,109.0116,111.227,128.8294,110.7667,119.8605,146.4372,123.5928,141.6609,132.3387,131.5281,120.223,121.2745,126.1708,117.5499,126.9923,158.1147,127.8091,147.5084,137.599,137.0184,151.4721,147.6257,150.4241,128.6043,122.4835,132.5781,169.9896,144.4079,135.0808,126.0664,128.9161,300.324,459.612,347.349,298.66,328.554
CAN,34.9209,40.6601,12.6713,12.739,19.6715,23.3205,54.7277,33.6039,7.7046,78.5102,116.7835,120.7301,40.2109,40.8744,15.8709,19.8182,23.4687,24.7296,31.9599,153.8064,24.3352,41.348,22.2466,51.4961,154.769,162.826,35.976,12.3966,238.544,100.7109,25.0831,14.0063,50.0535,123.637,127.092,41.6537,10.714,9.9984,4.7085,2.1751,7.3228
CHE,1.3024,0.60293,0.54909,1.0642,1.087,1.013,0.59202,1.2965,1.3676,0.99917,1.1873,1.9642,0.86999,1.8324,0.97616,1.4345,1.1307,1.3108,1.4626,2.1911,1.98,1.7057,1.375,1.4434,2.2295,1.3222,0.98744,1.1606,0.79095,0.29763,0.39651,0.30587,0.3224,0.3339,0.2976,0.32328,0.31089,0.30753,0.30417,0.29762,0.29763
CHL,0.81475,0.40576,0.61895,0.43218,0.51204,0.65117,0.83473,0.51464,0.72782,0.79288,0.85793,0.71559,0.78064,0.80126,0.51078,0.59066,0.68533,0.94297,0.69693,0.70273,0.8863,0.79881,0.88906,1.0089,0.53629,0.67096,0.73157,0.74774,0.16365,0.34068,0.19405,0.17072,0.14464,0.19188,0.18461,0.18206,0.16111,0.37789,0.32659,0.34447,0.23306
CHN,3.9194,4.1419,7.2513,11.4396,10.7178,12.8224,14.9404,19.0783,22.3827,23.7145,26.9988,28.3305,30.5629,37.8969,35.4648,36.7089,39.768,44.037,44.337,44.3711,49.5139,50.4584,55.3318,55.1881,55.8139,58.4158,57.953,59.3996,60.0157,62.5592,62.0298,63.5663,64.5183,66.0764,67.7724,68.2387,68.689,69.58,70.6597,71.9915,73.7247
CIV,100.5492,98.2257,97.1329,104.4698,83.8663,88.8361,90.6845,105.0375,90.4065,97.8427,119.4912,100.9756,115.7072,108.1814,107.5661,98.43,99.3303,103.3606,96.3996,104.1244,129.4646,104.8473,120.8678,112.829,112.3631,124.1208,121.0086,123.291,116.6503,102.3683,138.0822,128.82,127.9979,98.8688,96.954,114.1122,117.7067,126.7692,135.3411,118.8253,133.3455
CMR,48.706,47.5752,47.0408,50.5928,40.6086,43.0092,43.901,50.8505,43.7565,47.3557,57.8373,48.8648,55.9993,52.3465,52.0458,47.6167,48.0499,49.9971,46.6195,50.3578,62.6274,50.6999,58.4528,54.5514,54.3248,60.0145,58.5005,59.5996,47.2298,40.1063,55.1853,51.7442,41.3362,36.4544,37.5645,34.4725,38.3014,61.7767,50.145,44.6629,42.4685
COD,1325.008,796.313,843.639,894.508,788.942,916.264,815.032,929.799,978.8,1273.136,1072.351,946.215,1062.779,1069.998,853.195,861.297,797.377,1075.722,782.465,865.24,1188.024,1003.1502,1557.8764,928.5477,1065.4589,1073.4761,924.1603,880.6186,962.3718,802.202,912.5512,855.5614,918.7227,809.5549,898.4941,833.6693,1155.1836,1908.1818,935.34,940.6582,969.0414
COG,55.5303,33.3704,35.3517,37.4818,33.0536,38.3877,34.1429,38.951,41.0027,53.3345,44.9166,39.631,44.5131,44.8134,35.7265,36.0619,33.3826,45.0449,32.7532,36.2203,49.7443,41.9946,65.2409,38.869,44.6049,44.9383,38.6812,36.8533,36.0971,28.8852,43.1261,55.4193,32.9293,35.335,41.4332,37.5601,25.6802,44.244,26.7456,25.8529,27.3629
COK,0,0.0006,0.0012,0.0018,0.0024,0.003,0.0036,0.0042,0.0048,0.0054,0.006,0.0066,0.0072,0.0078,0.0084,0.009,0.0096,0.0102,0.0108,0.0114,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012
COL,48.8188,34.4116,41.6279,34.7978,37.202,41.9396,48.4413,37.4182,45.1085,47.5893,50.6451,45.9797,48.4604,49.3955,38.9488,41.0704,43.5493,53.1788,44.5974,45.0306,51.751,48.8812,51.8312,56.8608,40.1271,44.1891,45.7353,46.1696,32.9934,27.697,41.0836,31.9816,30.9786,27.8779,34.5683,24.197,29.7672,34.9854,36.2653,32.8434,22.8771
CRI,0,0.002,0.004,0.006,0.008,0.01,0.012,0.014,0.016,0.018,0.02,0.022,0.024,0.026,0.028,0.03,0.032,0.034,0.036,0.038,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
CUB,0.3666,0.61816,0.76881,0.91946,1.1777,1.3351,1.3815,1.6432,1.8005,2.2909,2.2532,2.1953,2.9009,2.6412,2.9096,3.0703,3.3421,3.6138,3.7779,3.7234,3.8673,4.2157,3.9251,4.1591,4.077,4.0722,4.1987,3.8979,3.4324,3.4074,3.3758,3.3441,3.3024,3.2572,3.2121,3.1805,3.1488,3.0936,3.062,3.0673,3.0726
CZE,0.484,0.484,0.484,0.484,0.484,0.484,0.484,0.484,0.484,0.484,0.484,0.484,0.484,0.484,0.484,0.484,0.484,0.484,0.484,0.484,0.484,0.484,0.484,0.484,0.484,0.484,0.484,0.484,0.484,0.484,0.484,0.484,0.484,0.484,0.484,0.484,0.484,0.484,0.484,0.484,0.484
DEU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.104,14.208,21.312,28.416,35.52,35.3208,35.1211,34.9208,34.72,34.5186,34.3167,34.1142,33.9111,33.7075,33.5033,33.2986,33.0933,32.8875,32.6811,32.4742,32.2667,32.0586,31.85,31.605,31.36
DJI,0,0.003,0.006,0.009,0.012,0.015,0.018,0.021,0.024,0.027,0.03,0.033,0.036,0.039,0.042,0.045,0.048,0.051,0.054,0.057,0.06,0.060667,0.061333,0.062,0.062667,0.063333,0.064,0.064667,0.065333,0.066,0.066667,0.067333,0.068,0.068667,0.069333,0.07,0.070667,0.071333,0.072,0.072667,0.073333
DMA,0,0.0002,0.0004,0.0006,0.0008,0.001,0.0012,0.0014,0.0016,0.0018,0.002,0.0022,0.0024,0.0026,0.0028,0.003,0.0032,0.0034,0.0036,0.0038,0.004,0.0039778,0.0039556,0.0039333,0.0039111,0.0038889,0.0038667,0.0038444,0.0038222,0.0038,0.0037778,0.0037556,0.0037333,0.0037111,0.0036889,0.0036667,0.0036444,0.0036222,0.0036,0.0035778,0.0035556
DNK,0,0.15178,0.30355,0.45532,0.6071,0.75887,0.91065,1.0624,1.2142,1.366,1.5177,1.6695,1.8213,1.9731,2.1248,2.2766,2.4284,2.5802,2.7319,2.8837,3.0355,3.0202,3.0049,2.9897,2.9744,2.9591,2.9438,2.9286,2.9133,2.898,2.8827,2.8674,2.8522,2.8369,2.8216,2.8063,2.7911,2.7758,2.7605,2.7452,2.7299
DOM,0.16498,0.21908,0.226,0.23293,0.28704,0.29733,0.25371,0.31118,0.32147,0.48337,0.40266,0.31524,0.57486,0.39309,0.45391,0.4642,0.52503,0.58586,0.59951,0.51208,0.51564,0.67084,0.53626,0.64094,0.6007,0.59756,0.65169,0.51375,0.29836,0.28513,0.26854,0.25194,0.23199,0.20867,0.18535,0.16876,0.15216,0.12548,0.10889,0.10911,0.10933
