code,CH4AR4_IPCMAG_TOTAL_NET_HISTORY_UNFCCC2019BI
entity,CH4
category,IPCMAG
name_category,Agriculture
type,NET
class,TOTAL
descr,GHG data submitted to the UNFCCC by Parties: non-AnnexI Parties only. See http://unfccc.int/di/DetailedByParty.do
note,Read in by JG and RG
source,UNFCCC2019BI
scenario,HISTORY
datatype,CountryYearMatrix
tablekind,usr
family,emi
subsource,UNFCCC_2019B.csv
unit,MtCO2eq
gwp,AR4
iso3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
IDN,69.8355,80.054,80.4398,80.8168,81.096,NaN,NaN,NaN,NaN,NaN,60.4763,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
IND,NaN,NaN,NaN,NaN,354.375,NaN,NaN,NaN,NaN,NaN,352.2075,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,365.3195,NaN,NaN,NaN,NaN,NaN,NaN
ISR,NaN,NaN,NaN,NaN,NaN,NaN,1.0605,NaN,NaN,NaN,1.0954,NaN,NaN,0.99396,1.0055,1.0456,1.1065,1.1089,1.1467,1.1141,1.1435,0.93737,0.94724,0.9748,0.98168,1.0081,NaN
KEN,NaN,NaN,NaN,NaN,NaN,16.925,NaN,NaN,NaN,NaN,15.525,NaN,NaN,NaN,NaN,18.025,NaN,NaN,NaN,NaN,20.375,NaN,NaN,NaN,NaN,NaN,NaN
KGZ,3.6518,3.5931,3.3838,3.1193,2.5923,2.4145,2.3065,2.3804,2.427,2.4832,2.5188,2.5461,2.6007,2.5888,2.6591,2.7401,2.8471,2.9664,3.1047,3.2549,3.3257,NaN,NaN,NaN,NaN,NaN,NaN
KIR,NaN,NaN,NaN,NaN,0.00058035,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0029626,0.0031135,0.0025438,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
KOR,17.4163,17.4515,17.4025,17.5107,17.4315,17.2883,17.3792,17.249,17.0787,16.388,16.0287,15.762,15.669,15.4545,15.296,15.1618,15.165,15.228,15.2695,15.4192,15.5885,15.0793,15.1868,15.011,14.677,NaN,NaN
LBN,NaN,NaN,NaN,NaN,0.19946,NaN,NaN,NaN,NaN,NaN,0.165,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.28425,0.283,0.36375,NaN,NaN,NaN
LCA,NaN,NaN,NaN,NaN,0.012274,NaN,NaN,NaN,NaN,NaN,0.013725,NaN,NaN,NaN,NaN,0.012973,NaN,NaN,NaN,NaN,0.012687,NaN,NaN,NaN,NaN,NaN,NaN
MAR,NaN,NaN,NaN,NaN,4.8,NaN,NaN,NaN,NaN,NaN,5.5388,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.94,NaN,6.3925,NaN,NaN,NaN,NaN
MDA,2.5583,2.3577,2.2902,2.1077,2.0511,1.8001,1.6545,1.4191,1.3752,1.2675,1.1762,1.1968,1.2186,1.1148,1.039,1.0077,0.97899,0.78413,0.74867,0.78425,0.78453,0.73887,0.70044,0.70921,NaN,NaN,NaN
MDG,NaN,NaN,NaN,NaN,8.1685,NaN,NaN,NaN,NaN,NaN,7.1025,NaN,NaN,NaN,NaN,11.275,11.515,11.435,11.5275,11.65,11.7725,NaN,NaN,NaN,NaN,NaN,NaN
MEX,47.1984,49.0642,47.7801,46.7752,46.6619,45.942,45.5186,46.1617,46.3862,45.1376,46.6234,45.6484,47.6585,47.7678,47.593,47.1255,47.4528,47.8241,48.2071,48.793,49.2201,49.3544,48.171,48.7666,NaN,NaN,NaN
MKD,0.90182,0.88786,0.90431,0.90751,0.90436,0.88881,0.8552,0.8253,0.74237,0.74842,0.73219,0.72842,0.71095,0.7215,0.73675,0.696,0.726,0.65925,0.66075,0.61225,NaN,NaN,NaN,NaN,NaN,NaN,NaN
