code,KYOTOGHGAR4_IPCMLULUCF_TOTAL_NET_HISTORY_CRF2018
entity,KYOTOGHGAR4
category,IPCMLULUCF
name_category,LULUCF
type,NET
class,TOTAL
source,CRF2018
descr,Result of CH4+N2O_IPCMLULUCF_TOTAL_NET_HISTORY_CRF2018+CO2_IPCMLULUCF_TOTAL_NET_HISTORY_CRF2018 - regarding information just missing in one of the tables as zero
note,calculated by the function combine_tables_varying_in_one_sheet_as by CC and JN from PRIMAP
scenario,HISTORY
datatype,CountryYearMatrix
tablekind,usr
family,emi
subsource,Summary1.As2; Table10s2; Table10s3; Table10s4; Table4
unit,MtCO2eq
gwp,AR4
iso3,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
FIN,NaN,NaN,NaN,NaN,-14.0198,-26.5195,-20.499,-21.4095,-14.5887,-13.6821,-22.3542,-19.1851,-17.5925,-20.3857,-22.4162,-23.9214,-24.4693,-24.9858,-26.3317,-27.7074,-33.9746,-26.4698,-25.376,-38.1097,-27.5312,-29.0055,-32.718,-27.2649,-30.864,-28.758,-27.0565
FRA,NaN,NaN,NaN,NaN,-25.8469,-24.4929,-21.853,-27.362,-25.4367,-27.664,-31.2557,-31.9688,-35.9371,-37.6099,-21.844,-33.1182,-40.6642,-45.1099,-46.3201,-47.9813,-51.2661,-49.5584,-48.0846,-43.5035,-37.5512,-34.0832,-40.6541,-42.185,-42.4099,-40.8295,-36.5787
GBR,NaN,NaN,NaN,NaN,-2.128,-2.4426,-3.698,-4.5647,-4.7773,-4.9843,-5.6036,-6.6766,-7.0488,-7.1864,-7.8731,-8.9427,-9.4235,-10.3027,-11.3773,-11.3825,-11.9689,-13.1148,-12.5312,-13.2214,-14.4401,-14.971,-12.6016,-13.5552,-14.4097,-15.0877,-14.5432
GRC,NaN,NaN,NaN,NaN,-2.119,-2.3157,-2.389,-2.8506,-2.5888,-2.8746,-2.2972,-1.944,-1.7566,-2.5388,-1.936,-2.407,-2.7669,-2.4995,-2.4564,-3.2783,-3.2965,-1.459,-2.9784,-3.032,-3.0384,-3.1267,-3.0882,-1.5777,-0.13096,-3.6917,-3.3088
HRV,NaN,NaN,NaN,NaN,-6.6136,-7.8353,-8.0074,-8.3603,-8.5147,-9.0533,-8.7401,-8.2128,-8.0633,-8.5538,-7.4041,-7.8967,-8.097,-7.392,-7.4696,-7.651,-7.4188,-6.821,-7.1327,-7.1468,-7.0105,-5.9894,-5.7135,-6.2681,-6.2925,-5.3708,-5.4222
HUN,-2.3677,-2.842,-3.0742,-2.0255,-2.5191,-1.8982,-2.567,-4.9701,-5.7587,-5.4717,-1.7615,-2.088,-3.3548,-1.1494,-0.40931,-1.996,-1.3733,-3.8818,-2.9669,-5.3534,-3.1061,-3.4423,-5.0645,-3.6278,-4.0124,-3.6306,-4.3788,-3.3747,-4.8636,-5.3568,-4.2677
IRL,NaN,NaN,NaN,NaN,6.3985,6.2668,5.9768,5.1756,5.6985,6.2814,6.2606,5.0402,5.0845,4.9914,6.3114,6.8421,7.1068,7.1508,5.4166,6.1493,7.0398,5.2844,4.3875,3.914,5.0344,4.9244,5.6373,5.132,5.2635,5.0714,4.9449
ISL,NaN,NaN,NaN,NaN,10.0931,10.095,10.0819,10.0703,10.0674,10.0405,10.0407,10.0422,10.05,10.0636,10.0894,10.1063,10.1337,10.1376,10.1363,10.1458,10.2157,10.2654,10.3154,10.3287,10.2834,10.268,10.2788,10.2805,10.2714,10.2476,10.2221
ITA,NaN,NaN,NaN,NaN,-3.0428,-17.1216,-14.9909,-0.86958,-13.7439,-21.5739,-22.1575,-12.7369,-9.7342,-18.769,-15.6546,-23.5714,-28.7563,-20.9517,-26.767,-27.5087,-28.364,-5.0449,-24.1718,-25.464,-30.6403,-25.0487,-17.763,-32.9305,-33.4252,-35.326,-29.9269
JPN,NaN,NaN,NaN,NaN,-62.4459,-70.4876,-73.5623,-76.5876,-76.2808,-77.2441,-81.8835,-84.2554,-85.6643,-85.955,-87.8223,-88.382,-89.8492,-100.0486,-96.5027,-91.3165,-85.9271,-82.4517,-69.68,-68.0368,-69.8142,-70.2107,-72.8461,-66.9177,-64.9795,-60.3146,-56.7712
