code,N2OAR4_IPC4_TOTAL_NET_HISTORY_UNFCCC2019BI
entity,N2O
category,IPC4
name_category,Waste
type,NET
class,TOTAL
descr,GHG data submitted to the UNFCCC by Parties: non-AnnexI Parties only. See http://unfccc.int/di/DetailedByParty.do
note,Read in by JG and RG
source,UNFCCC2019BI
scenario,HISTORY
datatype,CountryYearMatrix
tablekind,usr
family,emi
subsource,UNFCCC_2019B.csv
unit,MtCO2eq
gwp,AR4
iso3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
LBN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.07748,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.14006,0.14304,0.14084,NaN,NaN,NaN
LCA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0028012,NaN,NaN,NaN,NaN,0.0030992,NaN,NaN,NaN,NaN,0.0036356,NaN,NaN,NaN,NaN,NaN,NaN
MAR,NaN,NaN,NaN,NaN,0.298,NaN,NaN,NaN,NaN,NaN,0.47084,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.4446,NaN,0.8046,NaN,NaN,NaN,NaN
MDA,0.10153,0.092082,0.085019,0.079775,0.07742,0.078404,0.077212,0.078612,0.079417,0.077689,0.079506,0.080669,0.082784,0.079894,0.082159,0.086003,0.084364,0.080222,0.080818,0.078374,0.08189,0.080341,0.081771,0.082099,NaN,NaN,NaN
MEX,1.2991,1.3496,1.397,1.441,1.5623,1.5863,1.6085,1.6609,1.6986,1.7494,1.8176,1.8697,1.9022,1.9083,1.9294,1.9554,2.0089,2.0528,2.0727,2.0809,2.137,2.2,2.2184,2.1157,NaN,NaN,NaN
MHL,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0011562,NaN,NaN,NaN,NaN,0.0010013,NaN,NaN,NaN,NaN,0.0011175,NaN,NaN,NaN,NaN,NaN,NaN
MKD,0.051511,0.05179,0.052222,0.052476,0.049196,0.049936,0.050368,0.050723,0.051003,0.051231,0.05146,0.051689,0.05137,0.042402,0.042402,0.042402,0.042402,0.045382,0.042411,0.042459,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MUS,NaN,NaN,NaN,NaN,NaN,0.21516,NaN,NaN,NaN,NaN,0.02834,0.025747,0.027923,0.024496,0.019668,0.024943,0.02086,NaN,NaN,NaN,NaN,NaN,NaN,0.02086,NaN,NaN,NaN
MYS,NaN,0.32184,0.34866,0.37548,0.39634,0.4172,0.43508,0.45594,0.4619,0.47978,0.48276,0.49766,0.50958,0.5215,0.53938,0.55726,0.57514,0.58408,0.58706,0.59898,0.6109,0.62878,NaN,NaN,NaN,NaN,NaN
NER,0.026969,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.298,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.298,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NRU,NaN,NaN,NaN,NaN,0.000298,NaN,NaN,NaN,NaN,NaN,0.00020085,NaN,NaN,0.00021307,NaN,NaN,NaN,0.00022946,NaN,NaN,0.00017105,NaN,NaN,NaN,NaN,NaN,NaN
PER,NaN,NaN,NaN,NaN,0.3427,NaN,NaN,NaN,NaN,NaN,0.45661,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.4923,NaN,0.55178,NaN,NaN,NaN,NaN
PRK,0.298,NaN,NaN,NaN,0.298,NaN,NaN,NaN,NaN,NaN,0.298,NaN,0.298,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PRY,NaN,NaN,NaN,NaN,0.09238,NaN,NaN,NaN,NaN,NaN,0.4619,NaN,NaN,NaN,NaN,0.11324,NaN,NaN,NaN,NaN,NaN,0.149,0.15496,NaN,NaN,NaN,NaN
SAU,0.66931,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.85824,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1183,NaN,1.2039,NaN,NaN,NaN,NaN
SGP,NaN,NaN,NaN,NaN,0.05662,NaN,NaN,NaN,NaN,NaN,0.13997,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.12845,NaN,0.10057,NaN,NaN,NaN,NaN
TCD,NaN,NaN,NaN,0.11324,NaN,NaN,NaN,NaN,0.11026,0.11622,0.12218,0.13112,0.13708,0.14602,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TGO,NaN,NaN,0.00298,0.00298,0.00298,0.00298,0.00298,0.00298,0.00298,NaN,0.0745,NaN,NaN,NaN,NaN,0.09238,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
URY,0.0596,NaN,NaN,NaN,0.0596,NaN,NaN,NaN,0.08046,NaN,0.0596,NaN,0.08046,NaN,0.0596,NaN,0.0745,NaN,0.0745,NaN,0.0596,NaN,0.0596,NaN,0.063206,NaN,NaN
UZB,0.46007,0.46997,0.48113,0.49218,0.50179,0.51093,0.52083,0.48843,0.4966,0.46046,0.4669,0.47276,0.49603,0.51939,0.52515,0.52957,0.53602,0.54371,0.55255,0.56197,0.57802,0.59379,0.60196,NaN,NaN,NaN,NaN
VCT,0.0014602,NaN,NaN,NaN,0.0015496,NaN,NaN,0.0015496,NaN,NaN,0.001788,NaN,NaN,NaN,0.002086,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
VNM,NaN,NaN,NaN,NaN,1.0907,NaN,NaN,NaN,NaN,NaN,0.92678,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.7664,NaN,NaN,1.937,NaN,NaN,NaN
YEM,NaN,NaN,NaN,NaN,NaN,0.23244,NaN,NaN,NaN,NaN,0.01788,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.298,NaN,0.298,NaN,NaN,NaN,NaN
