code,N2OAR4_IPC1_TOTAL_NET_HISTORY_UNFCCC2019BI
entity,N2O
category,IPC1
name_category,Energy
type,NET
class,TOTAL
descr,GHG data submitted to the UNFCCC by Parties: non-AnnexI Parties only. See http://unfccc.int/di/DetailedByParty.do
note,Read in by JG and RG
source,UNFCCC2019BI
scenario,HISTORY
datatype,CountryYearMatrix
tablekind,usr
family,emi
subsource,UNFCCC_2019B.csv
unit,MtCO2eq
gwp,AR4
iso3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
IND,NaN,NaN,NaN,NaN,3.3972,NaN,NaN,NaN,NaN,NaN,11.5207,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.4351,NaN,NaN,NaN,NaN,NaN,NaN
ISR,NaN,NaN,NaN,NaN,NaN,NaN,0.17254,NaN,NaN,NaN,0.20635,NaN,NaN,0.21966,0.21587,0.21324,0.21239,0.22038,0.213,0.20372,0.20362,0.21007,0.23786,0.19621,0.18496,0.18513,NaN
KEN,NaN,NaN,NaN,NaN,NaN,0.50362,NaN,NaN,NaN,NaN,0.57812,NaN,NaN,NaN,NaN,0.5811,NaN,NaN,NaN,NaN,0.67646,NaN,NaN,NaN,NaN,NaN,NaN
KGZ,0.05966,0.050779,0.042078,0.033227,0.025032,0.016241,0.016181,0.017075,0.015943,0.016509,0.016271,0.015496,0.016688,0.016837,0.01785,0.017999,0.020264,0.022112,0.023482,0.022737,0.021694,NaN,NaN,NaN,NaN,NaN,NaN
KOR,0.745,0.7748,0.8344,0.91486,0.95062,1.0102,1.0728,1.1324,1.0311,1.1026,1.1801,1.2307,1.3112,1.347,1.3917,1.4006,1.4155,1.5049,2.2827,1.943,2.2678,2.6462,3.7339,3.6863,3.7906,NaN,NaN
LBN,NaN,NaN,NaN,NaN,0.034473,NaN,NaN,NaN,NaN,NaN,0.03278,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.16688,0.17284,0.17262,NaN,NaN,NaN
LCA,NaN,NaN,NaN,NaN,0.00075096,NaN,NaN,NaN,NaN,NaN,0.001192,NaN,NaN,NaN,NaN,0.0012814,NaN,NaN,NaN,NaN,0.0014304,NaN,NaN,NaN,NaN,NaN,NaN
MAR,NaN,NaN,NaN,NaN,0.298,NaN,NaN,NaN,NaN,NaN,0.28608,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.60802,NaN,0.63176,NaN,NaN,NaN,NaN
MDA,0.18476,0.16137,0.10555,0.087672,0.077987,0.05963,0.057186,0.047054,0.041899,0.027625,0.029353,0.031439,0.037459,0.044134,0.043448,0.044104,0.046786,0.044551,0.04762,0.043061,0.052418,0.056322,0.051345,0.055637,NaN,NaN,NaN
MDG,NaN,NaN,NaN,NaN,0.09536,NaN,NaN,NaN,NaN,NaN,0.0894,NaN,NaN,NaN,NaN,0.1788,0.41249,0.43441,0.2236,0.23023,0.24225,NaN,NaN,NaN,NaN,NaN,NaN
