code,KYOTOGHGAR4_IPCMLULUCF_TOTAL_NET_HISTORY_BUR3IPCC2006I
entity,KYOTOGHGAR4
category,IPCMLULUCF
name_category,LULUCF
type,NET
class,TOTAL
descr,Result of N2O+CH4_IPCMLULUCF_TOTAL_NET_HISTORY_BUR3IPCC2006IX+CO2_IPCMLULUCF_TOTAL_NET_HISTORY_BUR3IPCC2006IX - regarding information just missing in one of the tables as zero
note,calculated by the function combine_tables_varying_in_one_sheet_as by CC and JN from PRIMAP
source,BUR3IPCC2006I
scenario,HISTORY
datatype,CountryYearMatrix
tablekind,usr
family,emi
subsource,AND_BUR3_IPCC2006_2019.csv; NAM_BUR3_IPCC2006_2019.csv; ZAF_BUR3_IPCC2006_inventory_2019.csv; ZAF_BUR3_IPCC2006_trends_2019.csv
unit,MtCO2eq
gwp,AR4
iso3,1990,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
AND,-0.13001,NaN,-0.13072,NaN,NaN,NaN,NaN,-0.11408,NaN,NaN,NaN,NaN,-0.11622,NaN,NaN,NaN,NaN,-0.13661,-0.13576,-0.13587,-0.13526,-0.13527,-0.13538,-0.13545,-0.1356
EARTH,-0.13001,-87.9239,-89.8619,-91.5558,-93.3978,-95.2569,-97.1334,-99.4456,-99.2657,-103.7401,-104.1819,-106.0028,-103.8925,-100.1725,-97.4085,-106.0304,-94.1805,-98.5545,-95.8148,-94.8521,-112.7298,-109.8002,-0.13538,-0.13545,-0.1356
NAM,NaN,-87.9239,-89.7312,-91.5558,-93.3978,-95.2569,-97.1334,-99.3315,-99.2657,-103.7401,-104.1819,-106.0028,-103.7763,-100.1725,-97.4085,-106.0304,-94.1805,-98.4179,-95.679,-94.7162,-112.5945,-109.6649,NaN,NaN,NaN
