code,CO2AR4_IPCMLULUCF_TOTAL_NET_HISTORY_UNFCCC2019BI
entity,CO2
category,IPCMLULUCF
name_category,LULUCF
type,NET
class,TOTAL
descr,GHG data submitted to the UNFCCC by Parties: non-AnnexI Parties only. See http://unfccc.int/di/DetailedByParty.do
note,Read in by JG and RG
source,UNFCCC2019BI
scenario,HISTORY
datatype,CountryYearMatrix
tablekind,usr
family,emi
subsource,UNFCCC_2019B.csv
unit,MtCO2eq
gwp,AR4
iso3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
IDN,188.1388,256.5469,195.7388,50.0598,155.6245,NaN,NaN,NaN,NaN,NaN,821.1734,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
IND,NaN,NaN,NaN,NaN,14.142,NaN,NaN,NaN,NaN,NaN,-236.2574,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-256.3251,NaN,NaN,NaN,NaN,NaN,NaN
ISR,NaN,NaN,NaN,NaN,NaN,NaN,-0.37,NaN,NaN,NaN,-0.21267,NaN,NaN,-0.28628,-0.27025,-0.37559,-0.39599,-0.38479,-0.34654,-0.36717,-0.41108,-0.41434,-0.3258,-0.2925,-0.16611,-0.19017,NaN
JOR,NaN,NaN,NaN,NaN,-3.5763,NaN,NaN,NaN,NaN,NaN,0.73899,NaN,NaN,NaN,NaN,NaN,0.86833,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
KEN,NaN,NaN,NaN,NaN,NaN,9.707,NaN,NaN,NaN,NaN,20.572,NaN,NaN,NaN,NaN,17.524,NaN,NaN,NaN,NaN,21.09,NaN,NaN,NaN,NaN,NaN,NaN
KGZ,0.038944,0.031677,0.012492,-0.022803,-0.11247,-0.14838,-0.16982,-0.13474,-0.18745,-0.23878,-0.23191,-0.24465,-0.25704,-0.25666,-0.27193,-0.27068,-0.23265,-0.23089,-0.23229,-0.23672,-0.2458,NaN,NaN,NaN,NaN,NaN,NaN
KOR,-34.5237,-33.7217,-31.7666,-33.8518,-32.1503,-35.465,-39.9931,-48.5942,-56.3016,-59.3967,-58.9873,-56.7838,-56.0451,-57.253,-55.2005,-56.6532,-57.2614,-58.0768,-57.5234,-54.7203,-54.5684,-48.7605,-44.9305,-42.9664,-42.6758,NaN,NaN
LBN,NaN,NaN,NaN,NaN,0.20041,NaN,NaN,NaN,NaN,NaN,-0.14387,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-3.2008,-3.037,-3.3691,NaN,NaN,NaN
LCA,NaN,NaN,NaN,NaN,-0.3521,NaN,NaN,NaN,NaN,NaN,-0.086791,NaN,NaN,NaN,NaN,-0.086792,NaN,NaN,NaN,NaN,-0.12287,NaN,NaN,NaN,NaN,NaN,NaN
MAR,NaN,NaN,NaN,NaN,-4.511,NaN,NaN,NaN,NaN,NaN,3.637,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.5037,NaN,4.4355,NaN,NaN,NaN,NaN
MDA,-5.8899,-5.3278,-4.387,-1.5042,-2.166,-1.032,-1.1685,-0.14004,-0.72555,-1.1377,-1.3933,-0.75156,-0.53302,-1.5548,-0.1036,-0.37573,-0.63951,-3.069,-0.060493,-1.2855,-0.65733,-0.42993,-2.4728,-0.099351,NaN,NaN,NaN
MDG,NaN,NaN,NaN,NaN,-240.168,NaN,NaN,NaN,NaN,NaN,-233.5685,NaN,NaN,NaN,NaN,-158.1817,-169.0108,-174.7453,-171.1796,-167.8057,-96.5206,NaN,NaN,NaN,NaN,NaN,NaN
MEX,51.3433,51.3433,51.3433,51.3433,51.3433,51.3433,50.5362,46.3721,63.5967,49.3631,49.4472,46.0786,45.5711,48.3665,42.1884,47.0501,46.4502,26.7013,28.8089,30.7726,25.7258,50.9206,30.8503,31.4616,NaN,NaN,NaN
MKD,-1.3623,-1.6502,-1.4426,-1.2695,-1.6401,-1.8628,-1.8106,-2.1501,-2.3148,-2.1746,-1.2362,-2.3874,-2.6216,-0.98594,-0.99647,-1.1052,-0.93966,-0.29818,-0.79795,-1.1601,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MLI,NaN,NaN,NaN,NaN,NaN,-10.8289,NaN,NaN,NaN,NaN,-65.6461,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-245.177,NaN,NaN,NaN,NaN,NaN,NaN
MNE,-1.6346,-1.5092,-1.8266,-2.0668,-2.0341,-1.7193,-1.9395,-2.0242,-2.3856,-2.3178,-2.1541,-2.1498,-2.3094,-2.1583,-1.9635,-2.1992,-1.8646,-2.3643,-2.2697,-2.4053,-2.2628,-2.1669,NaN,NaN,NaN,NaN,NaN
MNG,5.486,3.564,2.982,2.076,0.4,-0.287,-0.674,-0.785,-0.333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.0826,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MUS,NaN,NaN,NaN,NaN,NaN,-0.22136,NaN,NaN,NaN,NaN,-0.08202,-0.21791,-0.18384,-0.19974,-0.19768,-0.17669,-0.52569,NaN,NaN,NaN,NaN,NaN,NaN,-0.49071,NaN,NaN,NaN
MYS,-237.4713,-214.5204,-181.939,-226.3062,-87.1451,-227.3847,-201.6544,-243.873,-240.9944,-262.6488,-228.5677,-235.3393,-255.6792,-261.3651,-246.1045,-232.1278,-256.5186,-231.1632,-256.0937,-251.403,-262.7022,-260.4567,NaN,NaN,NaN,NaN,NaN
NER,6.0825,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-16.916,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-34.613,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PER,NaN,NaN,NaN,NaN,37.1968,NaN,NaN,NaN,NaN,NaN,56.519,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,40.9161,NaN,82.66,NaN,NaN,NaN,NaN
PRK,-13.727,NaN,NaN,NaN,-13.37,NaN,NaN,NaN,NaN,NaN,-16.632,NaN,-16.88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PRY,NaN,NaN,NaN,NaN,67.5769,NaN,NaN,NaN,NaN,NaN,66.0922,NaN,NaN,NaN,NaN,73.2629,NaN,NaN,NaN,NaN,NaN,87.3996,119.6397,NaN,NaN,NaN,NaN
SAU,-15.24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-14.1685,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-9.0494,NaN,-9.151,NaN,NaN,NaN,NaN
TCD,NaN,NaN,NaN,-46.4414,NaN,NaN,NaN,NaN,-38.1139,-26.6035,-45.319,-44.5522,-43.773,-37.6939,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TGO,NaN,NaN,13.7423,16.64,18.1889,19.9641,22.6864,27.3033,27.7959,NaN,7.5481,NaN,NaN,NaN,NaN,10.6663,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TJK,-1.916,-1.896,-1.889,-1.899,-1.887,-1.877,-1.883,-1.873,-1.862,-1.854,-1.877,-1.882,-1.914,-1.93,-2.038,-2.064,-2.086,-2.09,-2.087,-2.09,-2.092,NaN,NaN,NaN,NaN,NaN,NaN
URY,0.7069,NaN,NaN,NaN,-1.8919,NaN,NaN,NaN,-6.2581,NaN,-12.3735,NaN,-11.1527,NaN,-11.051,NaN,-8.7359,NaN,-4.5204,NaN,-6.5303,NaN,-8.6329,NaN,-4.0211,NaN,NaN
UZB,-1.5664,-1.6672,-1.8396,-1.5951,-1.3521,-1.397,-1.6467,-1.6482,-1.3485,-1.3977,-1.0184,0.0305,-0.2961,-0.5853,-0.9522,0.4179,0.1088,0.5435,-2.2352,-2.5615,-3.0647,-2.5193,-2.8575,NaN,NaN,NaN,NaN
VCT,-0.13375,NaN,NaN,NaN,-0.13375,NaN,NaN,-0.13375,NaN,NaN,-0.028515,NaN,NaN,NaN,-0.034731,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
VNM,NaN,NaN,NaN,NaN,15.224,NaN,NaN,NaN,NaN,NaN,11.8602,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-20.3476,NaN,NaN,-34.3595,NaN,NaN,NaN
YEM,NaN,NaN,NaN,NaN,NaN,-9.6706,NaN,NaN,NaN,NaN,-1.5013,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.887,NaN,-1.54,NaN,NaN,NaN,NaN
ZWE,NaN,NaN,NaN,NaN,-62.269,NaN,NaN,NaN,NaN,NaN,-88.0346,NaN,NaN,NaN,NaN,NaN,-83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
