code,N2OAR4_IPCM0EL_TOTAL_NET_HISTORY_UNFCCC2019BI
entity,N2O
category,IPCM0EL
name_category,NatTotalExclLULUCF
type,NET
class,TOTAL
descr,GHG data submitted to the UNFCCC by Parties: non-AnnexI Parties only. See http://unfccc.int/di/DetailedByParty.do
note,Read in by JG and RG
source,UNFCCC2019BI
scenario,HISTORY
datatype,CountryYearMatrix
tablekind,usr
family,emi
subsource,UNFCCC_2019B.csv
unit,MtCO2eq
gwp,AR4
iso3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
GUY,0.21456,0.21456,0.21456,0.21456,0.21456,0.21456,0.21456,0.21456,0.21456,0.22946,0.22946,0.22946,0.22946,0.22946,0.22946,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
IDN,17.3198,17.278,18.2376,17.9932,17.4598,NaN,NaN,NaN,NaN,NaN,27.3722,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
IND,NaN,NaN,NaN,NaN,53.1632,NaN,NaN,NaN,NaN,NaN,76.7122,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,109.9382,NaN,NaN,NaN,NaN,NaN,NaN
ISR,NaN,NaN,NaN,NaN,NaN,NaN,1.8247,NaN,NaN,NaN,2.1213,NaN,NaN,2.5058,2.6303,2.6318,2.6613,2.8387,2.6924,2.4701,2.5207,2.062,2.3833,2.3656,2.4752,2.4221,NaN
JOR,NaN,NaN,NaN,NaN,0.074801,NaN,NaN,NaN,NaN,NaN,0.15946,NaN,NaN,NaN,NaN,NaN,0.298,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
KEN,NaN,NaN,NaN,NaN,NaN,10.6535,NaN,NaN,NaN,NaN,10.1916,NaN,NaN,NaN,NaN,11.926,NaN,NaN,NaN,NaN,13.2848,NaN,NaN,NaN,NaN,NaN,NaN
KGZ,2.4069,2.5098,2.5203,1.6349,1.277,1.1246,1.119,1.3155,1.3064,1.3202,1.3144,1.3564,1.3838,1.3985,1.3965,1.4408,1.453,1.49,1.5082,1.6152,1.6335,NaN,NaN,NaN,NaN,NaN,NaN
KIR,NaN,NaN,NaN,NaN,2.0175e-09,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.18374,0.1931,0.10035,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
KOR,8.5705,9.0175,11.5028,11.9498,12.7067,13.6573,14.5662,15.4453,15.8,16.2589,16.8906,17.0247,16.8072,19.963,22.4811,21.0358,20.2938,11.9021,12.1197,12.1226,12.808,12.8319,14.2027,14.4053,14.2951,NaN,NaN
LBN,NaN,NaN,NaN,NaN,0.93289,NaN,NaN,NaN,NaN,NaN,1.0013,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.91784,0.92976,0.96906,NaN,NaN,NaN
LCA,NaN,NaN,NaN,NaN,0.015851,NaN,NaN,NaN,NaN,NaN,0.030962,NaN,NaN,NaN,NaN,0.027327,NaN,NaN,NaN,NaN,0.031409,NaN,NaN,NaN,NaN,NaN,NaN
MAR,NaN,NaN,NaN,NaN,8.344,NaN,NaN,NaN,NaN,NaN,16.4019,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.4128,NaN,16.8728,NaN,NaN,NaN,NaN
MDA,3.0884,2.8587,2.2729,2.2404,1.7317,1.8418,1.721,1.8494,1.6558,1.5036,1.3603,1.5056,1.5477,1.3345,1.5736,1.5839,1.5185,0.94543,1.5432,1.332,1.5202,1.5458,1.144,1.6095,NaN,NaN,NaN
MDG,NaN,NaN,NaN,NaN,12.5279,NaN,NaN,NaN,NaN,NaN,19.8766,NaN,NaN,NaN,NaN,12.9928,13.6586,13.5941,13.5949,13.7803,13.9443,NaN,NaN,NaN,NaN,NaN,NaN
MEX,30.1369,29.0614,28.6866,29.23,29.4146,28.9038,29.3164,29.9143,31.0388,30.6712,30.738,30.871,29.763,30.0955,30.2664,29.8162,29.9853,31.2502,30.4233,30.6091,31.4711,31.1597,31.7976,33.4743,NaN,NaN,NaN
MHL,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001943,NaN,NaN,NaN,NaN,0.0019489,NaN,NaN,NaN,NaN,0.0026969,NaN,NaN,NaN,NaN,NaN,NaN
MKD,1.2033,1.1713,1.172,1.1488,1.2746,1.1279,1.0161,0.93244,0.90009,0.81212,0.82718,0.76611,0.54656,1.1718,1.2135,1.0496,1.1152,0.99898,0.90959,0.8709,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MLI,NaN,NaN,NaN,NaN,NaN,0.53295,NaN,NaN,NaN,NaN,1.7046,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.0287,NaN,NaN,NaN,NaN,NaN,NaN
MNE,0.36803,0.37101,0.34866,0.32929,0.3278,0.33376,0.34002,0.3284,0.31767,0.31171,0.30396,0.28906,0.2831,0.298,0.29502,0.23542,0.23393,0.21754,0.22052,0.1943,0.21754,0.21516,NaN,NaN,NaN,NaN,NaN
MNG,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.44104,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MUS,NaN,NaN,NaN,NaN,NaN,0.55041,NaN,NaN,NaN,NaN,0.29112,0.26427,0.27541,0.28843,0.27943,0.18455,0.06854,NaN,NaN,NaN,NaN,NaN,NaN,0.0745,NaN,NaN,NaN
MYS,5.0587,5.581,6.2042,6.9408,6.7903,6.2385,6.3003,8.0203,8.547,8.4128,9.0898,7.5233,8.7915,9.0071,10.2566,11.3325,10.456,11.5133,13.5514,14.1527,14.4677,13.0489,NaN,NaN,NaN,NaN,NaN
NER,0.78592,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.768,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.086,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NIU,NaN,NaN,NaN,NaN,1.1831e-05,NaN,NaN,NaN,NaN,NaN,1.9235e-05,NaN,NaN,NaN,NaN,2.3081e-05,3.2693e-05,4.4229e-05,2.0197e-05,1.9245e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NRU,NaN,NaN,NaN,NaN,0.000298,NaN,NaN,NaN,NaN,NaN,0.00058021,NaN,NaN,0.00065441,NaN,NaN,NaN,0.00033823,NaN,NaN,0.00042741,NaN,NaN,NaN,NaN,NaN,NaN
PER,NaN,NaN,NaN,NaN,13.0077,NaN,NaN,NaN,NaN,NaN,10.6886,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.2505,NaN,13.6474,NaN,NaN,NaN,NaN
PRK,3.874,NaN,NaN,NaN,4.47,NaN,NaN,NaN,NaN,NaN,0.894,NaN,0.894,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PRY,NaN,NaN,NaN,NaN,9.1069,NaN,NaN,NaN,NaN,NaN,7.9864,NaN,NaN,NaN,NaN,13.34,NaN,NaN,NaN,NaN,NaN,19.1256,19.5071,NaN,NaN,NaN,NaN
SAU,10.0709,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.3317,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.271,NaN,11.5833,NaN,NaN,NaN,NaN
SGP,NaN,NaN,NaN,NaN,0.05662,NaN,NaN,NaN,NaN,NaN,0.3219,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.42164,NaN,0.39573,NaN,NaN,NaN,NaN
TCD,NaN,NaN,NaN,0.7439,NaN,NaN,NaN,NaN,17.1857,15.9162,15.6927,16.983,15.0281,14.3934,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TGO,NaN,NaN,2.536,3.132,2.6552,2.6755,3.43,3.5522,3.6118,NaN,2.2559,NaN,NaN,NaN,NaN,2.7833,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TJK,2.682,2.98,2.682,2.682,2.384,2.086,2.086,2.086,2.086,1.788,1.788,1.788,2.086,2.086,2.384,2.384,2.086,2.086,1.788,2.682,2.682,NaN,NaN,NaN,NaN,NaN,NaN
TKM,NaN,NaN,NaN,NaN,0.87383,NaN,NaN,NaN,NaN,NaN,1.3388,NaN,NaN,NaN,1.712,NaN,NaN,NaN,NaN,NaN,1.5795,NaN,NaN,NaN,NaN,NaN,NaN
URY,6.9732,NaN,NaN,NaN,7.5096,NaN,NaN,NaN,10.1844,NaN,7.2173,NaN,9.8221,NaN,7.962,NaN,11.0982,NaN,11.4143,NaN,8.139,NaN,9.39,NaN,8.8459,NaN,NaN
UZB,12.3437,12.8377,12.8137,12.2541,11.5269,10.986,10.8926,10.7011,10.762,10.4381,10.2687,9.9502,10.184,10.0251,10.034,9.0565,8.7177,8.7658,9.17,9.6025,10.0739,10.5424,10.77,NaN,NaN,NaN,NaN
VCT,0.0016092,NaN,NaN,NaN,0.0017284,NaN,NaN,0.0017582,NaN,NaN,0.003576,NaN,NaN,NaN,0.004172,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
VNM,NaN,NaN,NaN,NaN,9.7833,NaN,NaN,NaN,NaN,NaN,15.7553,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.4306,NaN,NaN,33.3045,NaN,NaN,NaN
YEM,NaN,NaN,NaN,NaN,NaN,4.4804,NaN,NaN,NaN,NaN,3.6237,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.6041,NaN,6.6484,NaN,NaN,NaN,NaN
ZWE,NaN,NaN,NaN,NaN,2.8668,NaN,NaN,NaN,NaN,NaN,34.7945,NaN,NaN,NaN,NaN,NaN,4.639,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
