code,CH4AR4_IPCMLULUCF_TOTAL_NET_HISTORY_BUR2IPCC2006I
entity,CH4
category,IPCMLULUCF
name_category,LULUCF
type,NET
class,TOTAL
descr,Result of CH4_IPC3D_TOTAL_NET_HISTORY_BUR2IPCC2006IX+CH4_IPC3B_TOTAL_NET_HISTORY_BUR2IPCC2006IX - regarding information just missing in one of the tables as zero
note,calculated by the function combine_tables_varying_in_one_sheet_as by CC and JN from PRIMAP
source,BUR2IPCC2006I
scenario,HISTORY
datatype,CountryYearMatrix
tablekind,usr
family,emi
subsource,AND_BUR2_IPCC2006_2016.csv; COL_BUR2_IPCC2006_2018.csv; IDN_BUR2_IPCC2006_inventory_2018.csv; MEX_BUR2_IPCC2006_2018.csv; MKD_BUR2_IPCC2006_2017.csv; NAM_BUR2_IPCC2006_2016.csv; ZAF_BUR2_IPCC2006_2017.csv
unit,MtCO2eq
gwp,AR4
iso3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
COL,0.02025,0.0205,0.019525,0.0217,0.022325,0.02225,0.0225,0.003125,0.0016425,0.0016425,0.016975,0.018925,0.0224,0.019025,0.0185,0.018625,0.0191,0.021875,0.01995,0.01625,0.0041,0.003275,0.002725,0.00275,0.00275,NaN,NaN
EARTH,0.022903,0.0229,0.021723,0.024648,0.02398,0.02449,0.02404,0.0058125,0.004115,0.0040325,1.0496,1.0381,1.0651,0.96612,1.5671,1.6355,1.5174,1.5317,1.5465,1.7803,1.7254,1.8142,2.023,3.4209,2.573,7.9051,2.6075
IDN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.56514,0.56593,0.60514,0.52432,1.1403,1.2231,1.1191,1.1441,1.1615,1.4141,1.3861,1.4904,1.7133,3.1262,2.5701,7.9045,2.6071
MDA,0.0026525,0.0024,0.0021975,0.0029475,0.001655,0.00224,0.00154,0.0026875,0.0024725,0.00239,0.0009125,0.00127,0.000265,6e-05,0.0002,0.0002475,0.00025,0.0015175,0.00077,0.000315,0.00014,0.00016,0.0011675,0.0008725,0.0001175,0.0006525,0.0003575
ZAF,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.46658,0.45196,0.43734,0.42272,0.40811,0.39349,0.37887,0.36425,0.36425,0.34963,0.33502,0.3204,0.30578,0.29116,NaN,NaN,NaN
