code,KYOTOGHGAR4_IPCMLULUCF_TOTAL_NET_HISTORY_EDGAR42COMPI
entity,KYOTOGHGAR4
category,IPCMLULUCF
name_category,LULUCF
type,NET
class,TOTAL
descr,Result of N2O+CH4_CAT5_TOTAL_NET_HISTORY_EDGAR42COMPX+CO2_CAT5_TOTAL_NET_HISTORY_EDGAR42COMPX - regarding information just missing in one of the tables as zero; interpolation of NaN values by 'perform_interpolation_on_table'; downscaled using POP_DEMOGR_TOTAL_NET_HISTORY_UN2017P
note,calculated by the function combine_tables_varying_in_one_sheet_as by CC and JN from PRIMAP
source,EDGAR42COMPI
scenario,HISTORY
datatype,CountryYearMatrix
tablekind,usr
family,emi
subsource,v4.2_FT2010_CH4_tot_2000_2010.xls; v4.2_FT2010_CO2_excl_short-cycle_org_C_2000.csv; v4.2_FT2010_CO2_excl_short-cycle_org_C_2001.csv; v4.2_FT2010_CO2_excl_short-cycle_org_C_2002.csv; v4.2_FT2010_CO2_excl_short-cycle_org_C_2003.csv; v4.2_FT2010_CO2_excl_short-cycle_org_C_2004.csv; v4.2_FT2010_CO2_excl_short-cycle_org_C_2005.csv; v4.2_FT2010_CO2_excl_short-cycle_org_C_2006.csv; v4.2_FT2010_CO2_excl_short-cycle_org_C_2007.csv; v4.2_FT2010_CO2_excl_short-cycle_org_C_2008.csv; v4.2_FT2010_CO2_excl_short-cycle_org_C_2009.csv; v4.2_FT2010_CO2_excl_short-cycle_org_C_2010.csv; v4.2_FT2010_N2O_tot_2000_2010_fixed.xls
unit,MtCO2eq
gwp,AR4
iso3,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
BEN,31.5955,30.8271,30.4815,32.9719,26.0486,27.7741,28.4919,33.3604,28.4563,30.9878,38.3078,32.0962,37.0834,34.576,34.398,31.3456,31.6624,33.0183,30.6675,33.2856,41.7636,33.4081,38.7793,36.056,35.8679,39.8049,38.7622,39.5017,27.1341,32.2748,27.1219,27.5893,31.3697,22.762,21.17,21.5933,20.721,26.8503,35.9436,35.2945,33.974
BFA,0,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.11,0.12,0.13,0.14,0.15,0.16,0.17,0.18,0.19,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
BGD,9.1324,9.2188,9.3018,9.3883,9.4747,9.5577,9.6337,9.8598,9.9358,10.0118,10.0878,10.1638,10.2398,10.3158,12.8378,10.6144,10.6904,10.7664,10.8424,10.9184,10.9944,10.9944,10.9944,10.9944,10.9944,10.9944,10.9944,10.9944,11.0637,20.2777,7.6006,14.4369,8.4357,8.8136,7.83,7.7156,5.7777,5.8354,5.479,5.5461,5.512
BGR,0.092498,0.052564,0.058483,0.10481,0.11618,0.12067,0.10051,0.16031,0.17511,0.15868,0.1818,0.24676,0.17874,0.25688,0.20577,0.24808,0.23624,0.25878,0.27932,0.34084,0.33558,0.31391,0.28822,0.29089,0.34456,0.27784,0.25181,0.26188,0.42429,0.3712,0.89424,0.90571,0.30595,0.33942,0.49793,0.33851,0.19399,0.22667,0.175,0.17222,0.16944
BHS,0,0.006,0.012,0.018,0.024,0.03,0.036,0.042,0.048,0.054,0.06,0.066,0.072,0.078,0.084,0.09,0.096,0.102,0.108,0.114,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12
BIH,0,0.0175,0.035,0.0525,0.07,0.0875,0.105,0.1225,0.14,0.1575,0.175,0.1925,0.21,0.2275,0.245,0.2625,0.28,0.2975,0.315,0.3325,0.35,0.34819,0.34639,0.34458,0.34278,0.34097,0.33917,0.33736,0.46889,0.55935,1.4339,0.40683,0.36274,0.74247,0.34738,0.35359,0.32111,0.43657,0.32454,0.32057,0.31389
BLR,41.5161,41.5157,41.5182,41.5161,41.5154,41.5154,41.5161,41.5157,41.5154,41.5154,41.5154,41.5157,41.5157,41.5154,41.5157,41.5161,41.5168,41.5168,41.5168,41.5168,41.5178,41.5164,41.5164,41.5168,41.5164,41.5157,41.5203,41.5168,41.5189,41.6823,41.5425,41.5462,41.9532,41.5661,41.5503,41.5469,41.5352,41.5256,41.516,41.5166,41.5155
BLZ,0,0.002,0.004,0.006,0.008,0.01,0.012,0.014,0.016,0.018,0.02,0.022,0.024,0.026,0.028,0.03,0.032,0.034,0.036,0.038,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
BOL,155.287,107.4865,131.414,108.799,116.82,132.4954,153.9594,117.2839,142.6318,150.7198,160.5268,144.8852,152.9752,155.9395,121.3194,128.499,136.9201,168.5732,140.0451,141.3354,163.4449,153.8432,163.6613,180.0473,124.6088,138.2576,143.5478,145.0056,127.4365,334.9605,141.8171,136.2587,171.7786,126.4279,554.2621,240.5677,107.9503,102.1253,96.9483,95.6142,101.5287
BRA,927.3808,642.2252,785.8812,651.3054,699.8653,794.1801,923.1274,704.4997,856.6289,905.6107,964.8335,871.9415,920.9008,939.2421,732.9054,776.4766,827.4268,1017.2241,847.2472,855.5531,988.308,930.8996,989.5917,1087.5321,756.1033,837.7285,869.3562,878.0657,1070.1734,895.2965,643.5522,767.3324,811.3187,998.5535,1232.029,1623.076,563.6633,506.6553,465.3674,444.329,554.7378
