code,CH4AR4_IPC4_TOTAL_NET_HISTORY_UNFCCC2019BI
entity,CH4
category,IPC4
name_category,Waste
type,NET
class,TOTAL
descr,GHG data submitted to the UNFCCC by Parties: non-AnnexI Parties only. See http://unfccc.int/di/DetailedByParty.do
note,Read in by JG and RG
source,UNFCCC2019BI
scenario,HISTORY
datatype,CountryYearMatrix
tablekind,usr
family,emi
subsource,UNFCCC_2019B.csv
unit,MtCO2eq
gwp,AR4
iso3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
ISR,NaN,NaN,NaN,NaN,NaN,NaN,3.0447,NaN,NaN,NaN,3.442,NaN,NaN,4.7526,5.0816,5.3977,5.6962,5.9743,6.2024,6.3825,6.7426,6.9629,7.1975,7.2129,7.3652,7.3539,NaN
KEN,NaN,NaN,NaN,NaN,NaN,1.0582,NaN,NaN,NaN,NaN,0.82925,NaN,NaN,NaN,NaN,1.1043,NaN,NaN,NaN,NaN,1.46,NaN,NaN,NaN,NaN,NaN,NaN
KGZ,1.3322,1.5035,1.3603,1.0225,0.64223,0.67798,0.64035,0.67333,0.56722,0.6162,0.6078,0.60317,0.60021,0.57873,0.7302,0.60722,0.56916,0.49772,0.65433,1.3842,1.1187,NaN,NaN,NaN,NaN,NaN,NaN
KOR,9.579,10.5628,11.2743,11.5608,12.4645,12.7075,12.9853,13.206,12.1325,12.0983,12.145,12.6945,12.7805,12.8232,11.552,11.4025,11.1285,10.302,10.127,10.2133,9.8055,9.606,9.1598,9.1308,9.2643,NaN,NaN
LBN,NaN,NaN,NaN,NaN,1.0701,NaN,NaN,NaN,NaN,NaN,1.9672,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.0888,3.1905,2.0001,NaN,NaN,NaN
LCA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.078528,NaN,NaN,NaN,NaN,0.08478,NaN,NaN,NaN,NaN,0.088848,NaN,NaN,NaN,NaN,NaN,NaN
MAR,NaN,NaN,NaN,NaN,2.35,NaN,NaN,NaN,NaN,NaN,2.8575,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.4121,NaN,8.4175,NaN,NaN,NaN,NaN
MDA,2.0951,2.2409,2.3496,2.3085,2.2359,2.1701,2.0721,1.984,1.8881,1.7556,1.6504,1.558,1.4745,1.4391,1.4214,1.4385,1.4561,1.5244,1.6367,1.7059,1.7685,1.7573,1.7519,1.7624,NaN,NaN,NaN
MDG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.08,NaN,NaN,NaN,NaN,0.3825,0.4165,0.4355,0.45875,0.47025,0.507,NaN,NaN,NaN,NaN,NaN,NaN
MEX,7.1095,7.7439,8.3651,14.1916,14.8538,15.4582,15.9917,15.9018,15.8346,16.6152,17.5886,18.1315,18.9094,19.6054,20.5421,21.9014,24.1637,25.6592,27.2135,28.252,29.6939,31.4849,31.5617,24.4566,NaN,NaN,NaN
