cat,IPCMLULUCF
clss,TOTAL
ent,CH4
family,emi
gwp,AR4
note,calculated by the function combine_tables_varying_in_one_sheet_as by CC and JN from PRIMAPRenamed as composite source from CH4_CAT5_TOTAL_NET_HISTORY_EDGAR42FT2010P! | Add the countries {CUB.DOM.HND.LKA.PHL.PRI} from CH4_CAT5_TOTAL_NET_HISTORY_EDGAR42P || Pad values of country AFG... || Pad values of country AGO... || Pad values of country ALB... || Pad values of country ARG... || Pad values of country ARM... || Pad values of country AUS... || Pad values of country AUT... || Pad values of country AZE... || Pad values of country BEL... || Pad values of country BEN... || Pad values of country BGD... || Pad values of country BGR... || Pad values of country BIH... || Pad values of country BLR... || Pad values of country BOL... || Pad values of country BRA... || Pad values of country BRN... || Pad values of country BTN... || Pad values of country BWA... || Pad values of country CAF... || Pad values of country CAN... || Pad values of country CHE... || Pad values of country CHL... || Pad values of country CHN... || Pad values of country CIV... || Pad values of country CMR... || Pad values of country COD... || Pad values of country COG... || Pad values of country COL... || Pad values of country CZE... || Pad values of country DEU... || Pad values of country DZA... || Pad values of country ECU... || Pad values of country ESP... || Pad values of country FIN... || Pad values of country FRA... || Pad values of country GAB... || Pad values of country GBR... || Pad values of country GEO... || Pad values of country GHA... || Pad values of country GIN... || Pad values of country GNQ... || Pad values of country GRC... || Pad values of country GTM... || Pad values of country GUF... || Pad values of country GUY... || Pad values of country HRV... || Pad values of country HUN... || Pad values of country IDN... || Pad values of country IND... || Pad values of country IRL... || Pad values of country IRN... || Pad values of country IRQ... || Pad values of country ISR... || Pad values of country ITA... || Pad values of country JPN... || Pad values of country KAZ... || Pad values of country KGZ... || Pad values of country KHM... || Pad values of country KOR... || Pad values of country LAO... || Pad values of country LBN... || Pad values of country LBR... || Pad values of country LBY... || Pad values of country LSO... || Pad values of country LTU... || Pad values of country LUX... || Pad values of country LVA... || Pad values of country MAR... || Pad values of country MDA... || Pad values of country MDG... || Pad values of country MEX... || Pad values of country MKD... || Pad values of country MLI... || Pad values of country MMR... || Pad values of country MNG... || Pad values of country MOZ... || Pad values of country MYS... || Pad values of country NAM... || Pad values of country NGA... || Pad values of country NLD... || Pad values of country NPL... || Pad values of country NZL... || Pad values of country PAK... || Pad values of country PER... || Pad values of country PNG... || Pad values of country POL... || Pad values of country PRK... || Pad values of country PRT... || Pad values of country PRY... || Pad values of country ROU... || Pad values of country RUS... || Pad values of country SLE... || Pad values of country SUR... || Pad values of country SVK... || Pad values of country SWE... || Pad values of country SWZ... || Pad values of country SYR... || Pad values of country TGO... || Pad values of country THA... || Pad values of country TJK... || Pad values of country TKM... || Pad values of country TUR... || Pad values of country TZA... || Pad values of country UKR... || Pad values of country URY... || Pad values of country USA... || Pad values of country UZB... || Pad values of country VEN... || Pad values of country VNM... || Pad values of country ZAF... || Pad values of country ZMB... || Pad values of country SRBMNE... ||
scen,HISTORY
srce,EDGAR42COMPI
tablename,CH4_IPCMLULUCF_TOTAL_NET_HISTORY_EDGAR42COMPI
tpe,NET
unit,MtCO2eq
ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AFG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00086394,0.0011637000000000002,0.00044605,0.00054284,0.00086448,0.0,0.00015730000000000003,0.0,nan,nan
AGO,0.14889000000000002,0.13954,0.14286,0.13041,0.10672000000000001,0.10615,0.10545999999999998,0.14368,0.05695,0.011371,0.10315999999999999,0.14092000000000002,0.20985,0.25232,0.06532400000000001,0.040853,0.4114,0.069009,0.2142,0.23797,0.22884000000000002
ALB,0.026083,0.021830000000000002,0.016703,0.017764,0.029952999999999997,0.015886,0.010695999999999999,0.013382,0.027666000000000003,0.014993000000000001,0.26541,0.01067,0.0015385,0.031838,0.0064908,0.0033715000000000004,0.0024457,0.0015198,0.000594,3.96e-05,3.96e-05
ARG,3.5989999999999998,3.1837,3.5989999999999998,4.1527,1.9379,2.5608,2.8377,2.9069,1.6926,2.5112,2.3544,2.6728,2.0456,3.069,2.1734,1.7963,1.6722,0.73785,1.2925,0.93924,0.44537
ARM,0.0019984,0.00099918,0.00099918,0.0012490000000000001,0.00099918,0.0004996,0.003747,0.0012490000000000001,0.0024128,0.00072708,0.0037088,0.0020611,0.0027339,0.0039751,0.0051432,0.0039775999999999995,0.005454,0.0012239,0.0,nan,nan
AUS,4.2807,5.5979,4.2807,3.2928,6.915,3.2928,3.2928,4.2807,3.2236,3.0525,7.52,7.6903,10.5441,11.5657,4.4963,3.3509,2.0919,7.4902,1.5630000000000002,2.3053,0.7027800000000001
AUT,0.056954,0.047668,0.036472000000000004,0.03879,0.06540599999999999,0.034688,0.023355,0.02922,0.025713999999999997,0.02153,0.033924,0.00026217,0.00041988,0.0036561999999999996,0.0016204000000000001,0.0019531,0.001104,0.00084201,0.00028680000000000003,0.00028680000000000003,0.00028680000000000003
AZE,0.0020374000000000004,0.0010187000000000002,0.0010187000000000002,0.0012734000000000003,0.0010187000000000002,0.00050934,0.0038201,0.0012734000000000003,0.0060354,0.0044981000000000005,0.008595,0.014825,0.0080652,0.007005,0.010459999999999999,0.0062058,0.0,0.00030598,0.0,nan,nan
BEL,0.012794,0.010708,0.008193,0.008713799999999999,0.014693000000000001,0.0077922,0.0052466,0.006564,0.0027579,0.0062813999999999995,0.00085986,0.004184,0.0035338,0.006795000000000001,0.0030304999999999998,0.0037855,0.002016,0.0020179,0.002016,0.0014262,0.00083637
BEN,2.4237,1.5709,2.0646,1.7954,1.7505,2.1095,2.0198,2.0646,0.9028,1.4398,0.97444,1.0462,1.4276,0.63043,0.52676,0.63505,0.6613,1.2922,2.193,2.1319999999999997,2.008
BGD,0.45958000000000004,0.45958000000000004,0.45958000000000004,0.45958000000000004,0.45958000000000004,0.45958000000000004,0.45958000000000004,0.45958000000000004,0.46608999999999995,1.3314,0.10174,0.76527,0.18314,0.23536999999999997,0.15641,0.16401,0.0,0.0064015,0.002431,0.0087295,0.005525
BGR,0.059989999999999995,0.050209,0.038416000000000006,0.040857,0.068892,0.036536,0.0246,0.030777999999999996,0.11339,0.087894,0.35143,0.35834,0.058615999999999994,0.076572,0.15725999999999998,0.078462,0.0071400000000000005,0.024723,0.0,nan,nan
