cat,CATM1
clss,TOTAL
ent,CO2
family,emi
gwp,AR4
note,Read in by LJ. released 3 March 1017. downloaded: 29 May 2017 | calculated the values for ANT from {BES.CUW.SXM}
scen,HISTORY
srce,CDIAC2017P
tablename,CO2_CATM1_TOTAL_NET_HISTORY_CDIAC2017P
tpe,NET
unit,MtCO2eq
ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
BGR,0.7480100000000001,0.69667,0.86167,0.6490100000000001,0.83234,0.86167,0.7480100000000001,0.10267000000000001,0.28234000000000004,0.23834,0.44367,0.6160100000000001,0.70767,0.9166799999999999,0.82867,0.9203399999999999,0.8800100000000001,0.71867,1.0267,1.1147,0.81767,0.75534,0.70034,0.7700100000000001,0.77367
BHR,0.099001,0.24934,0.37767,0.94601,1.0853,1.1440000000000001,1.0523,0.75167,1.0853,1.0377,1.111,1.0707,1.2943,1.4483,1.584,1.7123,1.9984,2.0864,2.3284,2.1304,1.9984,1.859,1.7637,1.2613,1.2393
BHS,0.70767,0.70767,0.69301,0.70034,0.68934,0.69667,0.70401,0.70767,0.72234,0.7406699999999999,0.75167,0.7663399999999999,0.7883399999999999,0.8690100000000001,0.67467,0.6490100000000001,0.68201,0.7296699999999999,0.95334,0.48767,0.6563399999999999,0.59034,0.70401,0.61234,0.59401
BIH,0.0,0.0,0.051334000000000005,0.095334,0.11367000000000001,0.11732999999999999,0.11732999999999999,0.121,0.12467,0.12467,0.033,0.025667000000000002,0.025667000000000002,0.022000000000000002,0.014667,0.014667,0.014667,0.014667,0.014667,0.014667,0.014667,0.014667,0.014667,0.011000000000000001,0.011000000000000001
BLR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31534,0.34467
BLZ,0.036667,0.047667,0.047667,0.033,0.040333999999999995,0.029334,0.033,0.044000000000000004,0.06966699999999999,0.066001,0.088001,0.051334000000000005,0.055001,0.062334,0.066001,0.06966699999999999,0.06966699999999999,0.051334000000000005,0.047667,0.047667,0.040333999999999995,0.033,0.033,0.044000000000000004,0.036667
BOL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13567,0.11732999999999999,0.121,0.12833,0.12833,0.14300000000000002,0.14300000000000002,0.12467,0.12833,0.132,0.13932999999999998,0.15033,0.132,0.16133,0.18333
BRA,3.1534,3.9454,4.0297,4.7814,5.6431,5.7531,6.6037,7.9971,8.2794,10.7398,11.3411,12.2761,13.7208,13.4788,13.8418,14.3551,14.5495,15.7081,19.2062,16.9218,18.7038,20.2255,18.9495,17.9485,17.9485
BRB,0.33734000000000003,0.33734000000000003,0.27867,0.253,0.34834,0.374,0.41434,0.54267,0.49867,0.51334,0.63067,0.61234,0.59401,0.57201,0.55367,0.5353399999999999,0.51334,0.45833999999999997,0.49133999999999994,0.42167,0.396,0.44367,0.35567,0.39966999999999997,0.099001
BRN,0.21266999999999997,0.27134,0.31167,0.319,0.418,0.429,0.43267,0.462,0.42167,0.37767,0.43267,0.45466999999999996,0.473,0.48767,0.5243399999999999,0.517,0.56101,0.5463399999999999,0.56467,0.528,0.61234,0.64167,0.45833999999999997,0.50967,0.44733999999999996
BTN,0.0,0.0,0.0036667,0.0036667,0.0036667,0.0036667,0.0036667,0.0036667,0.0036667,0.0036667,0.0036667,0.0036667,0.0036667,0.0036667,0.0036667,0.0036667,0.0036667,0.0036667,0.0036667,0.0036667,0.0036667,0.0036667,0.0073334,0.011000000000000001,0.011000000000000001
BWA,0.033,0.029334,0.025667000000000002,0.011000000000000001,0.014667,0.018334,0.018334,0.014667,0.011000000000000001,0.018334,0.022000000000000002,0.033,0.022000000000000002,0.022000000000000002,0.025667000000000002,0.033,0.033,0.025667000000000002,0.051334000000000005,0.047667,0.051334000000000005,0.055001,0.036667,0.040333999999999995,0.033
CAF,0.036667,0.036667,0.036667,0.036667,0.040333999999999995,0.040333999999999995,0.044000000000000004,0.044000000000000004,0.044000000000000004,0.047667,0.051334000000000005,0.088001,0.088001,0.080667,0.080667,0.080667,0.088001,0.091667,0.095334,0.095334,0.099001,0.099001,0.10267000000000001,0.10267000000000001,0.10633
CAN,5.5954,5.4524,5.7347,5.1884,5.5184,5.7824,6.0207,5.8997,6.6257,6.4094,6.4534,6.8531,5.5257,3.718,4.6347,5.3497,4.7374,4.301,4.2827,4.3817,5.5661,4.4844,4.2937,3.8427,3.3514
CHE,3.1456,2.9696,3.2263,3.4059,3.6223,3.7836,3.9523,4.1172,4.3006,4.4912,4.7406,4.5939,4.0659,3.7065,3.5344,3.6222,3.8162,4.0142,4.2966,4.1241,4.3149,4.6301,4.7033,4.7217,4.8095
CHL,1.1403,1.1733,1.2137,1.3347,1.6793,1.771,1.485,1.7637,2.2587,2.4090000000000003,3.014,3.2230000000000003,3.1937,3.8757,4.1727,4.4,5.1737,5.1884,5.2874,3.949,2.8160000000000003,2.8967,2.6327,2.5264,2.574
CHN,4.7044,5.016,5.6431,8.2501,8.8954,3.2817,3.0469999999999997,2.9114,7.1171,12.5254,13.0938,13.4971,16.6028,16.7862,22.3999,26.0409,30.3126,33.565,32.784,35.3837,42.8527,46.3324,46.5708,44.2094,44.2424
CIV,0.30067,0.341,0.35200000000000004,0.363,0.48034,0.48767,0.506,0.55734,0.55001,0.58301,0.66001,0.6160100000000001,0.57567,0.6160100000000001,0.56467,0.517,0.484,0.48767,0.37767,0.22366999999999998,0.23467,0.20534000000000002,0.24934,0.22734000000000001,0.35200000000000004
CMR,0.11732999999999999,0.11732999999999999,0.12833,0.14300000000000002,0.14300000000000002,0.198,0.16133,0.16133,0.187,0.20534000000000002,0.23834,0.24934,0.27134,0.28234000000000004,0.24934,0.231,0.26034,0.35567,0.35567,0.363,0.33734000000000003,0.35567,0.37034,0.38866999999999996,0.41067
COD,0.42533999999999994,0.44,0.42167,0.429,0.341,0.35200000000000004,0.35200000000000004,0.35567,0.35934,0.35567,0.28967,0.30067,0.37767,0.40700000000000003,0.39966999999999997,0.49867,0.6380100000000001,0.528,0.047667,0.047667,0.462,0.45466999999999996,0.43633999999999995,0.473,0.70767
COG,0.014667,0.018334,0.025667000000000002,0.025667000000000002,0.025667000000000002,0.033,0.033,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13932999999999998,0.12467,0.23834,0.308,0.154,0.13932999999999998,0.154,0.14667,0.13567,0.12467
COK,0.014667,0.014667,0.014667,0.014667,0.014667,0.014667,0.011000000000000001,0.011000000000000001,0.011000000000000001,0.011000000000000001,0.011000000000000001,0.022000000000000002,0.0073334,0.0073334,0.0073334,0.0073334,0.0073334,0.0073334,0.0073334,0.0073334,0.0073334,0.0073334,0.0073334,0.0073334,0.0073334
COL,0.32634,0.374,0.44733999999999996,0.374,0.46567,2.728,2.7024,2.8637,2.728,2.6069999999999998,2.6144,2.6144,2.6289999999999996,2.563,2.7207,2.9187,3.2119999999999997,2.75,2.9957,3.432,4.114,4.5504,4.356,5.6724,5.9987
COM,0.0036667,0.0036667,0.0036667,0.0036667,0.0036667,0.0036667,0.0036667,0.0036667,0.0036667,0.0036667,0.0036667,0.0036667,0.0036667,0.0073334,0.0073334,0.0073334,0.0073334,0.0073334,0.0073334,0.0073334,0.0073334,0.011000000000000001,0.011000000000000001,0.011000000000000001,0.011000000000000001
CPV,0.055001,0.058667,0.062334,0.066001,0.066001,0.06966699999999999,0.080667,0.084334,0.088001,0.099001,0.10267000000000001,0.11732999999999999,0.11367000000000001,0.080667,0.091667,0.231,0.242,0.28600000000000003,0.33734000000000003,0.23834,0.26034,0.34467,0.32634,0.31534,0.385
CRI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48767,0.484
CUB,0.9826799999999999,0.87634,0.6380100000000001,0.6196699999999999,0.53167,0.85434,1.166,1.3053,1.2283,1.1917,0.9826799999999999,0.86534,0.81034,0.86534,0.6160100000000001,0.60501,0.64167,0.6160100000000001,0.528,0.50967,0.51334,0.51334,0.51334,0.74434,0.75534
CYP,0.9203399999999999,0.7773399999999999,0.96068,0.8800100000000001,0.93868,1.0303,1.067,1.078,1.1183,1.3127,1.4483,1.6317,1.3823,1.4043,1.0963,1.8297,1.87,1.7637,1.694,1.518,1.4337,1.5473,1.4447,1.4887,1.4557
CZE,nan,nan,0.54267,0.44367,0.54267,0.57567,0.418,0.385,0.35934,0.418,0.49133999999999994,0.495,0.50967,0.6160100000000001,0.8836700000000001,0.96434,1.0193,1.0487,1.078,1.0303,0.94968,0.94234,0.8910100000000001,0.85801,0.88734
DEU,18.5718,19.8368,19.6682,21.9012,22.7775,22.8655,23.1405,24.2699,24.5669,25.8246,27.1226,26.3672,26.8696,28.0796,30.0669,31.2366,32.6776,35.16,35.2223,33.455,33.2863,32.2266,33.2203,32.9343,31.9223
DJI,0.44733999999999996,0.44733999999999996,0.44367,0.451,0.45833999999999997,0.46567,0.462,0.45833999999999997,0.45833999999999997,0.46567,0.495,0.46567,0.43267,0.44367,0.43267,0.37767,0.32634,0.31534,0.29334,0.319,0.32266999999999996,0.31167,0.319,0.33734000000000003,0.34467
DMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036667,0.0036667,0.0036667,0.0036667,0.0036667,0.0073334,0.0073334,0.0073334,0.0073334,0.0073334,0.0073334,0.0073334,0.0073334,0.0073334
DNK,4.862,4.4367,4.6494,6.0134,6.6954,6.9704,6.8017,6.4571,6.6147,6.4827,6.5487,5.8961,4.961,5.1957,5.1407,5.3167,6.1454,6.3581,5.8961,4.1287,4.8839999999999995,5.016,4.3414,4.6347,5.1994
DOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19434,0.20167000000000002,0.209,0.21634,0.231,0.24566999999999997,0.27867,0.308,1.331,1.3053,1.3347,1.3237,1.3273,1.3090000000000002,1.3347,1.4997,1.3603,1.518
DZA,1.0487,1.1293,1.0047,1.5473,1.749,1.9580000000000002,1.8627,1.65,1.595,1.5913,1.5253,1.5473,2.1487,1.87,1.7087,2.0057,2.2147,2.211,2.2624,2.332,2.431,2.233,2.4127,2.519,2.1304
ECU,0.6490100000000001,0.68201,0.72601,0.72601,0.77367,0.79201,0.94968,1.001,1.4483,1.0743,1.4447,1.386,1.3017,1.0707,1.2613,1.2943,1.936,1.8994,3.091,2.8124,2.596,2.5924,2.2880000000000003,2.3247,2.4347
EGY,5.1737,4.2644,4.2314,5.4414,8.7597,8.6241,9.6434,10.6371,7.9237,9.5518,10.1494,9.8341,7.6524,10.9158,7.9787,6.7981,5.8484,10.5051,9.9661,10.0284,9.5408,3.63,3.6704,2.5447,7.1207
ERI,0.66601,0.6713100000000001,0.6751699999999999,0.6775399999999999,0.6783399999999999,0.44733999999999996,0.49867,0.264,0.022000000000000002,0.025667000000000002,0.029334,0.058667,0.025667000000000002,0.033,0.033,0.029334,0.022000000000000002,0.014667,0.011000000000000001,0.0036667,0.0036667,0.0036667,0.0036667,0.0036667,0.0036667
ESP,15.0701,16.4341,17.3508,16.0638,15.7668,16.3755,21.4245,25.4396,26.8329,26.6129,27.6249,30.0999,30.2356,31.0459,32.685,34.984,36.5093,37.6387,38.6617,37.7597,36.348,38.812,38.042,34.1883,36.271
EST,0.0,0.0,0.429,0.53167,0.44733999999999996,0.33366999999999997,0.33734000000000003,0.385,0.385,0.42167,0.39966999999999997,0.36667,0.43267,0.41434,0.56834,0.528,0.7773399999999999,0.94601,0.8946700000000001,0.82134,0.82134,0.71134,1.4007,1.4409999999999998,1.1623
ETH,0.19434,0.20167000000000002,0.21634,0.20534000000000002,0.154,0.154,0.13932999999999998,0.13567,0.17232999999999998,0.19067,0.20534000000000002,0.24934,0.23467,0.22734000000000001,0.308,0.38866999999999996,0.46934,0.58301,0.57201,0.66001,0.85434,0.85434,0.99734,1.0963,1.21
FIN,2.8197,2.6694,3.014,2.4897,2.1524,1.9397,2.145,2.2844,2.673,2.86,3.19,2.9077,3.1277,3.1497,2.9224,2.9004,3.2084,3.102,3.0544,2.3467,2.31,2.5704,2.2587,2.343,2.2074
FJI,0.27134,0.21634,0.28600000000000003,0.32634,0.35934,0.385,0.39966999999999997,0.429,0.44367,0.49133999999999994,0.66001,0.50967,0.40334000000000003,0.50234,0.7590100000000001,0.66367,0.6673399999999999,0.6196699999999999,0.43267,0.32266999999999996,0.50967,0.16133,0.16133,0.17600000000000002,0.20534000000000002
FRA,18.8327,18.2707,19.3197,19.1629,19.0784,19.9692,21.1685,22.2411,23.9865,25.3629,26.2615,24.6043,24.4089,24.8509,26.9982,26.3269,27.305999999999997,28.2019,27.2164,25.6089,25.6992,27.1602,26.1928,25.2772,24.4152
FSM,nan,nan,0.0036667,0.0036667,0.0036667,0.0036667,0.0036667,0.0036667,0.0036667,0.0036667,0.0036667,0.0036667,0.0036667,0.0036667,0.0036667,0.0036667,0.0036667,0.0036667,0.0036667,0.0036667,0.0036667,0.0036667,0.0036667,0.0036667,0.0036667
GAB,0.27134,0.25667,0.85434,0.82867,0.68567,0.63434,0.57201,0.68201,0.72601,0.75534,0.84334,0.84334,0.8800100000000001,0.85067,0.83967,0.82501,0.7663399999999999,0.78467,0.7663399999999999,0.7480100000000001,0.9093399999999999,0.82134,0.8690100000000001,0.81401,0.77367
GBR,33.0406,31.5996,33.224000000000004,34.423,34.6466,36.4323,38.3757,40.7664,44.9354,45.0784,46.9741,47.7221,47.5094,49.3721,52.2468,56.1225,57.1565,58.2602,60.3099,58.5169,55.2205,57.4132,55.0225,53.2002,49.3684
GEO,0.0,0.0,0.044000000000000004,0.033,0.0073334,0.0073334,0.16133,0.15033,0.32266999999999996,0.33366999999999997,0.077001,0.040333999999999995,0.073334,0.080667,0.099001,0.121,0.132,0.13932999999999998,0.12467,0.12467,0.12467,0.11,0.11732999999999999,0.26766999999999996,0.24934
GHA,0.18333,0.19067,0.198,0.20534000000000002,0.20534000000000002,0.242,0.23834,0.242,0.27134,0.30434,0.319,0.28600000000000003,0.29334,0.50234,0.41067,0.506,0.49867,0.506,0.528,0.495,0.6196699999999999,0.65267,0.6453399999999999,0.56101,0.38134
GIN,0.047667,0.047667,0.047667,0.055001,0.055001,0.055001,0.055001,0.055001,0.058667,0.058667,0.066001,0.066001,0.066001,0.066001,0.066001,0.06966699999999999,0.06966699999999999,0.077001,0.077001,0.077001,0.077001,0.077001,0.077001,0.077001,0.077001
GMB,0.014667,0.018334,0.018334,0.022000000000000002,0.022000000000000002,0.022000000000000002,0.022000000000000002,0.022000000000000002,0.025667000000000002,0.029334,0.029334,0.029334,0.029334,0.029334,0.029334,0.029334,0.033,0.044000000000000004,0.044000000000000004,0.058667,0.055001,0.066001,0.047667,0.066001,0.044000000000000004
GNB,0.025667000000000002,0.025667000000000002,0.025667000000000002,0.025667000000000002,0.025667000000000002,0.025667000000000002,0.025667000000000002,0.025667000000000002,0.025667000000000002,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.036667
GNQ,0.0073334,0.0073334,0.0073334,0.011000000000000001,0.0073334,0.0073334,0.011000000000000001,0.011000000000000001,0.018334,0.022000000000000002,0.033,0.040333999999999995,0.044000000000000004,0.091667,0.099001,0.10267000000000001,0.10633,0.10633,0.11,0.11,0.11,0.11,0.11,0.11,0.11
GRC,10.6004,9.6104,10.8131,12.3824,13.4128,14.0215,12.5511,12.4924,13.7538,12.8335,14.0435,13.5448,12.4118,12.7234,12.9031,11.6198,12.8298,13.3248,12.9875,11.0588,10.9011,11.2238,9.3318,8.9577,8.4371
GRD,0.014667,0.014667,0.014667,0.018334,0.018334,0.018334,0.018334,0.018334,0.018334,0.022000000000000002,0.022000000000000002,0.022000000000000002,0.018334,0.018334,0.018334,0.018334,0.018334,0.018334,0.025667000000000002,0.018334,0.014667,0.011000000000000001,0.011000000000000001,0.011000000000000001,0.014667
GTM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53167,0.528,0.528,0.517,0.495,0.50967,0.517,0.60501,0.60134,0.9093399999999999,0.92768,0.92401,1.0743,1.0927,1.0707,1.1367,1.1403
GUY,0.044000000000000004,0.040333999999999995,0.036667,0.036667,0.040333999999999995,0.033,0.044000000000000004,0.047667,0.036667,0.036667,0.040333999999999995,0.033,0.033,0.033,0.033,0.033,0.025667000000000002,0.029334,0.029334,0.029334,0.029334,0.029334,0.047667,0.033,0.029334
HKG,9.4381,8.8331,11.6381,12.6391,12.9581,15.7411,16.1518,15.8365,17.1712,19.7012,18.5498,19.3382,25.3076,25.6669,34.0343,29.3996,34.665,38.13,36.227,49.4894,49.8488,51.0551,48.1181,49.4931,46.8201
HND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.077001,0.095334,0.11,0.06966699999999999,0.073334,0.077001,0.088001,0.06966699999999999,0.091667,0.077001,0.13932999999999998,0.15033,0.14667,0.165,0.15767,0.132,0.209
HRV,0.0,0.0,0.073334,0.18333,0.40334000000000003,0.34834,0.31534,0.31167,0.33366999999999997,0.31534,0.25667,0.29334,0.264,0.24934,0.28600000000000003,0.33366999999999997,0.32634,0.35200000000000004,0.385,0.29334,0.31534,0.385,0.33,0.35934,0.35934
HTI,0.11367000000000001,0.10267000000000001,0.062334,0.033,0.051334000000000005,0.062334,0.058667,0.058667,0.066001,0.091667,0.088001,0.10267000000000001,0.10633,0.055001,0.073334,0.073334,0.077001,0.062334,0.062334,0.055001,0.062334,0.055001,0.16133,0.27867,0.10633
HUN,0.50234,0.396,0.418,0.38134,0.57567,0.55367,0.59034,0.56101,0.59401,0.6380100000000001,0.71501,0.67101,0.63434,0.6196699999999999,0.70767,0.81767,0.82867,0.7590100000000001,0.84334,0.72234,0.71867,0.72601,0.52067,0.50967,0.5353399999999999
IDN,1.35,1.4561,1.4781,1.6976,1.8549,1.8439,2.9525,2.9415,3.483,5.7549,1.4927,1.8073,2.2257,3.9930000000000003,3.5237,3.377,3.4027,4.7667,5.005,0.9826799999999999,0.9093399999999999,2.728,2.8967,3.9160000000000004,4.9719999999999995
IND,2.7024,2.6510000000000002,2.695,2.508,2.0057,2.0204,2.0387,2.0534,2.068,4.7374,5.8521,7.3957,7.1941,7.6011,8.8331,10.3474,12.4741,14.4981,13.7135,14.7951,14.7951,14.7951,14.7951,16.1518,16.1188
IRL,1.1183,1.1293,0.97901,1.474,1.2833,1.5107,1.5437,1.7307,1.7930000000000001,2.0717,2.2514,2.64,2.7354,2.7574,2.5704,2.75,2.8637,3.3037,3.0434,2.0424,2.4604,2.3614,2.0277,2.3137,2.6069999999999998
IRN,3.08,3.5567,3.6007,3.8757,4.2167,4.3597,2.6217,3.5604,4.3634,4.7484,4.7044,4.7557,4.4184,4.2644,4.2094,2.7464,4.8180000000000005,6.6661,8.2134,10.1934,11.3228,10.7618,9.6911,13.4385,15.4661
IRQ,1.4373,0.9093399999999999,0.98634,1.1147,1.287,1.254,1.2907,1.3127,1.3419999999999999,1.3493,1.474,1.6023,1.5693,1.2687,2.0094,0.0,0.0,0.0,0.0,0.0,0.0,2.9884,1.5619999999999998,1.8003,2.2404
ISL,0.319,0.231,0.26034,0.29334,0.30067,0.34467,0.37767,0.42533999999999994,0.50967,0.52067,0.6160100000000001,0.49133999999999994,0.51334,0.5243399999999999,0.57934,0.6086699999999999,0.65267,0.71501,0.6563399999999999,0.506,0.55734,0.6160100000000001,0.62334,0.57201,0.6270100000000001
ISR,1.9580000000000002,1.9984,2.1524,2.4897,2.5594,2.7574,2.5337,2.5777,2.5997,2.343,2.948,2.6180000000000003,4.1177,4.1104,3.9014,3.9967,4.18,4.543,3.6630000000000003,3.5054,3.4614,3.5347,3.4834,4.1434,3.707
ITA,13.2239,13.4657,13.1651,13.2786,13.1942,13.7952,12.6186,13.139000000000001,14.4143,12.6807,13.9854,13.5931,14.1025,15.6527,15.9165,16.4589,17.408,18.2655,18.2801,16.8031,19.3646,18.0526,17.5138,16.2718,15.6304
