cat,IPCMLULUCF
clss,TOTAL
ent,N2O
family,emi
gwp,AR4
note,calculated by the function combine_tables_varying_in_one_sheet_as by CC and JN from PRIMAP
scen,HISTORY
srce,BUR2IPCC2006I
tablename,N2O_IPCMLULUCF_TOTAL_NET_HISTORY_BUR2IPCC2006I
tpe,NET
unit,MtCO2eq
ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
IDN,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.31944,0.31988,0.34205,0.29636999999999997,0.64452,0.6913699999999999,0.63259,0.64668,0.65652,0.7993100000000001,0.7835,0.84241,0.96844,1.767,1.4527,4.4679,1.4737
MDA,0.17037,0.1839,0.20467,0.22258000000000003,0.23655,0.25151,0.26227,0.27219,0.28435,0.29386,0.29633000000000004,0.29654,0.29696,0.29433000000000004,0.29013,0.28653,0.28259,0.27803,0.27201,0.26534,0.25822,0.25196,0.23342,0.21724000000000002,0.20246,0.19027,0.17928
