cat,IPCM0EL
category,IPC2
clss,TOTAL
ent,FGASES
family,emi
gwp,AR4
note,Scenario based on RCPSSP IAM scenario dowscaled to country level using GDP data from SSP scenarios. For methodology see Guetschow et al. 2017Check info_per_country.csv for further information.
scen,SSP5BLREMMPFILLED
srce,PMSSPBIE
tablename,FGASES_IPCM0EL_TOTAL_NET_SSP5BLREMMPFILLED_PMSSPBIE
tpe,NET
unit,MtCO2eq
ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
BEL,3.945,3.9262,4.4625,4.3095,5.1056,5.5453,5.4134,2.7794,2.013,1.5265,1.7353,1.643,1.6802,2.0138,2.2026,2.0749,2.2014,2.4487,2.6131,2.6722,2.7594,2.9995,3.1689,3.3275,3.2955,3.2788,3.5897,3.0657,3.6853,3.8334,3.9644,4.0846,4.2022,4.3178,4.4319999999999995,4.5459,4.6609,4.7791,4.9019,5.0308,5.1673,5.3122,5.4646,5.6245,5.7912,5.9643,6.1438,6.329,6.5185,6.711,6.9051,7.1008,7.2995,7.5017,7.707999999999999,7.919,8.1349,8.356,8.5829,8.8158,9.0552
BGR,0.0037007,0.0039171,0.004152,0.0044041,0.005732,0.0082408,0.011048,0.014797,0.020909999999999998,0.027779,0.039564,0.05259199999999999,0.068615,0.09148099999999999,0.1281,0.20337,0.30564,0.39466,0.63507,0.64868,0.68187,0.7697,0.8392799999999999,0.9888299999999999,1.1249,1.2402,1.4188,1.8354,1.6606,1.7746,1.8804,1.9809,2.0836,2.1878,2.2929,2.3981,2.5053,2.6158,2.7288,2.8435,2.9595,3.0780000000000003,3.1991,3.3213,3.443,3.5625,3.6799,3.7957,3.9086,4.0176,4.1215,4.2205,4.3157,4.4072,4.4954,4.5806,4.6629,4.7424,4.8197,4.8954,4.9702
BHR,3.009,0.46063000000000004,0.50455,0.5785899999999999,0.38831,0.36243000000000003,0.34731,0.34279,0.32352,0.29774,0.27393,0.25317,0.2234,0.22901999999999997,0.22903,0.32331,0.3754,0.37238000000000004,0.37238000000000004,0.36216,0.37167,0.34972,0.35429,0.35886,0.36343000000000003,0.368,0.37258,0.37715,0.41712,0.46846000000000004,0.52137,0.57604,0.63279,0.6916399999999999,0.7526,0.8156399999999999,0.88074,0.94839,1.0195,1.0949,1.1755,1.2634,1.3596,1.4636,1.5749,1.693,1.8166,1.9441,2.0746,2.2073,2.3411,2.4783,2.6211,2.7694,2.9228,3.0810000000000004,3.242,3.4041,3.5679,3.7338,3.9025
BIH,0.7318100000000001,0.64284,0.40038,0.19460999999999998,0.12650999999999998,0.1142,0.11045,0.15327000000000002,0.23168000000000002,0.44918,0.48191999999999996,0.38833,0.32104,0.41065,0.5380699999999999,0.65766,0.7266199999999999,0.79057,0.8741399999999999,0.9144700000000001,1.0189,1.0233,1.084,1.1447,1.2054,1.2661,1.3268,1.3875,1.455,1.545,1.6280000000000001,1.7076,1.7904,1.8747,1.9589,2.0416,2.1238,2.2074,2.2918,2.3769,2.4628,2.5502,2.6393,2.7285,2.8163,2.9015,2.9844,3.0654,3.1429,3.2155,3.2817,3.3422,3.3985,3.4499,3.4960000000000004,3.5362,3.5712,3.602,3.6287,3.6515,3.6705
BLR,0.0034170999999999997,0.0039417,0.0050083,0.0085617,0.013294,0.025580000000000002,0.042041,0.063291,0.091201,0.12047999999999999,0.15216,0.19095,0.23839000000000002,0.30295,0.41293,0.53665,0.58222,0.65975,0.7379,0.78088,0.86205,0.88846,0.9513299999999999,1.0141,1.0767,1.1395,1.2025,1.2654,1.4354,1.5174,1.5938,1.6665,1.7387,1.8104,1.8821,1.9541,2.0272,2.102,2.1787,2.2577,2.3393,2.4247,2.5137,2.6047,2.6963,2.7871,2.8771,2.9669,3.0554,3.1414,3.2236,3.3025,3.3792,3.4535,3.5251,3.5939,3.6599,3.7235,3.7856,3.8468,3.908
BOL,0.010872,0.011327,0.01269,0.014962999999999999,0.018144,4.8929,15.6127,26.3316,31.2036,29.4869,25.8084,17.6362,11.4257,14.6509,24.6229,28.5871,30.4793,32.3715,34.2637,36.156,38.0482,39.9404,41.8326,43.7248,45.6171,47.5093,49.4015,51.2937,53.0564,55.2469,57.2969,59.2365,61.1104,62.9315,64.7087,66.44800000000001,68.1959,69.99,71.8214,73.6821,75.5649,77.5748,79.7613,82.0419,84.3434,86.6009,88.7749,90.8277,92.7087,94.3736,95.7847,97.10799999999999,98.4609,99.7461,100.8784,101.7831,102.4093,102.7147,102.6528,102.1866,101.2881
BRA,4.4534,4.9775,5.5482,5.5625,5.3351,5.0429,4.1384,3.6606,2.8407,3.9608,2.4039,2.5322,3.0860000000000003,3.4315,4.0885,4.3989,5.7938,6.5701,7.3337,7.5309,8.9505,8.2684,9.1336,9.9363,10.7097,11.5679,12.0482,12.6931,14.5089,15.7457,16.9589,18.13,19.2744,20.406,21.5389,22.6873,23.8423,24.9995,26.179000000000002,27.3995,28.6782,30.0424,31.4998,33.0353,34.6332,36.2764,37.9394,39.5955,41.226000000000006,42.8117,44.333999999999996,45.8567,47.428999999999995,49.0107,50.5623,52.0458,53.4192,54.6461,55.6988,56.5517,57.1812
BRN,5.599e-05,0.00013938,0.00031849,0.0012067,0.0026447,0.0055402,0.016551,0.028172000000000003,0.040987,0.061148,0.11348,0.14427,0.17851,0.21683000000000002,0.25584,0.29425,0.33598,0.37381,0.41163999999999995,0.45077,0.4899,0.51313,0.54883,0.58454,0.62025,0.65595,0.69166,0.72736,0.81305,0.85736,0.89325,0.92665,0.9627600000000001,0.9994,1.0347,1.0672,1.0934,1.1111,1.12,1.1195,1.1093,1.0928,1.0752,1.0577,1.0412,1.0265,1.0135,1.0018,0.9918600000000001,0.9840700000000001,0.9787899999999999,0.9755,0.9734700000000001,0.9728,0.97354,0.9757299999999999,0.97888,0.98241,0.98625,0.9903299999999999,0.9945799999999999
CAN,11.7547,12.7753,10.9659,10.5361,9.9206,9.0829,9.0811,9.3239,10.4538,9.941,10.6425,9.7642,10.0861,10.1216,10.4473,10.3549,9.8791,9.2972,9.3242,9.6932,10.0891,10.7052,11.3186,11.4908,11.5932,12.4776,13.2604,13.725,14.4116,15.0951,15.6964,16.2274,16.7227,17.195999999999998,17.6614,18.1338,18.6159,19.1081,19.6215,20.1677,20.7589,21.404,22.0995,22.8392,23.6165,24.4251,25.2686,26.149,27.0569,27.9829,28.9171,29.8642,30.8329,31.8194,32.8205,33.8327,34.8599,35.9068,36.9717,38.053000000000004,39.1491
CHE,0.25679,0.24253000000000002,0.24084,0.19094,0.21036999999999997,0.35646,0.40819,0.50744,0.63413,0.7008800000000001,0.83191,0.9130799999999999,1.0149,1.1437,1.2647,1.3011,1.4048,1.4780000000000002,1.5346,1.4896,1.4984,1.5791,1.6998,1.7127,1.7524,1.7945,1.7167,1.7395,1.9454,2.0504,2.1474,2.2392,2.3304,2.4213,2.5125,2.6046,2.698,2.7935,2.8925,2.9962,3.1063,3.2226,3.3447,3.4730000000000003,3.6077,3.7494,3.8979,4.0526,4.213,4.3787,4.5489,4.7243,4.9057,5.093,5.2864,5.4858,5.692,5.9055,6.1263,6.3541,6.5889999999999995
