cat,IPCMLULUCF
clss,TOTAL
ent,KYOTOGHG
family,emi
gwp,AR4
note,calculated by the function combine_tables_varying_in_one_sheet_as by CC and JN from PRIMAP
scen,HISTORY
srce,EDGAR42COMPI
tablename,KYOTOGHG_IPCMLULUCF_TOTAL_NET_HISTORY_EDGAR42COMPI
tpe,NET
unit,MtCO2eq
ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
BEL,0.3695,0.36332,0.35627,0.35528000000000004,0.36516,0.34938,0.34226999999999996,0.34287,0.33325,0.33825,0.32541,0.33,0.32668,0.33115,0.32161,0.32109,0.31553000000000003,0.3135,0.31146999999999997,0.30826,0.30506
BEN,41.7636,33.4081,38.7793,36.056,35.8679,39.8049,38.7622,39.5017,27.1341,32.2748,27.1219,27.5893,31.3697,22.761999999999997,21.17,21.5933,20.721,26.8503,35.9436,35.2945,33.974000000000004
BFA,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
BGD,10.9944,10.9944,10.9944,10.9944,10.9944,10.9944,10.9944,10.9944,11.0637,20.2777,7.6006,14.4369,8.4357,8.8136,7.83,7.7156,5.7777,5.8354,5.479,5.5461,5.5120000000000005
BGR,0.33558000000000004,0.31390999999999997,0.28822,0.29089,0.34456,0.27784000000000003,0.25181,0.26188,0.42428999999999994,0.3712,0.8942399999999999,0.90571,0.30595,0.33942,0.49793000000000004,0.33851,0.19399,0.22666999999999998,0.175,0.17222,0.16944
BHS,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12
BIH,0.35,0.34819,0.34639000000000003,0.34458,0.34278000000000003,0.34097,0.33916999999999997,0.33736,0.46889,0.55935,1.4339,0.40683,0.36274,0.74247,0.34738,0.35359,0.32111,0.43656999999999996,0.32454,0.32056999999999997,0.31389
BLR,41.5178,41.5164,41.5164,41.5168,41.5164,41.5157,41.5203,41.5168,41.5189,41.6823,41.5425,41.5462,41.9532,41.5661,41.5503,41.5469,41.5352,41.5256,41.516000000000005,41.5166,41.5155
BLZ,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
BOL,163.4449,153.8432,163.6613,180.0473,124.6088,138.2576,143.5478,145.0056,127.4365,334.9605,141.8171,136.2587,171.7786,126.4279,554.2621,240.5677,107.9503,102.1253,96.9483,95.6142,101.5287
