cat,IPCMAG
clss,TOTAL
ent,N2O
family,emi
gwp,AR4
note,Read in by JG and RG
scen,HISTORY
srce,UNFCCC2019BI
tablename,N2O_IPCMAG_TOTAL_NET_HISTORY_UNFCCC2019BI
tpe,NET
unit,MtCO2eq
ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
KOR,6.711,6.9523,7.3874,7.742000000000001,8.2188,8.5794,8.9936,9.086,8.9251,8.338,8.0341,7.7361,7.6556,7.5513,7.747999999999999,8.0192,8.1145,8.2725,8.2904,8.6629,8.934,8.4513,8.797,8.9132,8.6152,nan,nan
LBN,nan,nan,nan,nan,0.8984200000000001,nan,nan,nan,nan,nan,0.89102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.6109,0.61388,0.6556,nan,nan,nan
LCA,nan,nan,nan,nan,0.0151,nan,nan,nan,nan,nan,0.026552,nan,nan,nan,nan,0.02235,nan,nan,nan,nan,0.024317,nan,nan,nan,nan,nan,nan
MAR,nan,nan,nan,nan,7.747999999999999,nan,nan,nan,nan,nan,15.645,nan,nan,nan,nan,nan,nan,nan,nan,nan,16.3602,nan,15.4364,nan,nan,nan,nan
MDA,2.8021,2.6052,2.0823,2.0729,1.5763,1.7037,1.5866,1.7238,1.5345,1.3982,1.2514,1.3935,1.4274,1.2104,1.4480000000000002,1.4538,1.3873,0.8206600000000001,1.4147,1.2105,1.3858,1.4091,1.0109,1.4717,nan,nan,nan
MDG,nan,nan,nan,nan,12.4326,nan,nan,nan,nan,nan,19.7872,nan,nan,nan,nan,12.7544,13.1716,13.0822,13.2908,13.4696,13.6186,nan,nan,nan,nan,nan,nan
MEX,27.3096,26.0386,25.9043,26.3086,26.3089,25.3801,25.5151,26.2571,27.3702,27.1094,27.4305,27.5721,26.5579,26.8599,26.9576,26.4205,26.5018,27.641,26.7611,27.0268,27.7962,27.4384,28.0786,28.3053,nan,nan,nan
MKD,1.1062,1.0769,1.0786,1.0534,1.0852,1.0367,0.9264399999999999,0.8437899999999999,0.80688,0.7198899999999999,0.73488,0.6742600000000001,0.45775,1.0817,1.1235,0.9595600000000001,1.0251,0.9089,0.81652,0.77778,nan,nan,nan,nan,nan,nan,nan
MLI,nan,nan,nan,nan,nan,0.5305,nan,nan,nan,nan,1.4869999999999999,nan,nan,nan,nan,nan,nan,nan,nan,nan,33.8796,nan,nan,nan,nan,nan,nan
MNE,0.34568000000000004,0.34568000000000004,0.3278,0.3129,0.31588,0.32482,0.32184,0.30992,0.29502,0.28906,0.28012,0.2682,0.25926,0.27416,0.2682,0.2086,0.20561999999999997,0.18774000000000002,0.18475999999999998,0.1639,0.18178,0.1788,nan,nan,nan,nan,nan
MUS,nan,nan,nan,nan,nan,0.12009,nan,nan,nan,nan,0.14533,0.15094000000000002,0.13723,0.14331,0.1411,0.13279000000000002,0.02682,nan,nan,nan,nan,nan,nan,0.02682,nan,nan,nan
MYS,4.9235,5.1104,5.6945,6.3969,6.2194,5.6327,5.6475,7.3169,7.8585,7.6962,8.1408,6.6528,7.8547,7.9503,9.0989,10.1269,9.3017,10.2867,12.3741,13.081,13.304,11.9495,nan,nan,nan,nan,nan
NER,0.70829,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.47,nan,nan,nan,nan,nan,nan,nan,1.788,nan,nan,nan,nan,nan,nan,nan,nan
NRU,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00035343,nan,nan,0.00035343,nan,nan,nan,6.6752e-05,nan,nan,0.00016569,nan,nan,nan,nan,nan,nan
PER,nan,nan,nan,nan,12.4087,nan,nan,nan,nan,nan,9.9926,nan,nan,nan,nan,nan,nan,nan,nan,nan,12.6708,nan,12.8246,nan,nan,nan,nan
PRY,nan,nan,nan,nan,8.8238,nan,nan,nan,nan,nan,7.4113,nan,nan,nan,nan,13.0449,nan,nan,nan,nan,nan,18.8038,19.1733,nan,nan,nan,nan
SAU,9.137,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.0432,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.4608,nan,9.6254,nan,nan,nan,nan
TCD,nan,nan,nan,0.63066,nan,nan,nan,nan,17.0754,15.8,15.5705,16.8519,14.8911,14.2474,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
TGO,nan,nan,2.4734,3.0694,2.5926,2.6069,3.3674,3.4866,3.6058,nan,2.0949,nan,nan,nan,nan,2.5926,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
TJK,2.682,2.98,2.682,2.682,2.384,2.086,2.086,2.086,2.086,1.788,1.788,1.788,2.086,2.086,2.384,2.384,2.086,2.086,1.788,2.682,2.682,nan,nan,nan,nan,nan,nan
TKM,nan,nan,nan,nan,0.51852,nan,nan,nan,nan,nan,0.91486,nan,nan,nan,1.2397,nan,nan,nan,nan,nan,1.2546,nan,nan,nan,nan,nan,nan
URY,6.8242,nan,nan,nan,7.3308,nan,nan,nan,10.0724,nan,7.0328,nan,9.7148,nan,7.7778,nan,10.9366,nan,11.2346,nan,7.9268,nan,9.1486,nan,8.5952,nan,nan
UZB,10.1103,10.122,10.1885,9.9102,9.5944,8.9731,8.7694,8.7848,8.783999999999999,8.6618,8.4593,8.1005,8.3652,8.1361,8.0552,7.0158,6.5994,6.4689,6.7969,7.2571,7.6933,8.1504,8.3646,nan,nan,nan,nan
VNM,nan,nan,nan,nan,8.1694,nan,nan,nan,nan,nan,14.45,nan,nan,nan,nan,nan,nan,nan,nan,nan,29.2673,nan,nan,30.2768,nan,nan,nan
YEM,nan,nan,nan,nan,nan,4.2107,nan,nan,nan,nan,3.6058,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.2167,nan,6.263999999999999,nan,nan,nan,nan
ZWE,nan,nan,nan,nan,0.71222,nan,nan,nan,nan,nan,33.5995,nan,nan,nan,nan,nan,4.3389,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
