cat,IPCMLULUCF
clss,TOTAL
ent,KYOTOGHG
family,emi
gwp,AR4
note,"Sum over CO2, CH4 and N2O. Interpolation method: linear."
scen,INTERLIN
srce,BUR3IPCC2006I
tablename,KYOTOGHGAR4_IPCMLULUCF_TOTAL_NET_INTERLIN_BUR3IPCC2006I
tpe,NET
unit,MtCO2eq
ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
AND,-0.13001,-0.130152,-0.130294,-0.130436,-0.130578,-0.13072,-0.127392,-0.12406400000000001,-0.12073600000000001,-0.117408,-0.11408,-0.114508,-0.114936,-0.11536400000000001,-0.115792,-0.11622,-0.120298,-0.124376,-0.12845399999999998,-0.13253199999999998,-0.13660999999999998,-0.13576,-0.13587,-0.13526,-0.13527,-0.13538,-0.13545,-0.1356,-0.13565,-0.13565,-0.13565,-0.13565,-0.13565,-0.13565,-0.13565,-0.13565,-0.13565,-0.13565,-0.13565,-0.13565,-0.13565,-0.13565,-0.13565,-0.13565,-0.13565,-0.13565,-0.13565,-0.13565,-0.13565,-0.13565,-0.13565,-0.13565,-0.13565,-0.13565,-0.13565,-0.13565,-0.13565,-0.13565,-0.13565,-0.13565,-0.13565
NAM,-90.65217500000001,-90.65217500000001,-90.65217500000001,-90.65217500000001,-87.9239,-89.7312,-91.5558,-93.3978,-95.2569,-97.1334,-99.3315,-99.2657,-103.7401,-104.1819,-106.0028,-103.7763,-100.1725,-97.4085,-106.0304,-94.1805,-98.4179,-95.679,-94.7162,-112.5945,-109.6649,-102.2145,-102.2145,-102.2145,-102.2145,-102.2145,-102.2145,-102.2145,-102.2145,-102.2145,-102.2145,-102.2145,-102.2145,-102.2145,-102.2145,-102.2145,-102.2145,-102.2145,-102.2145,-102.2145,-102.2145,-102.2145,-102.2145,-102.2145,-102.2145,-102.2145,-102.2145,-102.2145,-102.2145,-102.2145,-102.2145,-102.2145,-102.2145,-102.2145,-102.2145,-102.2145,-102.2145
