cat,IPC1
clss,TOTAL
ent,CH4
family,emi
gwp,AR4
note,Read in by JG and RG
scen,HISTORY
srce,UNFCCC2019BI
tablename,CH4AR4_IPC1_TOTAL_NET_HISTORY_UNFCCC2019BI
tpe,NET
unit,MtCO2eq
ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
LBN,nan,nan,nan,nan,0.074616,nan,nan,nan,nan,nan,0.0405,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.048,0.05275,0.052952,nan,nan,nan
LCA,nan,nan,nan,nan,0.0020137,nan,nan,nan,nan,nan,0.0032649999999999997,nan,nan,nan,nan,0.003095,nan,nan,nan,nan,0.0029625,nan,nan,nan,nan,nan,nan
MAR,nan,nan,nan,nan,1.6,nan,nan,nan,nan,nan,2.421,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.6664,nan,4.7763,nan,nan,nan,nan
MDA,1.1471,1.0247,0.81875,0.72419,0.70349,0.7363,0.81385,0.65228,0.60485,0.59817,0.64225,0.63352,0.69315,0.73654,0.78157,0.83409,0.73674,0.77003,0.76799,0.6446,0.66451,0.75803,0.75393,0.73523,nan,nan,nan
MDG,nan,nan,nan,nan,0.81375,nan,nan,nan,nan,nan,1.055,nan,nan,nan,nan,0.83,1.7448,1.8118,0.92643,0.97893,1.0448,nan,nan,nan,nan,nan,nan
MEX,22.0368,22.4109,22.1538,22.9952,23.1492,24.1865,29.6177,33.3737,34.9065,31.4123,32.1995,30.3539,29.315,30.9424,29.4985,30.1448,31.8007,36.3857,49.1757,46.1013,40.3861,38.4084,33.4587,38.7986,nan,nan,nan
MHL,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0038437,nan,nan,nan,nan,0.0046229999999999995,nan,nan,nan,nan,0.008250299999999999,nan,nan,nan,nan,nan,nan
MKD,0.27116,0.25606,0.25458000000000003,0.26111999999999996,0.26278,0.2645,0.25283,0.24216,0.27186,0.24431,0.28265999999999997,0.29222,0.27984000000000003,0.33625,0.32899999999999996,0.311,0.31675,0.30775,0.3585,0.35075,nan,nan,nan,nan,nan,nan,nan
MLI,nan,nan,nan,nan,nan,0.024807,nan,nan,nan,nan,0.86875,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.09595,nan,nan,nan,nan,nan,nan
MNE,0.091975,0.08735,0.086175,0.081525,0.0624,0.05845,0.07225,0.07565,0.075725,0.07565,0.071225,0.0645,0.08125,0.0915,0.09025,0.0855,0.09175,0.083,0.0965,0.0805,0.10300000000000001,0.10332999999999999,nan,nan,nan,nan,nan
