cat,IPCM0EL
clss,TOTAL
ent,KYOTOGHG
family,emi
gwp,AR4
note,calculated by the function combine_tables_varying_in_one_sheet_as by CC and JN from PRIMAP
scen,HISTORY
srce,UNFCCC2019BI
tablename,KYOTOGHGAR4_IPCM0EL_TOTAL_NET_HISTORY_UNFCCC2019BI
tpe,NET
unit,MtCO2eq
ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
JOR,nan,nan,nan,nan,14.1644,nan,nan,nan,nan,nan,19.7358,nan,nan,nan,nan,nan,27.084,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
KEN,nan,nan,nan,nan,nan,37.6261,nan,nan,nan,nan,36.7901,nan,nan,nan,nan,42.7286,nan,nan,nan,nan,53.669,nan,nan,nan,nan,nan,nan
KGZ,29.3159,26.4608,22.9249,18.4053,13.9087,10.3873,10.2932,11.2858,10.1168,9.7038,9.7893,9.7772,10.4293,10.9211,11.7373,12.1648,12.2142,13.2611,14.6036,14.5281,13.6056,nan,nan,nan,nan,nan,nan
KIR,nan,nan,nan,nan,0.029766,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.029658999999999998,0.03123,0.24948,0.26393,0.16668,nan,nan,nan,nan,nan,nan,nan,nan
KOR,298.8179,321.9745,348.8175,384.2892,409.6226,442.9345,476.9733,507.0364,435.9007,474.1496,507.1422,519.7375,541.6572,551.7452,560.5103,564.3752,569.5663,585.6897,598.8576,602.4015,662.7316,688.7126,693.4274,702.6859,696.7529,nan,nan
LBN,nan,nan,nan,nan,15.8798,nan,nan,nan,nan,nan,18.7562,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,24.9953,26.7503,26.4824,nan,nan,nan
LCA,nan,nan,nan,nan,0.29838000000000003,nan,nan,nan,nan,nan,0.5158699999999999,nan,nan,nan,nan,0.56872,nan,nan,nan,nan,0.6706,nan,nan,nan,nan,nan,nan
MAR,nan,nan,nan,nan,45.458,nan,nan,nan,nan,nan,60.77,nan,nan,nan,nan,nan,nan,nan,nan,nan,102.2553,nan,98.5624,nan,nan,nan,nan
MDA,44.2226,39.532,29.5363,23.9503,21.7202,18.1032,17.9219,16.6013,14.5984,12.293,11.2336,11.9058,11.6252,12.0952,12.7662,13.2219,12.3991,12.1251,13.5164,13.6021,14.4134,14.6226,13.8564,13.312999999999999,nan,nan,nan
MDG,nan,nan,nan,nan,22.6563,nan,nan,nan,nan,nan,29.8615,nan,nan,nan,nan,27.3994,29.3342,29.3751,28.7578,28.9559,29.3264,nan,nan,nan,nan,nan,nan
