cat,IPC2
clss,TOTAL
ent,SF6
family,emi
gwp,AR4
note,Read in by JG and RG
scen,HISTORY
srce,UNFCCC2019BI
tablename,SF6AR4_IPC2_TOTAL_NET_HISTORY_UNFCCC2019BI
tpe,NET
unit,MtCO2eq
ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
ARG,0.0006868599999999999,nan,nan,nan,0.0006391599999999999,nan,nan,0.03492499999999999,nan,nan,0.047631999999999994,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0016312999999999996,nan,0.04103999999999999,nan,nan,nan,nan
BRA,0.22799999999999998,0.22343999999999997,0.25079999999999997,0.32148,0.31919999999999993,0.32375999999999994,0.31464,0.38531999999999994,0.33743999999999996,0.33515999999999996,0.34883999999999993,0.33287999999999995,0.3989999999999999,0.4628399999999999,0.5243999999999999,0.57456,0.6361199999999999,0.7387199999999998,0.77748,0.4673999999999999,0.17555999999999997,0.18239999999999998,0.18924,0.19607999999999998,0.20292,0.20975999999999997,nan
CHL,0.06839999999999999,nan,nan,nan,0.06839999999999999,nan,nan,nan,nan,nan,0.09119999999999999,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.25079999999999997,nan,nan,0.22799999999999998,nan,nan,0.27359999999999995
KOR,0.16559,0.31729999999999997,0.35528999999999994,0.36798,0.8687899999999998,3.3306999999999998,2.1320999999999994,2.3102999999999994,1.3049999999999997,3.1842999999999995,2.7427999999999995,2.8737999999999997,2.6576999999999997,3.5719999999999996,4.1030999999999995,5.148799999999999,5.028299999999999,6.974199999999999,7.193599999999999,8.231299999999997,11.247699999999998,8.311099999999998,7.406899999999999,8.090399999999999,8.921799999999998,nan,nan
MDA,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.5599999999999995e-06,4.5599999999999995e-06,4.56e-05,0.00025079999999999997,0.00034199999999999996,0.00041039999999999995,0.0004331999999999999,0.0005243999999999998,0.0005472,0.0005927999999999999,0.0006383999999999998,nan,nan,nan
MEX,0.03144299999999999,0.03398999999999999,0.03838799999999999,0.04218499999999999,0.045418999999999994,0.04758399999999999,0.05597,0.058469,0.06036799999999999,0.06318199999999999,0.06790399999999998,0.07887499999999999,0.09093299999999999,0.10320999999999998,0.11347999999999998,0.11939999999999999,0.12224999999999998,0.13742,0.14026999999999998,0.14129999999999998,0.15327999999999997,0.16042999999999996,0.16574999999999998,0.18597999999999998,nan,nan,nan
MYS,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.005927999999999999,0.0018239999999999997,0.0022799999999999995,0.0022799999999999995,0.0027359999999999997,0.014819999999999996,0.009119999999999998,0.007273199999999999,0.007273199999999999,0.0096444,0.011217999999999999,0.013224,nan,nan,nan,nan,nan
SGP,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.080172,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.082283,nan,0.08521499999999999,nan,nan,nan,nan
URY,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0013907999999999998,nan,nan,nan,nan,nan,0.006383999999999999,nan,3.875999999999999e-06,nan,0.20292,nan,nan
