iso3, Y1990, Y1991, Y1992, Y1993, Y1994, Y1995, Y1996, Y1997, Y1998, Y1999, Y2000, Y2001, Y2002, Y2003, Y2004, Y2005, Y2006, Y2007, Y2008, Y2009, Y2010, Y2011, Y2012, Y2013, Y2014, Y2015, Y2016, Y2017, Y2018, Y2019, Y2020, Y2021, Y2022, Y2023, Y2024, Y2025, Y2026, Y2027, Y2028, Y2029, Y2030
LIE, 0.24653000000000005, 0.2526, 0.25189, 0.25785, 0.24494000000000002, 0.2482800000000001, 0.25004, 0.2619, 0.27304, 0.26985, 0.26118, 0.26095999999999997, 0.26677, 0.27698, 0.27853, 0.27964, 0.28265999999999997, 0.25340999999999997, 0.27302, 0.2578, 0.24403000000000002, 0.23034000000000002, 0.23886999999999997, 0.2464, 0.21484, 0.2122, 0.20217000000000002, 0.2081800000000001, 0.22044333333333327, 0.22044333333333327, 0.22044333333333327, 0.21046431874999993, 0.2004853041666666, 0.1905062895833333, 0.18052727499999996, 0.17054826041666662, 0.16056924583333332, 0.15059023124999998, 0.14061121666666668, 0.13063220208333332, 0.12065318750000001
LKA, 14.9437, 14.7181, 15.9648, 16.0716, 16.8115, 17.0942, 17.6318, 18.1943, 17.6113, 18.9073, 20.4446, 20.4206, 21.3278, 21.3675, 22.3316, 22.9445, 22.7794, 22.9123, 23.9261, 24.384, 25.0903, 27.2536, 28.0655, 27.5608, 30.0678, 34.8812, 37.1249, 38.5736, 38.6552, 40.3505, 42.1454, 43.21851408836758, 44.30854888602386, 45.40583402670109, 46.499667654520906, 47.57918254441212, 48.61133461979353, 49.56831253464425, 50.4469291374353, 51.243718432953, 51.95499225694286
LSO, 3.3281, 3.3931, 3.6183, 3.6397, 3.6508, 3.6113, 3.6291, 3.6333, 3.5832, 4.1862, 4.1544, 4.1808, 3.9823, 4.0717, 4.0902, 4.2954, 4.2604, 4.3525, 4.3264, 4.4437, 4.4991, 4.605, 4.6742, 4.6196, 4.6423, 4.691, 4.7304, 5.0964, 5.065633333333333, 5.034866666666667, 5.0041, 4.88639690899267, 4.759092818347467, 4.622187728064391, 4.475681638143442, 4.319574548584619, 4.278481143190378, 4.231898748509322, 4.179827364541449, 4.122266991286763, 4.059217628745261
LTU, 48.6851, 50.7054, 31.3554, 25.2504, 23.7729, 22.7537, 23.8134, 23.3692, 24.3209, 21.4925, 19.9413, 20.6988, 21.0874, 21.2327, 22.1243, 23.3237, 23.6332, 25.7509, 24.8367, 20.4916, 21.3483, 21.9063, 21.8281, 20.6049, 20.5619, 20.8272, 20.8585, 21.0517, 20.4728, 21.0604, 21.5756, 22.54539787828443, 23.50854228771079, 24.465103641912368, 25.41542832314877, 26.360038682305966, 27.295646809797137, 28.225091824307462, 29.159031731612533, 30.109422464829407, 31.089059999999996
LUX, 12.8713, 13.5236, 13.253, 13.4071, 12.5778, 10.1907, 10.2524, 9.5983, 8.7147, 9.1823, 9.7667, 10.2617, 11.0383, 11.4795, 12.9006, 13.1428, 12.9647, 12.3786, 12.2564, 11.7011, 12.2734, 12.1584, 11.8696, 11.3407, 10.8893, 10.3977, 10.155, 10.3395, 10.71, 10.9613, 11.1988, 10.977876214380302, 10.735825001409408, 10.473863972186974, 10.192816630820163, 9.893653557553339, 9.57575118035646, 9.23929574133169, 8.885999049135, 8.517308247826477, 8.134447
LVA, 26.8104, 24.8563, 20.0861, 16.6489, 14.7125, 13.3103, 13.370999999999999, 12.7953, 12.2977, 11.5061, 10.8866, 11.4523, 11.4323, 11.6158, 11.5977, 11.7667, 12.3157, 12.8131, 12.3826, 11.6374, 12.7526, 11.9634, 11.8472, 11.764000000000001, 11.6867, 11.7791, 11.8055, 11.8464, 11.6233, 11.9591, 12.2776, 11.850682059814607, 11.379918317916227, 10.86903001005828, 10.321617261358847, 9.740346317425873, 9.127687850981479, 8.482333770501203, 7.80166713023227, 7.084045696908538, 6.329027487499999
MAC, 1.176, 1.2397, 1.2402, 1.3424000000000005, 1.4355, 1.3874000000000002, 1.6131, 1.6863, 1.7634, 1.7453, 1.8206, 1.8836, 1.7006, 1.7126, 1.9032, 2.0368, 1.8630000000000002, 1.915, 1.7191, 2.4893, 1.8113, 1.8887, 1.7360999999999998, 1.6289, 1.7558, 1.8355, 2.0396, 2.1079, 2.304666666666667, 2.4030666666666662, 2.500666666666667, 2.5965333333333334, 2.6881, 2.7779666666666665, 2.8684333333333334, 2.9616333333333333, 3.0558, 3.1480666666666663, 3.2387, 3.3278, 3.4151333333333334
MAR, 42.4744, 43.3893, 43.6586, 44.6587, 46.8409, 48.4771, 51.4583, 54.0654, 55.7345, 59.2385, 61.598, 67.0767, 69.38, 70.4424, 78.8351, 83.3391, 87.6271, 90.6902, 94.7371, 95.773, 101.2148, 98.8444, 97.5034, 105.0705, 107.0225, 109.3424, 110.1822, 115.1722, 118.3648, 121.5574, 124.75, 113.73814904974532, 101.57137763532769, 88.24968575674714, 73.77307341400366, 58.14154060709726, 57.083511569498896, 55.8494414616154, 54.43933028344678, 52.85317803499305, 51.090984716254184
MCO, 0.17886, 0.1791, 0.183, 0.18066, 0.18188, 0.17972, 0.18539, 0.18345, 0.17618, 0.17585, 0.17613, 0.17439000000000002, 0.17359000000000002, 0.16975, 0.16517, 0.16409, 0.1562, 0.16022999999999998, 0.15737, 0.15194000000000002, 0.15388, 0.15097, 0.15333, 0.15395, 0.14745999999999998, 0.1521, 0.15085, 0.14976, 0.1512416666666667, 0.1512416666666667, 0.1512416666666667, 0.14161911546625003, 0.13199656426583337, 0.12237401306541668, 0.11275146186500001, 0.10312891066458335, 0.09350635946416667, 0.08388380826375, 0.07426125706333334, 0.06463870586291667, 0.05501615466249999
MDA, 45.2389, 41.0335, 33.0318, 24.8901, 21.1346, 17.9288, 17.6196, 16.2253, 14.5937, 12.8293, 11.8427, 12.6013, 12.3771, 12.7456, 13.7073, 13.9866, 13.1096, 12.9196, 14.0749, 14.5814, 14.6938, 15.1245, 14.2516, 13.7169, 14.5512, 15.135, 15.5058, 15.6432, 15.2178, 15.6522, 16.0911, 15.247455415698775, 14.348759386902442, 13.38421585343499, 12.346003117916553, 11.229078089213067, 10.035593129115126, 8.767679078539274, 7.423389083033285, 6.002556207665405, 4.506654285714286
