add_info,iso3,tar_type_used,tar_type_calc,tar_type_orig,condi,rge,ndc_value_exclLU,ndc_value_inclLU,ndc_strengthen_tar,int_ref,refyr,taryr,tar_emi_exclLU,tar_emi_inclLU,gwp,scenario,emi_bl_exclLU_refyr,emi_bl_exclLU_taryr,emi_bl_LU_refyr,emi_bl_LU_taryr,pc_cov_set_to_100,pc_cov_exclLU_refyr,pc_cov_exclLU_taryr,pop_refyr,pop_taryr,gdp_refyr,gdp_taryr,CO2,CH4,N2O,HFCS,PFCS,SF6,NF3,energy,ippu,agriculture,waste,other,lulucf,lulucf_tar_2030_fyson2019,emi_bl_onlyLU_refyr,emi_bl_onlyLU_taryr
,,,,,,,,,,,,,MtCO2eq,MtCO2eq,,,MtCO2eq (AR4),MtCO2eq (AR4),MtCO2eq (AR4),MtCO2eq (AR4),,%,%,Pers,Pers,2011GKD,2011GKD,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,MtCO2eq,,
,AGO,RBU,ABS,RBU,unconditional,best,,-20%,,,2025,2025,110.5254,124.6552,AR4,SSP5BLREMMP,141.6892,141.6892,106.1352714,106.1352714,Yes (not lulucf),1,1,35444356.83,35444356.83,2.52E+11,2.52E+11,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,,14.1298,14.1298
,AGO,RBU,ABS,RBU,unconditional,best,,-35%,,,2030,2030,80.1165,125.6125,AR4,SSP5BLREMMP,147.754,147.754,106.1352714,106.1352714,Yes (not lulucf),1,1,38821196.29,38821196.29,3.07E+11,3.07E+11,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,,45.496,45.496
,AGO,RBU,ABS,RBU,conditional,best,,-27%,,,2025,2025,99.61807,113.74787,AR4,SSP5BLREMMP,141.6892,141.6892,106.1352714,106.1352714,Yes (not lulucf),1,1,35444356.83,35444356.83,2.52E+11,2.52E+11,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,,14.1298,14.1298
,AGO,RBU,ABS,RBU,conditional,best,,-50%,,,2030,2030,51.129,96.625,AR4,SSP5BLREMMP,147.754,147.754,106.1352714,106.1352714,Yes (not lulucf),1,1,38821196.29,38821196.29,3.07E+11,3.07E+11,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,,45.496,45.496
,ALB,AEI,ABS,RBU,unconditional,best,2 tCO2eq/cap,,,,2050,2050,5.213775617,6.124775617,AR4,SSP5BLREMMP,22.3857,22.3857,0.911,0.911,,0.694828965,0.694828965,2606887.809,2606887.809,1.00E+11,1.00E+11,YES,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,,0.911,0.911
,ALB,ABS,ABS,RBU,unconditional,best,5.449 MtCO2eq_SAR,,,,2030,2030,5.659169204,6.570169204,AR4,SSP5BLREMMP,13.1262,13.1262,0.911,0.911,,0.645227375,0.645227375,2795919.727,2795919.727,49889629509,49889629509,YES,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,,0.911,0.911
,ALB,ABU,ABS,RBU,unconditional,best,-0.708 MtCO2eq_SAR,,,,2030,2030,5.659169204,6.570169204,AR4,SSP5BLREMMP,13.1262,13.1262,0.911,0.911,,0.645227375,0.645227375,2795919.727,2795919.727,49889629509,49889629509,YES,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,,0.911,0.911
,ALB,RBU,ABS,RBU,unconditional,best,-11.50%,,,,2030,2030,11.616687,12.527687,AR4,SSP5BLREMMP,13.1262,13.1262,0.911,0.911,Yes (not lulucf),1,1,2795919.727,2795919.727,49889629509,49889629509,YES,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,,0.911,0.911
,AND,ABS,ABS,ABU,unconditional,best,0.336820 MtCO2eq_SAR,,,,2030,2030,0.338715273,0.203065273,AR4,SSP5BLREMMP,0.578601667,0.578601667,-0.13565,-0.13565,,0.96133757,0.96133757,79120.5,79120.5,,,YES,YES,YES,NO,NO,YES,NO,YES,YES,NO,YES,NO,NO,,-0.13565,-0.13565
,AND,ABU,ABS,ABU,unconditional,best,-0.19373 MtCO2eq_SAR,,,,2030,2030,0.338715273,0.203065273,AR4,SSP5BLREMMP,0.578601667,0.578601667,-0.13565,-0.13565,,0.96133757,0.96133757,79120.5,79120.5,,,YES,YES,YES,NO,NO,YES,NO,YES,YES,NO,YES,NO,NO,,-0.13565,-0.13565
