2017_MtCO2eq_AR4,CO2_IPCM0EL,CH4_IPCM0EL,N2O_IPCM0EL,HFCS_IPCM0EL,PFCS_IPCM0EL,SF6_IPCM0EL,NF3_IPCM0EL,FGASES_IPCM0EL,KYOTOGHG_IPCM0EL,KYOTOGHG_IPC1,KYOTOGHG_IPC2,KYOTOGHG_IPCMAG,KYOTOGHG_IPC4,KYOTOGHG_IPC5,CO2_IPC1,CO2_IPC2,CO2_IPCMAG,CO2_IPC4,CO2_IPC5,CH4_IPC1,CH4_IPC2,CH4_IPCMAG,CH4_IPC4,CH4_IPC5,N2O_IPC1,N2O_IPC2,N2O_IPCMAG,N2O_IPC4,N2O_IPC5,HFCS_IPC2,PFCS_IPC2,SF6_IPC2,NF3_IPC2,FGASES_IPC2
ABW,95.18731707317075,3.726146341463415,1.0889756097560976,,,,,,100.0,90.97365853658536,6.1806829268292685,0.007047024390243902,2.6746341463414636,0.16663414634146342,89.00682926829269,6.1806829268292685,,,,1.153268292682927,,0.0,2.5728780487804883,,0.8135121951219513,3.533756097560976e-05,0.007047024390243902,0.10173658536585366,0.16663414634146342,,,,,
AFG,40.093475800643745,43.96096356501418,15.945560634342067,,,,,,100.0,41.680506768177075,0.7811402283984187,44.92629227354899,12.276488484545627,0.3356898249533356,39.31215920281015,0.7722041770161231,0.008995429092138331,,,2.1074971707403107,,30.45900145504784,11.394641308661209,,0.26075339143726395,0.00893899087288173,14.45847234674231,0.881905965696145,0.3356898249533356,,,,,
AGO,38.642286219183234,41.91398519223134,19.389997940325152,0.05381422926867613,,,,0.05381422926867613,100.0,56.735684016027655,1.223367259925991,36.58987495684135,5.102222558315166,0.34886115900988346,37.62478694305447,1.0174992761287665,,,,18.656276087971,,18.430806367678827,4.826902736581517,,0.45465083536232864,0.15207763481666406,18.158969087962046,0.275409372814083,0.34886115900988346,0.05381422926867613,,,,0.05381422926867613
AIA,95.9235995385207,3.7602230483271373,0.31288296372259966,,,,,,100.0,97.47468273298296,0.0005349506473529035,,2.4167414434046917,0.10464684014869889,95.9235995385207,0.0005020766568388669,,,,1.343481604922446,,,2.4167414434046917,,0.20821048583514937,3.2873990514036665e-05,,,0.10464684014869889,,,,,
ALB,61.103678603165925,24.84888138042831,12.322881165590854,1.7247541575930392,,,,1.7247541575930392,100.0,49.092311748679236,15.307168735290958,24.0823022763005,11.20572639473453,0.312197884827593,47.2632637715692,13.486909563196392,0.32339872855287444,0.029563587004286986,,1.4319892971885593,0.005402576096403425,13.221292344950832,10.19013114850151,,0.3969121998378954,0.08956475884495572,10.537777213558197,0.985908615958517,0.312197884827593,1.7247541575930392,,,,1.7247541575930392
AND,93.11852387345519,2.2611793865537537,1.9578987228476021,2.2854487245688317,,0.37693208027815067,,2.662398017143447,100.0,86.741368033323,10.356122413852455,1.629746290750112,1.0037522806292816,0.2693035904850425,84.48311473716824,7.649660917759647,0.3865537540018589,0.599779682605253,,1.3352783228338323,0.00973217666701091,0.9161244793280319,0.0,,0.9233020069537676,0.03433681021721918,0.32706805742022094,0.4039725980240283,0.2693035904850425,2.2854487245688317,,0.37693208027815067,,2.662398017143447
ANT,98.2079953031597,0.9009260247651582,0.8920393894107601,,,,,,100.0,97.70628736122971,1.46482707087959,0.12479451323654997,0.1441342869342442,0.5600982066609735,96.74290136635355,1.46482707087959,,,,0.6899418232280103,,0.07031917164816397,0.1406650298889838,,0.2739912467976089,1.0552679333902648e-06,0.054475341588386,0.0034647203245089667,0.5600982066609735,,,,,
ARE,80.26369494835612,18.392917101781432,0.6799342014065374,,0.20380313405847328,0.4596814189824013,,0.6634537484559203,100.0,83.546308532562,10.17664119127491,0.45051705495846,5.4894925560720464,0.33704066513259834,70.94777236643903,9.311032354055579,0.004882141657964372,,,12.594993638853207,0.007889824321452006,0.4046567291075604,5.385373058926091,,0.0035426042812212173,0.1942498621494823,0.041008603720577776,0.10409254313412009,0.33704066513259834,,0.20380313405847328,0.4596814189824013,,0.6634537484559203
ARG,58.679489469841585,27.775256669559877,13.255999774823549,0.23094659699217107,0.05776752484552149,0.0005714426859874188,,0.28928280726102146,100.0,56.719621427836984,5.181844344480908,32.77354199684408,5.023933614306057,0.3010873380179992,53.60848133993774,4.837042904730256,0.22442681966410796,0.009511120097744961,,2.583698718504736,0.020184024305270335,20.370168256209443,4.801198490168923,,0.5274126479084726,0.03532168351564775,12.17894404882193,0.21323692870810182,0.3010873380179992,0.23094659699217107,0.05776752484552149,0.0005714426859874188,,0.28928280726102146
ARM,58.42630703992461,26.358601438388433,6.696862748584281,8.517695378132583,0.0,,,8.517695378132583,100.0,63.76114573239574,10.875034448425152,18.122094108652558,6.971116662369875,0.2702890111746246,54.953016793051646,2.26337265639585,1.2100953888004835,,,8.503115915616915,,11.464435890369556,6.391494128210372,,0.3056886573559612,0.09417088196858303,5.447207232835794,0.5795603047463262,0.2702890111746246,8.517695378132583,0.0,,,8.517695378132583
