Row,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016
CO2_IPC1A1_TOTAL_NET_HISTORY_UNFCCC2019BI,NaN,NaN,NaN,NaN,353518,NaN,NaN,NaN,NaN,NaN,541191.33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,876180.8,NaN,NaN,NaN,NaN,NaN,NaN
CO2_IPC1A2_TOTAL_NET_HISTORY_UNFCCC2019BI,NaN,NaN,NaN,NaN,149806,NaN,NaN,NaN,NaN,NaN,228246.91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,299151.88,NaN,NaN,NaN,NaN,NaN,NaN
CO2_IPC1A3_TOTAL_NET_HISTORY_UNFCCC2019BI,NaN,NaN,NaN,NaN,79880,NaN,NaN,NaN,NaN,NaN,95976.83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,184230.69,NaN,NaN,NaN,NaN,NaN,NaN
CO2_IPC1A4_TOTAL_NET_HISTORY_UNFCCC2019BI,NaN,NaN,NaN,NaN,96266,NaN,NaN,NaN,NaN,NaN,86797,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82319.31,NaN,NaN,NaN,NaN,NaN,NaN
CO2_IPC1A_TOTAL_NET_HISTORY_UNFCCC2019BI,NaN,NaN,NaN,NaN,679470,NaN,NaN,NaN,NaN,NaN,952212.07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1441882.68,NaN,NaN,NaN,NaN,NaN,NaN
CO2_IPC1_TOTAL_NET_HISTORY_UNFCCC2019BI,NaN,NaN,NaN,NaN,679470,NaN,NaN,NaN,NaN,NaN,952212.07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1441882.68,NaN,NaN,NaN,NaN,NaN,NaN
CO2_IPC2A_TOTAL_NET_HISTORY_UNFCCC2019BI,NaN,NaN,NaN,NaN,38692,NaN,NaN,NaN,NaN,NaN,53558.17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,104545.23,NaN,NaN,NaN,NaN,NaN,NaN
CO2_IPC2B_TOTAL_NET_HISTORY_UNFCCC2019BI,NaN,NaN,NaN,NaN,14697,NaN,NaN,NaN,NaN,NaN,15785.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19506.71,NaN,NaN,NaN,NaN,NaN,NaN
CO2_IPC2C_TOTAL_NET_HISTORY_UNFCCC2019BI,NaN,NaN,NaN,NaN,46489,NaN,NaN,NaN,NaN,NaN,2522.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6824.27,NaN,NaN,NaN,NaN,NaN,NaN
CO2_IPC2_TOTAL_NET_HISTORY_UNFCCC2019BI,NaN,NaN,NaN,NaN,99878,NaN,NaN,NaN,NaN,NaN,72560.79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,132479.48,NaN,NaN,NaN,NaN,NaN,NaN
CO2_IPC3_TOTAL_NET_HISTORY_UNFCCC2019BI,NaN,NaN,NaN,NaN,14142,NaN,NaN,NaN,NaN,NaN,-236257.43,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-256325.07,NaN,NaN,NaN,NaN,NaN,NaN
CO2_IPCM0EL_TOTAL_NET_HISTORY_UNFCCC2019BI,NaN,NaN,NaN,NaN,779348,NaN,NaN,NaN,NaN,NaN,1024772.86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1574362.16,NaN,NaN,NaN,NaN,NaN,NaN
CO2_IPCMBKA_TOTAL_NET_HISTORY_UNFCCC2019BI,NaN,NaN,NaN,NaN,2880,NaN,NaN,NaN,NaN,NaN,3194.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3281.64,NaN,NaN,NaN,NaN,NaN,NaN
CO2_IPCMBKM_TOTAL_NET_HISTORY_UNFCCC2019BI,NaN,NaN,NaN,NaN,493,NaN,NaN,NaN,NaN,NaN,273,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,345.49,NaN,NaN,NaN,NaN,NaN,NaN
CO2_IPCMBK_TOTAL_NET_HISTORY_UNFCCC2019BI,NaN,NaN,NaN,NaN,3373,NaN,NaN,NaN,NaN,NaN,3467.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3627.13,NaN,NaN,NaN,NaN,NaN,NaN
CO2_IPCMLULUCF_TOTAL_NET_HISTORY_UNFCCC2019BI,NaN,NaN,NaN,NaN,14142,NaN,NaN,NaN,NaN,NaN,-236257.43,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-256325.07,NaN,NaN,NaN,NaN,NaN,NaN
KYOTOGHGAR4_IPC0_TOTAL_NET_HISTORY_UNFCCC2019BI,NaN,NaN,NaN,NaN,1298.728812,NaN,NaN,NaN,NaN,NaN,1379.8080631715,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1922.97924110999,NaN,NaN,NaN,NaN,NaN,NaN
KYOTOGHGAR4_IPC1_TOTAL_NET_HISTORY_UNFCCC2019BI,NaN,NaN,NaN,NaN,755.2672,NaN,NaN,NaN,NaN,NaN,1038.51825,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1519.6753,NaN,NaN,NaN,NaN,NaN,NaN
KYOTOGHGAR4_IPC2_TOTAL_NET_HISTORY_UNFCCC2019BI,NaN,NaN,NaN,NaN,102.61,NaN,NaN,NaN,NaN,NaN,90.4586499715,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,135.51299110999,NaN,NaN,NaN,NaN,NaN,NaN
KYOTOGHGAR4_IPC3_TOTAL_NET_HISTORY_UNFCCC2019BI,NaN,NaN,NaN,NaN,413.690612,NaN,NaN,NaN,NaN,NaN,189.2088732,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,193.44979,NaN,NaN,NaN,NaN,NaN,NaN
KYOTOGHGAR4_IPC4_TOTAL_NET_HISTORY_UNFCCC2019BI,NaN,NaN,NaN,NaN,27.161,NaN,NaN,NaN,NaN,NaN,61.62229,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74.34116,NaN,NaN,NaN,NaN,NaN,NaN
