Row,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016
N2O_IPC1A2_TOTAL_NET_HISTORY_UNFCCC2019BI,NaN,NaN,NaN,NaN,2.8,NaN,NaN,NaN,NaN,NaN,2.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.37,NaN,NaN,NaN,NaN,NaN,NaN
N2O_IPC1A3_TOTAL_NET_HISTORY_UNFCCC2019BI,NaN,NaN,NaN,NaN,0.7,NaN,NaN,NaN,NaN,NaN,6.22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.46,NaN,NaN,NaN,NaN,NaN,NaN
N2O_IPC1A4_TOTAL_NET_HISTORY_UNFCCC2019BI,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,NaN,22.26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.55,NaN,NaN,NaN,NaN,NaN,NaN
N2O_IPC1A_TOTAL_NET_HISTORY_UNFCCC2019BI,NaN,NaN,NaN,NaN,11.4,NaN,NaN,NaN,NaN,NaN,38.66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,48.44,NaN,NaN,NaN,NaN,NaN,NaN
N2O_IPC1_TOTAL_NET_HISTORY_UNFCCC2019BI,NaN,NaN,NaN,NaN,11.4,NaN,NaN,NaN,NaN,NaN,38.66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,48.44,NaN,NaN,NaN,NaN,NaN,NaN
N2O_IPC2B_TOTAL_NET_HISTORY_UNFCCC2019BI,NaN,NaN,NaN,NaN,9,NaN,NaN,NaN,NaN,NaN,12.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.11,NaN,NaN,NaN,NaN,NaN,NaN
N2O_IPC2_TOTAL_NET_HISTORY_UNFCCC2019BI,NaN,NaN,NaN,NaN,9,NaN,NaN,NaN,NaN,NaN,12.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.11,NaN,NaN,NaN,NaN,NaN,NaN
N2O_IPC3A2_TOTAL_NET_HISTORY_UNFCCC2019BI,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,0.0734,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.08,NaN,NaN,NaN,NaN,NaN,NaN
N2O_IPC3A_TOTAL_NET_HISTORY_UNFCCC2019BI,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,0.0734,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.08,NaN,NaN,NaN,NaN,NaN,NaN
N2O_IPC3C1_TOTAL_NET_HISTORY_UNFCCC2019BI,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,NaN,6.17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.07,NaN,NaN,NaN,NaN,NaN,
N2O_IPC3C_TOTAL_NET_HISTORY_UNFCCC2019BI,NaN,NaN,NaN,NaN,150,NaN,NaN,NaN,NaN,NaN,192.66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,268.62,NaN,NaN,NaN,NaN,NaN,NaN
N2O_IPC3_TOTAL_NET_HISTORY_UNFCCC2019BI,NaN,NaN,NaN,NaN,151.044,NaN,NaN,NaN,NaN,NaN,199.4834,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,270.57,NaN,NaN,NaN,NaN,NaN,NaN
N2O_IPC4D_TOTAL_NET_HISTORY_UNFCCC2019BI,NaN,NaN,NaN,NaN,7,NaN,NaN,NaN,NaN,NaN,13.23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43.67,NaN,NaN,NaN,NaN,NaN,
N2O_IPC4_TOTAL_NET_HISTORY_UNFCCC2019BI,NaN,NaN,NaN,NaN,7,NaN,NaN,NaN,NaN,NaN,13.23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43.67,NaN,NaN,NaN,NaN,NaN,NaN
N2O_IPCM0EL_TOTAL_NET_HISTORY_UNFCCC2019BI,NaN,NaN,NaN,NaN,178.4,NaN,NaN,NaN,NaN,NaN,257.4234,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,368.92,NaN,NaN,NaN,NaN,NaN,NaN
N2O_IPCM3C1AGRES_TOTAL_NET_HISTORY_UNFCCC2019BI,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,NaN,6.17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.07,NaN,NaN,NaN,NaN,NaN,
N2O_IPCM3C1AG_TOTAL_NET_HISTORY_UNFCCC2019BI,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,NaN,6.17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.07,NaN,NaN,NaN,NaN,NaN,
N2O_IPCM3CAG_TOTAL_NET_HISTORY_UNFCCC2019BI,NaN,NaN,NaN,NaN,150,NaN,NaN,NaN,NaN,NaN,192.66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,268.62,NaN,NaN,NaN,NaN,NaN,NaN
N2O_IPCMAGELV_TOTAL_NET_HISTORY_UNFCCC2019BI,NaN,NaN,NaN,NaN,150,NaN,NaN,NaN,NaN,NaN,192.66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,268.62,NaN,NaN,NaN,NaN,NaN,NaN
N2O_IPCMAG_TOTAL_NET_HISTORY_UNFCCC2019BI,NaN,NaN,NaN,NaN,151,NaN,NaN,NaN,NaN,NaN,192.7334,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,268.7,NaN,NaN,NaN,NaN,NaN,NaN
N2O_IPCMLULUCF_TOTAL_NET_HISTORY_UNFCCC2019BI,NaN,NaN,NaN,NaN,0.044,NaN,NaN,NaN,NaN,NaN,6.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.87,NaN,NaN,NaN,NaN,NaN,NaN
