2017_MtCO2eq_AR4,CO2_IPCM0EL,CH4_IPCM0EL,N2O_IPCM0EL,HFCS_IPCM0EL,PFCS_IPCM0EL,SF6_IPCM0EL,NF3_IPCM0EL,FGASES_IPCM0EL,KYOTOGHG_IPCM0EL,KYOTOGHG_IPC1,KYOTOGHG_IPC2,KYOTOGHG_IPCMAG,KYOTOGHG_IPC4,KYOTOGHG_IPC5,CO2_IPC1,CO2_IPC2,CO2_IPCMAG,CO2_IPC4,CO2_IPC5,CH4_IPC1,CH4_IPC2,CH4_IPCMAG,CH4_IPC4,CH4_IPC5,N2O_IPC1,N2O_IPC2,N2O_IPCMAG,N2O_IPC4,N2O_IPC5,HFCS_IPC2,PFCS_IPC2,SF6_IPC2,NF3_IPC2,FGASES_IPC2
BOL,0.037982097069978245,0.04319470883137218,0.004233804238439536,0.10764721149263709,,,,0.10764721149263709,0.19305782163242702,0.04008430868177803,0.11209780564771725,0.03483685943135956,0.005671585186072592,0.00036757748208718393,0.033549551252585484,0.0044298175803004726,2.674301943612324e-06,,,0.005989739603911114,,0.031962976451227164,0.005241992776233902,,0.0005448499337680541,2.0675000414102778e-05,0.002870944878648402,0.0004296343827170328,0.00036757748208718393,0.10764721149263709,,,,0.10764721149263709
BRA,1.0693140602537876,0.8660914568086897,0.3874149137139558,0.025798839537801665,0.00046816548503573503,0.00037145997333389404,,0.026638297104657916,2.349458937745483,0.9169707700714559,0.20776364915300666,1.051715042229038,0.16236221624276112,0.010647260049221346,0.8477908621224399,0.17770078490435864,0.043317059771741474,0.0005054374010041529,,0.036670654486157056,0.0022480673640410584,0.6703595430970422,0.15681319186144954,,0.03250925346285887,0.0011762689291181596,0.33803864922464594,0.005043461061672397,0.010647260049221346,0.025798839537801665,0.00046816548503573503,0.00037145997333389404,,0.026638297104657916
BRB,0.002781122918994782,0.0002720681974181132,0.00013996276012194386,,,,,,0.0031930867199294914,0.002721521431747988,0.00016608248231467633,0.00011702458210759663,0.00014602993968639748,4.2407297633661006e-05,0.0026151201851489577,0.0001660803836707592,0.0,,,8.539172234453568e-05,,5.1355915296348715e-05,0.00013532475706506307,,2.1177415767866242e-05,1.969367451844781e-09,6.567076545516506e-05,1.0704972756942713e-05,4.2407297633661006e-05,,,,,
BRN,0.02265486108553326,0.012460068664847435,0.00033557316235078904,0.0015264696395714194,,,,0.0015264696395714194,0.03697705649805958,0.03447358416930252,0.0019383285083102708,0.0002644920928772355,0.00024151194198454538,5.9152377448526216e-05,0.022239119725547696,0.0004118378822996801,,3.895292974604751e-06,,0.012195849395679428,,4.1465006514864864e-05,0.00022279203824365082,,3.8552088757873636e-05,2.1916138426699754e-09,0.0002230228890745363,1.4840770324451784e-05,5.9152377448526216e-05,0.0015264696395714194,,,,0.0015264696395714194
BTN,0.002960976702693736,0.0018279398382686732,0.0003552794287327397,,,,,,0.005144195969695149,0.0020798400676430642,0.0016712340969757809,0.0010947785858155888,0.0002435686130233432,5.470535098810518e-05,0.0012963953069352904,0.001664518436440931,,,,0.0006955325670187524,6.558052376672802e-06,0.0008827735773060408,0.00024308592492240086,,8.791429233293875e-05,1.563111962364695e-07,0.0002120050085095479,4.851645007645743e-07,5.470535098810518e-05,,,,,
BVT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWA,0.01649806942581775,0.013023344692207983,0.010325747801115401,,,,,,0.03984716191914114,0.017226508729457267,0.00048480773129866027,0.02086177972272829,0.0011378217725561432,0.00013639506546280478,0.016041404509447944,0.00045626617402554754,5.370429783962911e-07,,,0.0010642223303820209,,0.010876012236189678,0.0010831101256362867,,0.0001209259611495611,2.8547853204864188e-05,0.009985347757755187,5.470325234418805e-05,0.00013639506546280478,,,,,
CAF,0.0011841808166857802,0.015638255012965226,0.005509360011277621,,,,,,0.022331669922293598,0.0021311728978563246,0.0004530342623931509,0.019699550721415802,0.0,4.791833656007234e-05,0.000731188527170972,0.0004529922895148081,0.0,,,0.0013076860112095072,,0.01433038012380318,0.0,,9.2275274392757e-05,3.404839891168983e-08,0.005369170597612625,0.0,4.791833656007234e-05,,,,,
CAN,1.206643651852895,0.19485468055428287,0.08462361867086222,0.02638729929216789,0.001561349101474297,0.0008551764097956412,2.520051615702486e-07,0.02880388776275535,1.5149258388407956,1.2268859118912834,0.11815344267062658,0.12572262168657775,0.039367202055291074,0.004796660537016657,1.114857991086007,0.08607168297368926,0.0052694850115484445,0.00044426193081950307,,0.09852797407948584,0.00018234277538468208,0.05898553525711353,0.03715900892567568,,0.013499946725790624,0.003095499777782451,0.061467601417915775,0.001763973171674226,0.004796660537016657,0.02638729929216789,0.001561349101474297,0.0008551764097956412,2.520051615702486e-07,0.02880388776275535
CHE,0.08010880601191755,0.010193533234335538,0.005023943673242989,0.0031725200095415124,6.454589231557767e-05,0.0004124884619139937,1.1242645328514147e-06,0.0036505910938661517,0.09897687401336223,0.07653397596346018,0.008205907580411634,0.01276080433817369,0.0014496592722040718,2.654574690791201e-05,0.07549661627521756,0.004468222763984147,9.983458978229759e-05,2.0055900458546286e-05,2.4176377925460227e-05,0.0005744617994389087,6.0166022460505145e-06,0.00848607654334991,0.0011256496378367277,1.289616687082926e-06,0.0004628349294861978,8.105172672388882e-05,0.0041750422087595985,0.00030394659851947956,1.0803609021048325e-06,0.0031725200095415124,6.454589231557767e-05,0.0004124884619139937,1.1242645328514147e-06,0.0036505910938661517
CHL,0.18218873492116394,0.02932204294589737,0.015553469798712747,0.005748815282223368,7.93770088780106e-07,0.000509068054980806,,0.006258785754088544,0.23332303341986257,0.18076123732872487,0.013919885373610467,0.024463262548933357,0.012728904950633151,0.0014498691365957858,0.174800668875262,0.0065001298045597195,0.000888104132855578,0.0,,0.0034524791080880746,1.1638239706895158e-06,0.013970252827621843,0.011898261688228886,,0.0025080893453747846,0.00116000443876032,0.009604863615577589,0.0008306012895259243,0.0014498691365957858,0.005748815282223368,7.93770088780106e-07,0.000509068054980806,,0.006258785754088544
CHN,21.78480298185678,3.1678108624558408,1.4466235837779278,0.7131523616182819,0.03362846026386998,0.032186272164010925,1.9997558157649774e-05,0.7789870311633756,27.178224459253926,20.73683296969788,3.8213000366961647,2.241023685461959,0.27633075307821753,0.10273680445531141,18.840920573325725,2.8419921970319213,0.09945179713181115,0.002438414367325715,0.0,1.7196542192964417,0.009904759831336986,1.2194155790038297,0.21883609445984073,0.0,0.17625796721132447,0.1904160486695304,0.9221563093263188,0.05505645411544281,0.10273680445531141,0.7131523616182819,0.03362846026386998,0.032186272164010925,1.9997558157649774e-05,0.7789870311633756
CIV,0.02785949800004206,0.027568835817518077,0.008661942903606296,,,,,,0.06409006685677472,0.03791619965098003,0.0029290773151531974,0.015331223407887552,0.007541267051853192,0.0003723623902182646,0.02429998805217981,0.0029290773151531974,0.0006306005242224209,,,0.01291211656459953,,0.007651865586286505,0.00700464380224033,,0.0007040530613223434,1.5600269558064982e-07,0.007048505460108569,0.0005366862089303771,0.0003723623902182646,,,,,
CMR,0.02985258012815053,0.045948759243835846,0.015222303788587951,,0.00030302319519593773,,,0.00030302319519593773,0.09132668734220942,0.0447558900413331,0.005468226590501664,0.030796550162080393,0.009966040233717494,0.0003400013010159558,0.02442485736524968,0.0051649725444748405,0.0002628341641826944,,,0.01979189105376999,,0.016872677365027355,0.009283980960646783,,0.0005392675409484599,1.6371101468830742e-07,0.013660912714235314,0.0006820382866315381,0.0003400013010159558,,0.00030302319519593773,,,0.00030302319519593773
