folder,SSP,type,pccov,BAU_68_percent_median,BAU_68_percent_low,BAU_68_percent_high,BAU_95_percent_median,BAU_95_percent_low,BAU_95_percent_high,NDCUCW_68_percent_median,NDCUCW_68_percent_low,NDCUCW_68_percent_high,NDCUCW_95_percent_median,NDCUCW_95_percent_low,NDCUCW_95_percent_high,NDCUCB_68_percent_median,NDCUCB_68_percent_low,NDCUCB_68_percent_high,NDCUCB_95_percent_median,NDCUCB_95_percent_low,NDCUCB_95_percent_high,NDCCW_68_percent_median,NDCCW_68_percent_low,NDCCW_68_percent_high,NDCCW_95_percent_median,NDCCW_95_percent_low,NDCCW_95_percent_high,NDCCB_68_percent_median,NDCCB_68_percent_low,NDCCB_68_percent_high,NDCCB_95_percent_median,NDCCB_95_percent_low,NDCCB_95_percent_high
ndc_quantifications_20200628_2234_SSP3pccov100ForAllCountries_typeCalcForAllCountries,SSP3,type_calc,pccov_100,4.23266,3.40437,5.54512,4.23266,2.74714,7.49903,3.2939,2.64085,4.15972,3.2939,2.06948,5.73949,3.0453,2.44661,3.84677,3.0453,1.9177,5.27323,2.6805,2.15619,3.37352,2.6805,1.66505,4.58602,2.65584,2.1364,3.34486,2.65584,1.65037,4.54258
ndc_quantifications_20200702_0840_SSP3_pccov100ForAllCountries_typeOrigForAllCountries,SSP3,type_orig,pccov_100,4.02838,3.23067,5.22286,4.02838,2.58735,7.12349,3.04196,2.44411,3.84267,3.04196,1.91583,5.26602,2.90183,2.33111,3.6533,2.90183,1.81805,4.94331,2.6018,2.0933,3.28416,2.6018,1.61806,4.44889,2.58085,2.07855,3.26059,2.58085,1.605516,4.41182
ndc_quantifications_20200628_2243_SSP4_typeCalcForAllCountries,SSP4,type_calc,pccov_real,4.19199,3.37208,5.48011,4.19199,2.71724,7.42039,3.39044,2.72167,4.28965,3.39044,2.14075,5.9211,3.18883,2.56104,4.02464,3.18883,2.00551,5.54872,2.87768,2.30958,3.62624,2.87768,1.79,4.91764,2.84727,2.28697,3.5898,2.84727,1.76938,4.86536
ndc_quantifications_20200702_0844_SSP4_typeOrigForAllCountries,SSP4,type_orig,pccov_real,4.05638,3.25986,5.2702,4.05638,2.61417,7.1774,3.10613,2.49961,3.92113,3.10613,1.95484,5.40485,2.89227,2.32477,3.64505,2.89227,1.80905,4.93364,2.66729,2.14605,3.35784,2.66729,1.65731,4.56273,2.64657,2.12877,3.33399,2.64657,1.64484,4.52553
ndc_quantifications_20200628_2248_SSP4pccov100ForAllCountries_typeCalcForAllCountries,SSP4,type_calc,pccov_100,4.19199,3.37208,5.48011,4.19199,2.71724,7.42039,3.40779,2.73907,4.31984,3.40779,2.15492,5.95588,3.16522,2.54075,3.98972,3.16522,1.98974,5.50101,2.83822,2.28031,3.57869,2.83822,1.76358,4.84962,2.79981,2.25174,3.52554,2.79981,1.73847,4.78355
ndc_quantifications_20200702_0845_SSP4_pccov100ForAllCountries_typeOrigForAllCountries,SSP4,type_orig,pccov_100,4.05638,3.25986,5.2702,4.05638,2.61417,7.1774,3.13104,2.51697,3.95222,3.13104,1.96985,5.44742,2.87747,2.31366,3.62894,2.87747,1.79925,4.90809,2.64772,2.12967,3.33562,2.64772,1.64533,4.52784,2.62541,2.11192,3.3118,2.62541,1.63247,4.48968
ndc_quantifications_20200628_2258_SSP5_typeCalcForAllCountries,SSP5,type_calc,pccov_real,4.53565,3.63735,5.97587,4.53565,2.97594,8.29931,3.98289,3.20202,5.16029,3.98289,2.56577,7.03008,3.83797,3.10251,4.97724,3.83797,2.46417,6.81393,3.41384,2.742,4.33921,3.41384,2.15535,5.97421,3.3622,2.69358,4.25279,3.3622,2.1171,5.86547
ndc_quantifications_20200628_2300_SSP5_typeOrigForAllCountries,SSP5,type_orig,pccov_real,4.49311,3.60192,5.90363,4.49311,2.94858,8.20657,3.91165,3.15503,5.07006,3.91165,2.51247,6.93049,3.62444,2.9353,4.68794,3.62444,2.31481,6.44327,3.27266,2.62592,4.1282,3.27266,2.05722,5.69912,3.27705,2.62913,4.13525,3.27705,2.06006,5.70807
ndc_quantifications_20200628_2301_SSP5pccov100ForAllCountries_typeCalcForAllCountries,SSP5,type_calc,pccov_100,4.53565,3.63735,5.97587,4.53565,2.97594,8.29931,4.07331,3.27461,5.29102,4.07331,2.62688,7.20838,3.94699,3.17702,5.11626,3.94699,2.54247,6.98171,3.5486,2.86382,4.55991,3.5486,2.26363,6.2603,3.50291,2.82269,4.4934,3.50291,2.22965,6.15978
ndc_quantifications_20200628_2303_SSP5pccov100ForAllCountries_typeOrigForAllCountries,SSP5,type_orig,pccov_100,4.49311,3.60192,5.90363,4.49311,2.94858,8.20657,4.04266,3.25408,5.24385,4.04266,2.61173,7.13453,3.78666,3.05765,4.91673,3.78666,2.42498,6.73003,3.41227,2.74237,4.3313,3.41227,2.15799,5.96507,3.38682,2.71888,4.28171,3.38682,2.13938,5.90976
