,bl,tars_calc,calc,tars_orig,orig,calc_vs_orig
CHN,15979.190042857144,10913.972456898771,-31.69883812867333,11803.741597757295,-26.130538743835245,-5.568299384838085
IND,3713.4937,5939.201074663381,59.93567121612139,4563.286272971114,22.883910452604624,37.05176076351677
IDN,2043.4278857142856,1205.6224525714288,-40.99999999999999,1211.5604005714288,-40.70941240248737,-0.2905875975126264
NGA,714.0787204285713,392.74329623571435,-44.99999999999997,421.4519078691724,-40.9796293024629,-4.020370697537075
KOR,636.362,383.69103500000006,-39.705539457101445,383.8573614835098,-39.67940237105455,-0.026137086046894353
PAK,515.3883299714286,412.3106639771429,-20.0,462.7320239771429,-10.216821556127357,-9.783178443872643
ZMB,478.73781428571436,253.73104157142848,-47.00000000000003,254.93716450414055,-46.74806190429902,-0.2519380957010071
IRQ,409.31742231428564,370.7874409978783,-9.41322778262365,377.53503595335917,-7.764728454808605,-1.6484993278150455
VNM,402.54605,288.5917625,-28.308385462979942,288.5917875,-28.308379252510363,-6.210469578604716e-06
VEN,387.03059000000013,309.624472,-20.000000000000014,318.6357802887036,-17.671680605736242,-2.3283193942637723
TZA,353.42087142857144,327.20297142857146,-7.418322492959732,347.3786514285714,-1.709638702314507,-5.708683790645225
COL,338.07664,236.653648,-30.0,236.653678,-29.999991126272434,-8.87372756608329e-06
UZB,285.1945666666667,713.1119123733748,150.04400354052146,656.5359477507875,130.20633086539192,19.83767267512954
COD,272.17458571428574,225.90490614285716,-17.0,231.34480557069332,-15.001319846392022,-1.9986801536079781
BGD,238.7553,205.67283,-13.856224343501495,217.7161004494256,-8.81203456031109,-5.044189783190404
PER,232.12495,162.487465,-30.0,163.436305,-29.5912373917582,-0.4087626082418012
AGO,212.0240714285714,106.0120357142857,-50.0,106.23153571428571,-49.89647401895404,-0.10352598104596211
PHL,210.0945162857143,-2.9147023142856767,-101.3873290773196,65.7480523899076,-68.70548858091341,-32.681840496406195
CMR,171.29128142857144,158.8072083842373,-7.288212768458976,158.98179709287882,-7.186287727566381,-0.10192504089259558
MYS,132.40654999999998,187.74751015986263,41.79624056352398,192.05427287155536,45.04892157642911,-3.2526810129051285
OMN,122.5506,120.09958799999998,-2.000000000000014,120.15466320072592,-1.9550592157640097,-0.04494078423600456
