,bl,tars_calc,calc,tars_orig,orig,calc_vs_orig
CHN,16532.5427,13266.422705027167,-19.755702762968426,13790.922766008338,-16.583171649643845,-3.172531113324581
IND,3965.4359999999997,6450.6100613837925,62.670890701143406,5008.945013936711,26.315114250657714,36.35577645048569
IDN,1251.9683,1104.2360406,-11.799999999999997,1105.945011,-11.663497310594835,-0.13650268940516241
KOR,682.8945,430.22353499999997,-37.0,430.3898614835098,-36.975643897628444,-0.02435610237155572
NGA,531.9424,425.55392000000006,-20.0,438.31330294820367,-17.601360044207098,-2.398639955792902
VNM,429.1816,394.847072,-8.0,394.84708,-7.999998135987184,-1.8640128160996028e-06
IRQ,411.2944,408.5524373333333,-0.6666666666666856,409.0346722973819,-0.549418543655861,-0.11724812301082466
MYS,393.986,619.6660601889286,57.2812384675924,623.65690703002,58.294179750046965,-1.0129412824545625
UZB,288.0084,715.9257457067081,148.57807817643794,659.3497810841209,128.93421896171114,19.643859214726803
COL,224.1487,179.31896,-20.0,179.31898,-19.999991077351766,-8.922648234488406e-06
BGD,220.5498,209.52231,-5.0,213.53673348314186,-3.1798108712219033,-1.8201891287780967
PER,166.476,133.1808,-20.0,133.81336000000002,-19.620029313534673,-0.3799706864653274
COD,108.8342,144.74948600000002,33.00000000000003,134.1896812283179,23.29734699967281,9.702653000327217
AGO,105.8888,68.82772,-35.0,68.98137,-34.8548949463966,-0.14510505360340176
ECU,87.777,79.87707000000002,-8.999999999999986,79.95805338798752,-8.907739626567874,-0.09226037343211146
YEM,73.9779,73.23812099999999,-1.0000000000000142,73.28102127920616,-0.9420093308864494,-0.05799066911356476
TCD,71.3566,63.2933042,-11.299999999999997,63.316738381279,-11.267159055673886,-0.032840944326110844
TUN,55.7418,76.31436845949379,36.90689654710434,76.7219684594938,37.638125176247996,-0.7312286291436578
LKA,55.1854,53.0883548,-3.799999999999997,53.29805932,-3.4200000000000017,-0.37999999999999545
GTM,51.3162,45.56878560000001,-11.199999999999974,45.783623999999996,-10.781343903094935,-0.418656096905039
URY,43.4035,52.72744786447033,21.482018418953146,53.15292862585455,22.462309781134124,-0.9802913621809779
NER,35.6811,34.432261499999996,-3.500000000000014,34.46214094481791,-3.416259743063108,-0.08374025693690612
BIH,33.7297,35.025690000000004,3.8422814314980798,36.44571571524681,8.052297278798235,-4.210015847300156
HTI,24.8346,23.59287,-5.0,23.60619954296921,-4.946326725740647,-0.053673274259352866
BWA,16.7219,23.157485,38.48596750369276,16.7219,0.0,38.48596750369276
TGO,15.2533,13.55408238,-11.14,13.699876305974994,-10.184181088846373,-0.9558189111536279
TJK,14.8592,25.84854,73.95647141165068,23.262377381457227,56.5520174804648,17.404453931185884
SLV,14.1796,7.656984,-46.00000000000001,10.265039721918988,-27.60698664335392,-18.393013356646087
MRT,13.3357,12.9756361,-2.700000000000003,12.97728202,-2.6876577907421364,-0.012342209257866443
ALB,11.4927,10.171039500000001,-11.499999999999986,10.662455069394788,-7.224106873103892,-4.275893126896094
BDI,9.3641,9.083177,-3.000000000000014,9.148774361487105,-2.299480339946143,-0.700519660053871
JAM,9.2243,8.5048046,-7.799999999999997,8.664586370082036,-6.067816852422013,-1.7321831475779845
ERI,6.021,5.2984800000000005,-11.999999999999986,5.907071759616978,-1.892181371583149,-10.107818628416837
LSO,5.7766,5.19894,-10.0,5.1989420000000015,-9.9999653775577,-3.4622442299792056e-05
FJI,2.5626,2.30634,-10.000000000000014,2.441689599365575,-4.718270531273902,-5.2817294687261125
MDV,1.6001,1.4400899999999999,-10.000000000000014,1.44347333543317,-9.788554750754969,-0.21144524924504537
SLB,0.56495,0.395465,-30.0,0.4712777912968403,-16.580619294302096,-13.419380705697904
VCT,0.333575,0.26018850000000004,-21.999999999999986,0.2601885256666667,-21.999992305578445,-7.694421540804797e-06
FSM,0.23053000000000004,0.13517279999999998,-41.36433435995317,0.1621023407965845,-29.682756779341318,-11.681577580611851
KIR,0.12119333333333332,0.10568058666666666,-12.799999999999997,0.11039373440932758,-8.911050325105123,-3.8889496748948744
TUV,0.023135666666666662,0.01069788,-53.76022591381272,0.01562920931984982,-32.44539029269458,-21.314835621118135
