iso3,type_calc,type_orig,bl,bl_global_share,diff,tar_calc,tar_calc_ndc,tar_orig,tar_orig_ndc,refyr_emi_ssp,refyr_emi_ndc,diff_emi_refyr
ANT,7,7,7,0.0,0.0,baseline_emissions,nan,baseline_emissions,nan,,
ERI,8,4,6,0.0,-4.611085,ABS,ABS,RBU,RBU,,
LSO,4,4,6,0.0,-0.15497232857142906,ABS,ABS,RBU,RBU,,
TLS,5,5,5,0.0,0.0,baseline_emissions,NGT,baseline_emissions,NGT,,
ISL,2,2,5,0.0,0.0,RBY,RBY,RBY,RBY,3.6
SUR,5,5,5,0.0,0.0,baseline_emissions,NGT,baseline_emissions,NGT,,
GUY,5,5,5,0.0,0.0,baseline_emissions,NGT,baseline_emissions,NGT,,
MNE,4,4,5,0.0,0.7677800000000001,ABS,ABS,RBY,RBY,6.3,
BTN,6,6,4,0.0,0.0,ABS,ABS,ABS,ABS,,
BHS,3,3,4,0.0,0.0,RBU,RBU,RBU,RBU,,
MAC,3,3,3,0.0,0.0,baseline_emissions,nan,baseline_emissions,nan,,
GMB,2,3,3,0.0,1.1328468160000003,ABS,ABS,RBU,RBU,,
GNB,3,3,3,0.0,0.0,baseline_emissions,NGT,baseline_emissions,NGT,,
MLT,1,1,3,0.0,0.0,RBY,RBY,RBY,RBY,2.2
SWZ,2,3,3,0.0,0.97,ABU,ABU,baseline_emissions,NGT,2.5
DJI,2,1,3,0.0,-0.7300800000000001,ABS,ABS,RBU,RBU,,
FJI,2,2,3,0.0,0.0,RBU,RBU,RBU,RBU,,
MDV,3,1,2,0.0,-1.2919239999999999,ABS,ABS,RBU,RBU,,
BRB,1,1,1,0.0,-0.380235857142857,ABS,ABS,RBU,RBU,1.8
BLZ,1,1,1,0.0,0.7548999999999999,ABU,ABU,baseline_emissions,NGT,,
CPV,1,1,1,0.0,0.0006999999999999229,ABU,ABU,baseline_emissions,NGT,,
ABW,1,1,1,0.0,0.0,baseline_emissions,nan,baseline_emissions,nan,,
COM,0,0,1,0.0,0.15266851428571435,ABS,ABS,RBU,RBU,,
VUT,1,1,1,0.0,0.0,RBU,RBU,RBU,RBU,,
LCA,1,1,1,0.0,-0.05141373333333343,ABS,ABS,RBU,RBU,,
ATG,1,1,1,0.0,0.0,baseline_emissions,NGT,baseline_emissions,NGT,,
AND,0,0,1,0.0,0.04805166666666666,ABS,ABS,ABU,ABU,,
SYC,1,1,1,0.0,0.0,ABS,ABS,ABU,ABU,,
SLB,0,0,1,0.0,0.0,RBU,RBU,RBU,RBU,,
WSM,0,0,0,0.0,0.0,RBU,RBU,RBU,RBU,,
VCT,1,0,0,0.0,-0.24199249999999994,ABS,ABS,RBU,RBU,,
GRD,0,0,0,0.0,0.02268672857142856,ABS,ABS,RBY,RBY,0.3
PLW,0,0,0,0.0,0.0,RBY,RBY,RBY,RBY,0.3
KNA,1,0,0,0.0,-0.3444965714285715,ABS,ABS,RBU,RBU,,
TON,-0,0,0,0.0,0.27,ABU,ABU,baseline_emissions,NGT,,
FSM,0,0,0,0.0,0.028031,ABS,ABS,RBY,RBY,0.2,
SMR,0,0,0,0.0,-0.0005606666666666538,ABS,ABS,RBY,RBY,0.3
TCA,0,0,0,0.0,0.0,baseline_emissions,nan,baseline_emissions,nan,,
DMA,0,0,0,0.0,0.030582579999999998,ABS,ABS,RBY,RBY,0.2,
LIE,0,0,0,0.0,0.027264812500000027,ABS,ABS,RBY,RBY,0.2
STP,0,0,0,0.0,-0.03149333333333329,ABS,ABS,ABU,ABU,,
VGB,0,0,0,0.0,0.0,baseline_emissions,nan,baseline_emissions,nan,,
MHL,0,0,0,0.0,-0.004072499999999993,ABS,ABS,RBY,RBY,0.2,
MCO,0,0,0,0.0,0.034413845337500006,ABS,ABS,RBY,RBY,0.2
AIA,0,0,0,0.0,0.0,baseline_emissions,nan,baseline_emissions,nan,,
KIR,0,0,0,0.0,0.016246853333333332,ABS,ABS,RBU,RBU,,
COK,0,0,0,0.0,0.003539927000000005,ABS,ABS,RBY,RBY,0.1,
NRU,0,0,0,0.0,0.0,baseline_emissions,NGT,baseline_emissions,NGT,,
TUV,0,0,0,0.0,0.0,RBY,RBY,RBY,RBY,0.0,
NIU,0,0,0,0.0,0.0031000000000000003,ABU,ABU,baseline_emissions,NGT,,
SHN,0,0,0,0.0,0.0,baseline_emissions,nan,baseline_emissions,nan,,
VAT,0,0,0,0.0,0.0,baseline_emissions,nan,baseline_emissions,nan,,
ATA,0,0,0,0.0,0.0,baseline_emissions,nan,baseline_emissions,nan,,
TKL,0,0,0,0.0,0.0,baseline_emissions,nan,baseline_emissions,nan,,
PCN,0,0,0,0.0,0.0,baseline_emissions,nan,baseline_emissions,nan,,
BES,nan,nan,nan,nan,nan,baseline_emissions,nan,baseline_emissions,nan,,
BVT,nan,nan,nan,nan,nan,baseline_emissions,nan,baseline_emissions,nan,,
CUW,nan,nan,nan,nan,nan,baseline_emissions,nan,baseline_emissions,nan,,
IOT,nan,nan,nan,nan,nan,baseline_emissions,nan,baseline_emissions,nan,,
MSR,nan,nan,nan,nan,nan,baseline_emissions,nan,baseline_emissions,nan,,
SGS,nan,nan,nan,nan,nan,baseline_emissions,nan,baseline_emissions,nan,,
SXM,nan,nan,nan,nan,nan,baseline_emissions,nan,baseline_emissions,nan,,
UMI,nan,nan,nan,nan,nan,baseline_emissions,nan,baseline_emissions,nan,,
