iso3,type_calc,type_orig,bl,bl_global_share,diff,tar_calc,tar_calc_ndc,tar_orig,tar_orig_ndc,refyr_emi_ssp,refyr_emi_ndc,diff_emi_refyr
UGA,54,54,99,0.2,0.0,ABS,ABS,ABS,NGT,,
MOZ,88,97,97,0.2,8.90000000000002,ABU,ABU,baseline_emissions,NGT,,
SGP,65,65,97,0.2,0.0,ABS,ABS,ABS,ABS,,
TTO,73,73,86,0.2,0.0,RBU,RBU,RBU,RBU,,
GRC,59,59,86,0.2,0.0,RBY,RBY,RBY,RBY,101.7
CHL,25,25,84,0.2,0.0,ABS,ABS,ABS,ABS,,
AUT,31,31,80,0.1,0.0,RBY,RBY,RBY,RBY,68.5
SYR,78,78,78,0.1,0.0,baseline_emissions,NGT,baseline_emissions,NGT,,
PNG,74,74,74,0.1,0.0,baseline_emissions,NGT,baseline_emissions,NGT,,
YEM,36,62,72,0.1,25.95099399999998,ABS,ABS,RBU,RBU,,
GIN,55,54,70,0.1,-0.7598500000000143,ABS,ABS,RBU,RBU,,
KHM,56,70,70,0.1,13.695,ABU,ABU,baseline_emissions,NGT,,
IRL,36,36,70,0.1,0.0,RBY,RBY,RBY,RBY,60.5
LBY,69,69,69,0.1,0.0,baseline_emissions,nan,baseline_emissions,nan,,
BLR,70,72,67,0.1,1.0638800000000117,ABS,ABS,RBY,RBY,119.5
CIV,32,49,65,0.1,17.169152000000004,ABS,ABS,RBU,RBU,,
SRB,66,66,65,0.1,0.0,RBY,RBY,RBY,RBY,74.0
PRT,37,37,64,0.1,0.0,RBY,RBY,RBY,RBY,61.4
CHE,25,25,63,0.1,-0.009700000000002262,ABS,ABS,RBY,RBY,50.8
BGR,44,44,62,0.1,0.0,RBY,RBY,RBY,RBY,90.2
GHA,41,33,60,0.1,-7.452255000000001,ABS,ABS,RBU,RBU,,
HUN,53,53,60,0.1,0.0,RBY,RBY,RBY,RBY,92.2
AZE,45,46,59,0.1,0.29368000000001615,ABS,ABS,RBY,RBY,74.1,
LKA,47,47,58,0.1,0.0,RBU,RBU,RBU,RBU,,
BWA,48,64,58,0.1,16.096484999999987,ABS,ABS,RBY,RBY,38.1
NPL,57,57,57,0.1,0.0,baseline_emissions,NGT,baseline_emissions,NGT,,
HKG,56,56,56,0.1,0.0,baseline_emissions,nan,baseline_emissions,nan,,
TUN,42,51,55,0.1,8.630238646622239,ABS,ABS,REI,REI,39.2,
COG,53,45,55,0.1,-7.104065387025422,ABS,ABS,RBU,RBU,,
PRK,112,19,54,0.1,-93.37983700000002,ABS,ABS,RBU,RBU,,
