,bl,tars_calc,calc,tars_orig,orig,calc_vs_orig
CHN,15979.190042857144,12593.310065027168,-21.189309149893347,13117.81012600834,-17.906914613158804,-3.282394536734543
IND,3713.4937,6136.480353883791,65.24816923437331,4694.815306436711,26.425831998495397,38.82233723587791
IDN,2043.4278857142856,1450.8337988571427,-29.0,1455.0338108571427,-28.794462431027668,-0.205537568972332
NGA,714.0787204285713,571.2629763428573,-19.999999999999957,584.0223592910608,-18.213168578872384,-1.786831421127573
KOR,636.362,383.69103500000006,-39.705539457101445,383.8573614835098,-39.67940237105455,-0.026137086046894353
ZMB,478.73781428571436,359.05336071428565,-25.00000000000003,359.6949154657283,-24.86599037462713,-0.1340096253728973
IRQ,409.31742231428564,406.56528079168515,-0.6723734130445393,407.0472518599338,-0.5546234610577443,-0.11774995198679505
VNM,402.54605,366.080678,-9.05868334815358,366.080686,-9.058681360803305,-1.987350273680022e-06
VEN,387.03059000000013,387.03059000000013,0.0,318.6357802887036,-17.671680605736242,17.671680605736242
TZA,353.42087142857144,340.31192142857134,-3.709161246479894,350.3997614285714,-0.8548193511572606,-2.8543418953226336
COL,338.07664,270.461312,-20.0,270.46133199999997,-19.999994084181623,-5.9158183773888595e-06
UZB,285.1945666666667,713.1119123733748,150.04400354052146,656.5359477507875,130.20633086539192,19.83767267512954
COD,272.17458571428574,225.90490614285716,-17.0,231.34480557069332,-15.001319846392022,-1.9986801536079781
BGD,238.7553,227.72781,-4.618741447833827,231.74223348314186,-2.9373448534370254,-1.6813965943968014
PER,232.12495,185.69996,-20.0,186.33252,-19.727491594505466,-0.27250840549453414
AGO,212.0240714285714,137.81564642857143,-35.0,137.96929642857143,-34.927531813267834,-0.07246818673216637
CMR,171.29128142857144,158.8072083842373,-7.288212768458976,158.98179709287882,-7.186287727566381,-0.10192504089259558
MYS,132.40654999999998,306.2935301889285,131.3280802112347,310.28437703001987,134.3421658747395,-3.014085663504801
ECU,118.37200888571431,106.53480799714286,-10.000000000000014,106.62218886480544,-9.926181139878338,-0.07381886012167627
YEM,72.26440000000002,71.52462100000002,-1.0237115370777303,71.56752127920615,-0.9643458200633717,-0.059365717014358665
GIN,70.33964999999999,54.16529999999999,-22.994641002620867,68.20054502688565,-3.0411083551231,-19.953532647497767
LKA,57.98670134285714,55.78320669182857,-3.799999999999997,55.99291121182856,-3.438357562779643,-0.36164243722035394
BWA,57.66238142857142,64.09796642857141,11.160803353174018,55.45663097240793,-3.825285049830697,14.986088403004715
TUN,55.422578428571434,75.73479575349381,36.64971551459078,76.1423957534938,37.385155855976734,-0.7354403413859529
COG,54.66242857142856,45.497963184403154,-16.76556572134369,45.555485288696346,-16.66033420163903,-0.1052315197046596
URY,36.78492,46.10886786447033,25.34720169153644,46.53434862585455,26.50387339663793,-1.1566717051014876
GTM,35.3611,27.826714400000004,-21.30698875317792,28.041552799999998,-20.699432992751937,-0.6075557604259814
TCD,33.6627,13.815509000000004,-58.95899912960041,13.853252548608664,-58.846876368774154,-0.11212276082625294
TGO,32.67411666666666,29.034220070000003,-11.139999999999986,29.180013995975,-10.693793825668322,-0.4462061743316639
BIH,27.4302,28.726189999999995,4.724683013612733,30.14621571524681,9.901552723811037,-5.176869710198304
HTI,24.976156857142854,23.72734901428571,-5.0,23.74067855725493,-4.946630928667446,-0.053369071332554086
SLV,14.945154685714286,8.453670665490286,-43.43537525529296,11.049278323934518,-26.06782227221605,-17.367552983076912
MRT,13.005223333333333,12.636236563333332,-2.8372197888694615,12.637882483333332,-2.8245639508433555,-0.012655838026105926
TJK,12.7672,23.74094,85.95259728053134,21.154777381457226,65.69629504869684,20.256302231834496
ALB,12.4037,11.0820395,-10.655372993542244,11.573455069394786,-6.693526372011689,-3.9618466215305546
BDI,12.331716285714286,11.961764797142859,-2.999999999999986,12.027362158629966,-2.4680597577232675,-0.5319402422767183
LBR,12.275126571428574,11.505266571428573,-6.27170722452604,11.644174280688,-5.140087860349809,-1.131619364176231
JAM,9.688134828571428,8.968639428571429,-7.426562622540359,9.128421198653463,-5.77731049187409,-1.6492521306662695
ERI,6.675844285714287,5.953324285714285,-10.822900731015096,6.561916045331265,-1.7065742624767068,-9.11632646853839
LSO,5.603837671428572,5.008901438571429,-10.616585771041386,5.008903438571429,-10.616550081213859,-3.568982752710781e-05
SLB,2.4933642857142857,1.745355,-30.0,1.82116779129684,-26.95941777416124,-3.0405822258387616
MDV,1.605338142857143,1.445328142857143,-9.967370470324582,1.4487114782903132,-9.756615156983017,-0.21075531334156494
NER,1.1180999999999983,-1.3404434999999997,-219.88583310973988,-1.3105640551820912,-217.21349210107263,-2.672341008667246
VCT,0.299394,0.21848768000000005,-27.023360521586923,0.21848770566666667,-27.02335194871418,-8.572872744139204e-06
FSM,0.1991011428571429,0.10374394285714283,-47.89384863974379,0.13067348365372736,-34.36829051881088,-13.525558120932907
KIR,0.11595519047619045,0.1004424438095238,-13.378225332527862,0.10515559155218472,-9.313596812402508,-4.064628520125353
FJI,0.08769802857142882,-0.16856197142857132,-292.20725274488916,-0.03321237206299621,-137.8712869650715,-154.33596577981766
TUV,0.023135666666666662,0.01069788,-53.76022591381272,0.01562920931984982,-32.44539029269458,-21.314835621118135
