add_info,iso3,tar_type_used,tar_type_calc,tar_type_orig,condi,rge,ndc_value_exclLU,ndc_value_inclLU,ndc_strengthen_tar,int_ref,refyr,taryr,tar_emi_exclLU,tar_emi_inclLU,gwp,scenario,emi_bl_exclLU_refyr,emi_bl_exclLU_taryr,emi_bl_LU_refyr,emi_bl_LU_taryr,pc_cov_set_to_100,pc_cov_exclLU_refyr,pc_cov_exclLU_taryr,pop_refyr,pop_taryr,gdp_refyr,gdp_taryr,CO2,CH4,N2O,HFCS,PFCS,SF6,NF3,energy,ippu,agriculture,waste,other,lulucf,lulucf_tar_2030_fyson2019,emi_bl_onlyLU_refyr,emi_bl_onlyLU_taryr
,,,,,,,,,,,,,MtCO2eq,MtCO2eq,,,MtCO2eq (AR4),MtCO2eq (AR4),MtCO2eq (AR4),MtCO2eq (AR4),,%,%,Pers,Pers,2011GKD,2011GKD,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,MtCO2eq,,
,THA,ABS,ABS,RBU,unconditional,best,444 MtCO2eq_AR4,,,,2030,2030,444.0,459.34223714285713,AR4,SSP3BLAIMCGE,574.6514,574.6514,15.342237142857142,15.342237142857142,,1.0,1.0,72706889.3017,72706889.3017,1838585723408.312,1838585723408.312,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO,,15.342237142857142,15.342237142857142
,THA,ABS,ABS,RBU,conditional,best,416 MtCO2eq_AR4,,,,2030,2030,416.0,431.34223714285713,AR4,SSP3BLAIMCGE,574.6514,574.6514,15.342237142857142,15.342237142857142,,1.0,1.0,72706889.3017,72706889.3017,1838585723408.312,1838585723408.312,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO,,15.342237142857142,15.342237142857142
,THA,ABU,ABS,RBU,unconditional,best,-111 MtCO2eq_AR4,,,,2030,2030,444.0,459.34223714285713,AR4,SSP3BLAIMCGE,574.6514,574.6514,15.342237142857142,15.342237142857142,,1.0,1.0,72706889.3017,72706889.3017,1838585723408.312,1838585723408.312,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO,,15.342237142857142,15.342237142857142
,THA,ABU,ABS,RBU,conditional,best,-139 MtCO2eq_AR4,,,,2030,2030,416.0,431.34223714285713,AR4,SSP3BLAIMCGE,574.6514,574.6514,15.342237142857142,15.342237142857142,,1.0,1.0,72706889.3017,72706889.3017,1838585723408.312,1838585723408.312,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO,,15.342237142857142,15.342237142857142
,THA,RBU,ABS,RBU,unconditional,best,-20%,,,,2030,2030,459.72112,475.0633571428571,AR4,SSP3BLAIMCGE,574.6514,574.6514,15.342237142857142,15.342237142857142,Yes (not lulucf),1.0,1.0,72706889.3017,72706889.3017,1838585723408.312,1838585723408.312,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO,,15.342237142857142,15.342237142857142
,THA,RBU,ABS,RBU,conditional,best,-25%,,,,2030,2030,430.98855,446.3307871428571,AR4,SSP3BLAIMCGE,574.6514,574.6514,15.342237142857142,15.342237142857142,Yes (not lulucf),1.0,1.0,72706889.3017,72706889.3017,1838585723408.312,1838585723408.312,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO,,15.342237142857142,15.342237142857142
,TJK,AEI,ABS,RBY,unconditional,worst,,2.2 tCO2eq/cap,,,2030,2030,23.24378686872,23.24378686872,AR4,SSP3BLAIMCGE,17.9866,17.9866,0.0,0.0,,0.9178734856880388,0.9178734856880388,10565357.6676,10565357.6676,59817553074.7114,59817553074.7114,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,NO,NO,YES,,0.0,0.0
,TJK,AEI,ABS,RBY,unconditional,best,,1.7 tCO2eq/cap,,,2030,2030,17.96110803492,17.96110803492,AR4,SSP3BLAIMCGE,17.9866,17.9866,0.0,0.0,,0.9178734856880388,0.9178734856880388,10565357.6676,10565357.6676,59817553074.7114,59817553074.7114,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,NO,NO,YES,,0.0,0.0
,TJK,AEI,ABS,RBY,conditional,worst,,1.7 tCO2eq/cap,,,2030,2030,17.96110803492,17.96110803492,AR4,SSP3BLAIMCGE,17.9866,17.9866,0.0,0.0,,0.9178734856880388,0.9178734856880388,10565357.6676,10565357.6676,59817553074.7114,59817553074.7114,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,NO,NO,YES,,0.0,0.0
,TJK,AEI,ABS,RBY,conditional,best,,1.2 tCO2eq/cap,,,2030,2030,12.67842920112,12.67842920112,AR4,SSP3BLAIMCGE,17.9866,17.9866,0.0,0.0,,0.9178734856880388,0.9178734856880388,10565357.6676,10565357.6676,59817553074.7114,59817553074.7114,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,NO,NO,YES,,0.0,0.0
,TJK,ABS,ABS,RBY,unconditional,worst,,22.950 MtCO2eq_AR4,,,2030,2030,22.95,22.95,AR4,SSP3BLAIMCGE,17.9866,17.9866,0.0,0.0,,0.9178734856880388,0.9178734856880388,10565357.6676,10565357.6676,59817553074.7114,59817553074.7114,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,NO,NO,YES,,0.0,0.0
,TJK,ABS,ABS,RBY,unconditional,best,,20.400 MtCO2eq_AR4,,,2030,2030,20.4,20.4,AR4,SSP3BLAIMCGE,17.9866,17.9866,0.0,0.0,,0.9178734856880388,0.9178734856880388,10565357.6676,10565357.6676,59817553074.7114,59817553074.7114,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,NO,NO,YES,,0.0,0.0
,TJK,ABS,ABS,RBY,conditional,worst,,19.125 MtCO2eq_AR4,,,2030,2030,19.125,19.125,AR4,SSP3BLAIMCGE,17.9866,17.9866,0.0,0.0,,0.9178734856880388,0.9178734856880388,10565357.6676,10565357.6676,59817553074.7114,59817553074.7114,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,NO,NO,YES,,0.0,0.0
,TJK,ABS,ABS,RBY,conditional,best,,16.575 MtCO2eq_AR4,,,2030,2030,16.575,16.575,AR4,SSP3BLAIMCGE,17.9866,17.9866,0.0,0.0,,0.9178734856880388,0.9178734856880388,10565357.6676,10565357.6676,59817553074.7114,59817553074.7114,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,NO,NO,YES,,0.0,0.0
,TJK,RBY,ABS,RBY,unconditional,worst,,-10%,,,1990,2030,22.62794,22.62794,AR4,SSP3BLAIMCGE,28.7206,17.9866,0.07912691000000001,0.0,Yes (not lulucf),1.0,1.0,5283814.0,10565357.6676,31031609375.0,59817553074.7114,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,NO,NO,YES,,-3.220600000000001,0.0
,TJK,RBY,ABS,RBY,unconditional,best,,-20%,,,1990,2030,19.75588,19.75588,AR4,SSP3BLAIMCGE,28.7206,17.9866,0.07912691000000001,0.0,Yes (not lulucf),1.0,1.0,5283814.0,10565357.6676,31031609375.0,59817553074.7114,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,NO,NO,YES,,-3.220600000000001,0.0
,TJK,RBY,ABS,RBY,conditional,worst,,-25%,,,1990,2030,18.31985,18.31985,AR4,SSP3BLAIMCGE,28.7206,17.9866,0.07912691000000001,0.0,Yes (not lulucf),1.0,1.0,5283814.0,10565357.6676,31031609375.0,59817553074.7114,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,NO,NO,YES,,-3.220600000000001,0.0
,TJK,RBY,ABS,RBY,conditional,best,,-35%,,,1990,2030,15.447790000000001,15.447790000000001,AR4,SSP3BLAIMCGE,28.7206,17.9866,0.07912691000000001,0.0,Yes (not lulucf),1.0,1.0,5283814.0,10565357.6676,31031609375.0,59817553074.7114,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,NO,NO,YES,,-3.220600000000001,0.0
,TON,ABU,ABU,NGT,conditional,best,-0.27 MtCO2eq,,,,2030,2030,0.0,-0.10612452380952388,AR4,SSP3BLAIMCGE,0.2372083333333333,0.2372083333333333,-0.07333285714285716,-0.07333285714285716,,0.9644681956652074,0.9644681956652074,101574.16666666669,101574.16666666669,550117405.65045,550117405.65045,YES,YES,YES,NO,NO,NO,NO,YES,NO,YES,YES,NO,NO,,-0.07333285714285716,-0.07333285714285716
,TTO,RBU,RBU,RBU,conditional,best,-15%,,,,2030,2030,81.103005,80.73164708571429,AR4,SSP3BLAIMCGE,95.4153,95.4153,-0.3713579142857143,-0.3713579142857143,Yes (not lulucf),1.0,1.0,1435103.5977,1435103.5977,78581936101.4397,78581936101.4397,YES,YES,YES,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,,-0.3713579142857143,-0.3713579142857143
,TUN,ABS,ABS,REI,unconditional,best,,47.4 MtCO2eq_AR4,,GDP,2025,2025,48.056,47.4,AR4,SSP3BLAIMCGE,52.256,52.256,-0.3192215714285715,-0.3192215714285715,,0.9984020973668096,0.9984020973668096,12267556.8183,12267556.8183,188303718426.1879,188303718426.1879,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,,-0.6559999999999988,-0.6559999999999988
,TUN,ABS,ABS,REI,unconditional,best,,62.2 MtCO2eq_AR4,,GDP,2030,2030,56.2799,62.2,AR4,SSP3BLAIMCGE,62.2799,62.2799,-0.3192215714285715,-0.3192215714285715,,0.9972254290710164,0.9972254290710164,12708751.973,12708751.973,230961891188.6872,230961891188.6872,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,,5.920100000000005,5.920100000000005
,TUN,ABS,ABS,REI,conditional,best,,35.0 MtCO2eq_AR4,,GDP,2025,2025,35.656,35.0,AR4,SSP3BLAIMCGE,52.256,52.256,-0.3192215714285715,-0.3192215714285715,,0.9984020973668096,0.9984020973668096,12267556.8183,12267556.8183,188303718426.1879,188303718426.1879,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,,-0.6559999999999988,-0.6559999999999988
,TUN,ABS,ABS,REI,conditional,best,,42.4 MtCO2eq_AR4,,GDP,2030,2030,36.479899999999994,42.4,AR4,SSP3BLAIMCGE,62.2799,62.2799,-0.3192215714285715,-0.3192215714285715,,0.9972254290710164,0.9972254290710164,12708751.973,12708751.973,230961891188.6872,230961891188.6872,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,,5.920100000000005,5.920100000000005
,TUN,REI,ABS,REI,unconditional,best,,-13%,,GDP,2010,2030,54.64830701698027,60.568407016980274,AR4,SSP3BLAIMCGE,39.7174,62.2799,-0.5128962,-0.3192215714285715,Yes (not lulucf),1.0,1.0,10635244.0,12708751.973,110864757812.5,230961891188.6872,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,,-11.417399999999997,5.920100000000005
,TUN,REI,ABS,REI,conditional,best,,-41%,,GDP,2010,2030,31.48046108048088,37.400561080480884,AR4,SSP3BLAIMCGE,39.7174,62.2799,-0.5128962,-0.3192215714285715,Yes (not lulucf),1.0,1.0,10635244.0,12708751.973,110864757812.5,230961891188.6872,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,,-11.417399999999997,5.920100000000005
,TUN,ABU,ABS,REI,unconditional,best,,-4.2 MtCO2eq_AR4,,GDP,2025,2025,48.056,47.4,AR4,SSP3BLAIMCGE,52.256,52.256,-0.3192215714285715,-0.3192215714285715,,0.9984020973668096,0.9984020973668096,12267556.8183,12267556.8183,188303718426.1879,188303718426.1879,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,,-0.6559999999999988,-0.6559999999999988
,TUN,ABU,ABS,REI,unconditional,best,,-6.0 MtCO2eq_AR4,,GDP,2030,2030,56.2799,62.2,AR4,SSP3BLAIMCGE,62.2799,62.2799,-0.3192215714285715,-0.3192215714285715,,0.9972254290710164,0.9972254290710164,12708751.973,12708751.973,230961891188.6872,230961891188.6872,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,,5.920100000000005,5.920100000000005
,TUN,ABU,ABS,REI,conditional,best,,-16.6 MtCO2eq_AR4,,GDP,2025,2025,35.656,35.0,AR4,SSP3BLAIMCGE,52.256,52.256,-0.3192215714285715,-0.3192215714285715,,0.9984020973668096,0.9984020973668096,12267556.8183,12267556.8183,188303718426.1879,188303718426.1879,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,,-0.6559999999999988,-0.6559999999999988
,TUN,ABU,ABS,REI,conditional,best,,-25.8 MtCO2eq_AR4,,GDP,2030,2030,36.4799,42.400000000000006,AR4,SSP3BLAIMCGE,62.2799,62.2799,-0.3192215714285715,-0.3192215714285715,,0.9972254290710164,0.9972254290710164,12708751.973,12708751.973,230961891188.6872,230961891188.6872,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,,5.920100000000005,5.920100000000005
,TUN,RBU,ABS,REI,unconditional,best,,-8.1%,,GDP,2025,2025,48.023264000000005,47.367264000000006,AR4,SSP3BLAIMCGE,52.256,52.256,-0.3192215714285715,-0.3192215714285715,Yes (not lulucf),1.0,1.0,12267556.8183,12267556.8183,188303718426.1879,188303718426.1879,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,,-0.6559999999999988,-0.6559999999999988
,TUN,RBU,ABS,REI,unconditional,best,,-8.8%,,GDP,2030,2030,56.2783,62.19840000000001,AR4,SSP3BLAIMCGE,62.2799,62.2799,-0.3192215714285715,-0.3192215714285715,Yes (not lulucf),1.0,1.0,12708751.973,12708751.973,230961891188.6872,230961891188.6872,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,,5.920100000000005,5.920100000000005
,TUN,RBU,ABS,REI,conditional,best,,-32.2%,,GDP,2025,2025,35.429567999999996,34.773568,AR4,SSP3BLAIMCGE,52.256,52.256,-0.3192215714285715,-0.3192215714285715,Yes (not lulucf),1.0,1.0,12267556.8183,12267556.8183,188303718426.1879,188303718426.1879,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,,-0.6559999999999988,-0.6559999999999988
