,AR2_TO_AR4,AR4_TO_AR2,AR2_to_AR4,AR4_to_AR2
MLT,1.021647056589081,0.9788116096948852,1.021647056589081,0.9788116096948853
MMR,1.1096744571046946,0.9011651963307766,1.1096744571046946,0.9011651963307766
MNE,1.057597926763822,0.9455389186133639,1.057597926763822,0.945538918613364
MNG,1.0516378962484505,0.9508976460123204,1.0516378962484503,0.9508976460123203
MOZ,1.077076571324531,0.9284390976681014,1.077076571324531,0.9284390976681014
MRT,1.1205300244965677,0.8924348104364992,1.1205300244965675,0.8924348104364992
MSR,,,,
MUS,1.0687675522529017,0.9356571481722629,1.0687675522529017,0.935657148172263
MWI,1.0834416775426785,0.9229846153491807,1.0834416775426783,0.9229846153491807
MYS,1.0401846818948075,0.9613677430611584,1.0401846818948075,0.9613677430611584
NAM,1.0783553840424618,0.9273380694324272,1.0783553840424618,0.9273380694324271
NER,1.1237690115002028,0.8898625872100047,1.1237690115002028,0.8898625872100047
NGA,1.0906191035352248,0.9169104014027586,1.090619103535225,0.9169104014027586
NIC,1.0806740835668494,0.9253483683993066,1.0806740835668494,0.9253483683993066
NIU,1.0139028890524342,0.9862877508264848,1.013902889052434,0.9862877508264848
NLD,1.0147776008250216,0.9854375965600668,1.0147776008250216,0.9854375965600668
NOR,1.0167901830435648,0.9834870720394776,1.0167901830435648,0.9834870720394776
NPL,1.1087987485662452,0.9018769197684164,1.1087987485662452,0.9018769197684164
NRU,1.0173347289671957,0.9829606436567896,1.0173347289671955,0.9829606436567896
NZL,1.0712711866659226,0.9334704530906528,1.0712711866659226,0.9334704530906527
OMN,1.0442792744132272,0.9575982445518634,1.0442792744132272,0.9575982445518634
PAK,1.0634805875435611,0.9403086541615306,1.0634805875435613,0.9403086541615306
PAN,1.0338514824701717,0.967256919350456,1.0338514824701717,0.9672569193504559
PCN,1.189636817396464,0.8405926795276171,1.189636817396464,0.840592679527617
PER,1.0381167970401612,0.963282747038832,1.0381167970401612,0.9632827470388319
PHL,1.0644658616506082,0.9394383004912484,1.0644658616506082,0.9394383004912485
PLW,1.0011976702353902,0.9988037624627027,1.0011976702353902,0.9988037624627027
PNG,1.0275166570885086,0.9732202325882701,1.0275166570885086,0.97322023258827
POL,1.0208607888823291,0.979565491093876,1.020860788882329,0.9795654910938759
PRK,1.0466499036724792,0.9554293145121456,1.0466499036724792,0.9554293145121456
PRT,1.0272852720028656,0.9734394400985928,1.0272852720028656,0.9734394400985927
PRY,1.0657031428991721,0.9383476127128321,1.065703142899172,0.938347612712832
QAT,1.0617430690585004,0.9418474479769846,1.0617430690585004,0.9418474479769846
ROU,1.040206379272039,0.9613476901572394,1.040206379272039,0.9613476901572394
RUS,1.0282939934509605,0.9724845291024159,1.0282939934509603,0.972484529102416
RWA,1.0973681899911816,0.9112711750903186,1.0973681899911816,0.9112711750903186
SAU,1.0259557583613887,0.9747008989911572,1.0259557583613887,0.9747008989911572
SDN,1.085677348400576,0.9210839679700454,1.085677348400576,0.9210839679700454
SEN,1.065051912805532,0.9389213689742372,1.065051912805532,0.9389213689742372
SGP,1.0033158630935892,0.996695095517213,1.0033158630935892,0.996695095517213
SGS,,,,
SHN,1.0228016553514916,0.9777066694874916,1.0228016553514916,0.9777066694874915
SLB,1.0589589663935832,0.9443236534514878,1.0589589663935832,0.944323653451488
SLE,1.105482330622539,0.9045825268295896,1.105482330622539,0.9045825268295895
SLV,1.0372138841826701,0.9641213015462142,1.03721388418267,0.9641213015462142
SMR,1.019522741399346,0.9808510976689444,1.019522741399346,0.9808510976689445
SOM,1.1196195129636664,0.8931605678727143,1.1196195129636664,0.8931605678727143
SRB,1.0361373280763424,0.9651230323460755,1.0361373280763424,0.9651230323460755
SSD,1.0759400844165712,0.9294197832049824,1.0759400844165712,0.9294197832049823
STP,1.0490587302523375,0.9532354778263584,1.0490587302523375,0.9532354778263585
SUR,1.0301110957825803,0.9707690792712949,1.0301110957825803,0.9707690792712947
SVK,1.0173216405599301,0.9829732899907679,1.01732164055993,0.982973289990768
SVN,1.0193665031098778,0.9810014327027672,1.0193665031098778,0.9810014327027673
SWE,1.0122714991029105,0.9878772650284182,1.0122714991029105,0.9878772650284182
SWZ,1.0592328598022918,0.9440794729372844,1.0592328598022918,0.9440794729372843
SXM,,,,
SYC,1.0241205284251151,0.9764475686643962,1.024120528425115,0.9764475686643962
SYR,1.0302293008302998,0.9706576964895708,1.0302293008302998,0.9706576964895708
TCA,1.0126346467041916,0.9875229958353556,1.0126346467041916,0.9875229958353555
TCD,1.0967477337302125,0.9117867028535741,1.0967477337302125,0.911786702853574
TGO,1.0272489023080995,0.9734739046721056,1.0272489023080995,0.9734739046721055
THA,1.0341028922539504,0.9670217610748394,1.0341028922539504,0.9670217610748394
TJK,1.0646612462040432,0.9392658966083464,1.0646612462040432,0.9392658966083463
TKL,1.149921407965255,0.8696246483222398,1.1499214079652553,0.8696246483222398
TKM,1.0762310303325964,0.9291685259167466,1.0762310303325964,0.9291685259167466
TLS,1.1344974947718016,0.8814475171680699,1.1344974947718016,0.88144751716807
TON,1.0486836208828143,0.9535764458285036,1.0486836208828143,0.9535764458285035
TTO,1.0378146807286621,0.9635631664970168,1.037814680728662,0.9635631664970168
TUN,1.0356407422351257,0.9655858052105928,1.0356407422351257,0.9655858052105929
TUR,1.016542824023762,0.983726387484316,1.016542824023762,0.983726387484316
TUV,1.0700492237788717,0.9345364472753008,1.0700492237788717,0.9345364472753007
TWN,1.0077193413314585,0.9923397904407996,1.0077193413314585,0.9923397904407995
TZA,1.09269772745203,0.9151661753079838,1.09269772745203,0.9151661753079838
UGA,1.092641224122637,0.9152135009394086,1.0926412241226373,0.9152135009394086
UKR,1.0281428349407626,0.9726275046770284,1.0281428349407626,0.9726275046770285
UMI,,,,
URY,1.0794418523158835,0.926404695032488,1.0794418523158835,0.9264046950324879
USA,1.016757819889522,0.9835183761937106,1.016757819889522,0.9835183761937106
UZB,1.0856621335168457,0.921096876392515,1.0856621335168455,0.921096876392515
VAT,1.0164299472694618,0.9838356324372384,1.0164299472694618,0.9838356324372385
VCT,1.0473209178160554,0.954817174935518,1.0473209178160554,0.9548171749355181
VEN,1.0420254710338228,0.9596694397574292,1.0420254710338228,0.9596694397574291
VGB,1.0102924123233146,0.9898124422219052,1.0102924123233146,0.9898124422219052
VNM,1.0514097671674785,0.9511039665286946,1.0514097671674785,0.9511039665286946
VUT,1.0914571129893855,0.9162064071038996,1.0914571129893857,0.9162064071038996
WSM,1.064489296429135,0.9394176187158796,1.064489296429135,0.9394176187158795
YEM,1.029253008637836,0.9715784084259799,1.029253008637836,0.97157840842598
ZAF,1.0170345764134736,0.98325074013359,1.0170345764134736,0.9832507401335899
ZMB,1.064968891002318,0.9389945644880092,1.064968891002318,0.9389945644880093
ZWE,1.0412375272109835,0.9603956579230862,1.0412375272109835,0.9603956579230862
