,AR2_TO_AR4,AR4_TO_AR2,AR2_to_AR4,AR4_to_AR2
ABW,1.0036922394167411,0.9963213430653932,1.0036922394167413,0.9963213430653932
AFG,1.0762902180771787,0.9291174287419676,1.0762902180771787,0.9291174287419677
AGO,1.0701084782214008,0.9344846997774224,1.0701084782214008,0.9344846997774223
AIA,1.0054397098821397,0.9945897204688908,1.0054397098821397,0.9945897204688907
ALB,1.038570233757378,0.9628621806174462,1.0385702337573781,0.9628621806174462
AND,1.0056269613979731,0.9944045241287578,1.0056269613979731,0.9944045241287578
ANT,1.0012835308565258,0.9987181144830898,1.0012835308565258,0.9987181144830898
ARE,1.03003467334574,0.9708411045541002,1.03003467334574,0.9708411045541002
ARG,1.0408081154114133,0.9607918935227724,1.0408081154114133,0.9607918935227724
ARM,1.0540481955201744,0.9487232218129252,1.0540481955201744,0.9487232218129252
ATA,1.0,1.0,1.0,1.0
ATG,1.0102009781146384,0.989902031045667,1.0102009781146384,0.989902031045667
AUS,1.0325790461918205,0.9684488598601988,1.0325790461918205,0.9684488598601987
AUT,1.0141301503810938,0.9860667288357576,1.0141301503810938,0.9860667288357576
AZE,1.060604921107544,0.9428581558491572,1.0606049211075441,0.9428581558491572
BDI,1.1039054580376677,0.9058746767840312,1.1039054580376675,0.9058746767840313
BEL,1.0124969322512234,0.9876573134661878,1.0124969322512234,0.9876573134661878
BEN,1.0608363304893036,0.942652482064558,1.0608363304893036,0.9426524820645581
BES,,,,
BFA,1.0919936437981703,0.9157562460911418,1.0919936437981705,0.9157562460911418
BGD,1.0635926408654317,0.9402095892524348,1.0635926408654317,0.9402095892524349
BGR,1.0189381461671474,0.9814138412244302,1.0189381461671474,0.9814138412244302
BHR,1.0273933075020418,0.9733370781160288,1.0273933075020418,0.9733370781160287
BHS,1.0100410131695554,0.9900588064854454,1.0100410131695554,0.9900588064854454
BIH,1.0218686428697854,0.9785993600817712,1.0218686428697854,0.9785993600817712
BLR,1.0227613445338966,0.9777452045332534,1.0227613445338966,0.9777452045332534
BLZ,1.0307492981003326,0.9701680145142922,1.0307492981003326,0.9701680145142922
BOL,1.1451258775234396,0.8732664413825815,1.1451258775234396,0.8732664413825815
BRA,1.057341964351241,0.945767815631507,1.057341964351241,0.945767815631507
BRB,1.0110723772904584,0.989048877667758,1.0110723772904584,0.9890488776677581
BRN,1.065180150706039,0.9388083314706576,1.065180150706039,0.9388083314706576
BTN,1.063130289665038,0.9406184827215032,1.0631302896650379,0.9406184827215032
BVT,,,,
BWA,1.0494667810825435,0.952864843390738,1.0494667810825435,0.9528648433907381
CAF,1.113077615895529,0.8984099452897973,1.1130776158955287,0.8984099452897973
CAN,1.0211797896471921,0.979259489991954,1.021179789647192,0.9792594899919541
CHE,1.0182223101443306,0.982103799963146,1.0182223101443306,0.982103799963146
CHL,1.022073054063165,0.9784036434818278,1.022073054063165,0.9784036434818278
CHN,1.021398306016517,0.9790499887355688,1.021398306016517,0.9790499887355687
CIV,1.0719130494738467,0.9329114898739728,1.0719130494738467,0.9329114898739729
CMR,1.0853428868091008,0.921367811180844,1.0853428868091008,0.9213678111808441
COD,1.1014309123360602,0.9079098732385021,1.1014309123360602,0.907909873238502
COG,1.1140654622784405,0.8976133215321489,1.1140654622784405,0.8976133215321489
COK,1.023270985240762,0.9772582379678372,1.023270985240762,0.9772582379678373
COL,1.053151269399062,0.9495312108113484,1.053151269399062,0.9495312108113485
COM,1.1125821867282464,0.8988100042664577,1.1125821867282464,0.8988100042664577
CPV,1.0323097934729637,0.9687014560190648,1.0323097934729637,0.9687014560190649
CRI,1.0443578764947523,0.9575261723082574,1.0443578764947523,0.9575261723082574
CUB,1.0321139348764654,0.9688852811774998,1.0321139348764654,0.9688852811774998
CUW,,,,
CYP,1.0176835193394629,0.982623753845458,1.0176835193394629,0.9826237538454581
CZE,1.0186413448265734,0.9816997955941528,1.0186413448265734,0.9816997955941529
DEU,1.009597085235743,0.990494143281424,1.009597085235743,0.9904941432814239
DJI,1.078032367785018,0.9276159323997412,1.0780323677850179,0.9276159323997412
DMA,1.0300531065904408,0.9708237309337197,1.0300531065904408,0.9708237309337195
DNK,1.0184312748888076,0.9819022889975371,1.0184312748888076,0.981902288997537
DOM,1.065387659457019,0.9386254769551732,1.065387659457019,0.9386254769551731
DZA,1.0527007813718043,0.9499375489176246,1.0527007813718043,0.9499375489176246
ECU,1.0506274081601508,0.9518122145235016,1.0506274081601508,0.9518122145235016
EGY,1.0273487133986314,0.9733793277375532,1.0273487133986314,0.9733793277375532
ERI,1.10221452244652,0.9072644023781862,1.10221452244652,0.9072644023781862
ESP,1.0221329171547626,0.9783463414754586,1.0221329171547626,0.9783463414754586
EST,1.0090275965553237,0.9910531718001148,1.0090275965553237,0.9910531718001148
ETH,1.1158096985567605,0.8962101703305196,1.1158096985567605,0.8962101703305196
FIN,1.012933439215718,0.9872316988313348,1.012933439215718,0.9872316988313348
FJI,1.0531218803180071,0.9495577090260758,1.053121880318007,0.9495577090260758
FRA,1.0215097558019497,0.9789431714383744,1.0215097558019497,0.9789431714383744
FSM,1.0383684101471151,0.96304932837693,1.0383684101471153,0.9630493283769299
GAB,1.0933673831149375,0.9146056626923152,1.0933673831149375,0.9146056626923152
GBR,1.0191075347692984,0.9812507177923829,1.0191075347692984,0.981250717792383
GEO,1.0518342886004453,0.950720099960408,1.0518342886004453,0.9507200999604081
GHA,1.0710115592510159,0.9336967387161758,1.071011559251016,0.9336967387161758
GIN,1.1019404632508447,0.9074900444710876,1.1019404632508447,0.9074900444710876
GMB,1.1009293506250293,0.9083234990803644,1.1009293506250293,0.9083234990803645
GNB,1.0899429976054755,0.9174791729447562,1.0899429976054755,0.9174791729447562
GNQ,1.0798674752870374,0.9260395584506256,1.0798674752870374,0.9260395584506257
GRC,1.0219191370460563,0.9785510063845017,1.0219191370460565,0.9785510063845015
GRD,1.0197835993024171,0.9806001985951234,1.0197835993024171,0.9806001985951234
GTM,1.0421056032818694,0.9595956464016052,1.0421056032818694,0.9595956464016051
GUY,1.0651158129022,0.9388650397323705,1.0651158129022,0.9388650397323703
HKG,1.0065512998861998,0.9934913402953824,1.0065512998861998,0.9934913402953824
HND,1.0516470124300537,0.9508894031746334,1.0516470124300537,0.9508894031746334
HRV,1.0246642717301364,0.9759294117979824,1.0246642717301364,0.9759294117979823
HTI,1.1216737436711546,0.8915248356684132,1.1216737436711546,0.8915248356684132
HUN,1.0206445439063516,0.9797730326100232,1.0206445439063516,0.9797730326100231
IDN,1.04018682662266,0.961365760847846,1.04018682662266,0.9613657608478461
IND,1.030881291178311,0.9700437951075692,1.030881291178311,0.9700437951075693
IOT,,,,
IRL,1.0334955962342829,0.9675899961680248,1.0334955962342827,0.9675899961680248
IRN,1.0322037575418617,0.9688009685039772,1.0322037575418617,0.9688009685039771
IRQ,1.0432193970928805,0.9585711335378548,1.0432193970928805,0.9585711335378548
ISL,1.0276033379252172,0.973138139098546,1.0276033379252172,0.973138139098546
ISR,1.0223717241857708,0.9781178179555112,1.0223717241857708,0.9781178179555113
ITA,1.018925506669902,0.9814260153995406,1.0189255066699021,0.9814260153995406
JAM,1.0281971372695555,0.9725761371555314,1.0281971372695555,0.9725761371555314
JOR,1.0194029901880175,0.9809663201160134,1.0194029901880175,0.9809663201160134
JPN,1.0040831100094643,0.9959334939819616,1.004083110009464,0.9959334939819617
KAZ,1.0246182763331029,0.975973221538458,1.0246182763331027,0.9759732215384579
KEN,1.0844223598902634,0.9221499269908024,1.0844223598902634,0.9221499269908024
KGZ,1.0591052031857575,0.9441932652129641,1.0591052031857575,0.944193265212964
KHM,1.11286395752899,0.8985824307046535,1.11286395752899,0.8985824307046535
KIR,1.0393046858606942,0.9621817486292344,1.0393046858606942,0.9621817486292344
KNA,1.014332877423006,0.9858696511352172,1.014332877423006,0.9858696511352172
KOR,1.0084813031978472,0.9915900243554804,1.0084813031978472,0.9915900243554805
KWT,1.0316182530178997,0.9693508204944964,1.0316182530178997,0.9693508204944964
LAO,1.1101705010467429,0.9007625396793856,1.1101705010467429,0.9007625396793855
LBN,1.0194745855779053,0.9808974290743444,1.0194745855779053,0.9808974290743444
LBR,1.094916892229001,0.9133113271859641,1.094916892229001,0.913311327185964
LBY,1.0502717856480297,0.952134498579326,1.0502717856480297,0.9521344985793259
LCA,1.033545425187435,0.9675433470363904,1.033545425187435,0.9675433470363903
LIE,1.0181242351448123,0.9821984051462692,1.0181242351448125,0.9821984051462691
LKA,1.0402866902994945,0.9612734732885068,1.0402866902994945,0.9612734732885067
LSO,1.049636827558067,0.9527104744661591,1.049636827558067,0.952710474466159
LTU,1.024127651347802,0.9764407773620322,1.024127651347802,0.9764407773620322
LUX,1.0075841826243237,0.9924729042445168,1.0075841826243235,0.9924729042445168
LVA,1.0199905315882674,0.9804012576889912,1.0199905315882674,0.9804012576889913
MAC,1.038644495895601,0.9627933368459449,1.038644495895601,0.962793336845945
MAR,1.0218196943250837,0.9786462382294407,1.0218196943250835,0.9786462382294409
MCO,1.0281832291551816,0.9725892930792708,1.0281832291551816,0.9725892930792709
MDA,1.0316024005962356,0.9693657163089476,1.0316024005962356,0.9693657163089476
MDG,1.0576013770101365,0.9455358339519404,1.0576013770101365,0.9455358339519404
MDV,1.0056152735440398,0.9944160816847479,1.0056152735440398,0.994416081684748
MEX,1.030896442488482,0.9700295381620476,1.030896442488482,0.9700295381620476
MHL,1.042043219347992,0.9596530944519764,1.042043219347992,0.9596530944519763
MKD,1.047505541330214,0.9546488878045576,1.0475055413302141,0.9546488878045577
MLI,1.023067116530355,0.9774529782478149,1.0230671165303553,0.9774529782478149
