iso3, Y1990, Y1991, Y1992, Y1993, Y1994, Y1995, Y1996, Y1997, Y1998, Y1999, Y2000, Y2001, Y2002, Y2003, Y2004, Y2005, Y2006, Y2007, Y2008, Y2009, Y2010, Y2011, Y2012, Y2013, Y2014, Y2015, Y2016, Y2017, Y2018, Y2019, Y2020, Y2021, Y2022, Y2023, Y2024, Y2025, Y2026, Y2027, Y2028, Y2029, Y2030
BIH, 35.7405, 33.5304, 16.4415, 11.6069, 11.5161, 10.4271, 12.0521, 15.0794, 19.4461, 19.8434, 21.0718, 21.18, 21.6975, 21.5618, 23.0851, 23.2916, 24.5253, 24.2535, 26.0366, 26.6158, 26.9242, 28.9406, 27.2884, 26.811999999999998, 28.6035, 27.2683, 28.0383, 28.4031, 30.28323, 32.163360000000004, 34.04349000000001, 34.64632693691948, 35.2461037615613, 35.84282047392543, 36.43647707401191, 37.02707356182071, 37.614609937351844, 38.19908620060532, 38.78050235158112, 39.35885839027926, 39.934154316699725
BLR, 140.629, 132.245, 122.4665, 108.6001, 92.8255, 84.5128, 86.5316, 90.2277, 86.9915, 83.5911, 82.0192, 82.0804, 80.8387, 83.0256, 89.8025, 91.4119, 97.3351, 94.9296, 98.8893, 94.9638, 99.4877, 97.2374, 98.2594, 100.5673, 100.10600000000001, 95.7898, 97.7312, 100.4263, 99.2359, 99.9666, 100.5341, 100.85009359959611, 101.16331523729886, 101.48920627161591, 101.83556394031308, 102.20458045474253, 102.5161305015292, 102.69697594077005, 102.75132290439299, 102.67762974317867, 102.46943634750656
BLZ, 0.5662, 0.60839, 0.63042, 0.6325, 0.62865, 0.60144, 0.5329999999999999, 0.6297, 0.62907, 0.626, 0.6711699999999999, 0.74103, 0.79101, 0.85505, 0.68691, 0.73745, 0.7620899999999999, 0.8219200000000001, 0.7841199999999999, 0.9779200000000001, 0.9193899999999999, 1.0362, 0.8997, 1.0218, 0.9814700000000001, 1.1157, 1.1616, 1.1539, 1.0767, 1.0869, 1.0974, 1.11, 1.1256, 1.1432, 1.1618, 1.1804, 1.1998, 1.2209, 1.2431, 1.2661, 1.2896
BOL, 17.2293, 18.1582, 19.551, 21.5086, 23.0389, 27.8903, 38.8178, 50.895, 55.7545, 53.2913, 49.8349, 39.7257, 36.0016, 40.2784, 51.6656, 57.2577, 61.9435, 61.7556, 64.7567, 67.6132, 72.3231, 74.8494, 79.7542, 81.9588, 84.9771, 86.2277, 89.5123, 91.9917, 93.9576, 96.4014, 98.6779, 100.87299999999999, 103.0567, 105.2219, 107.3588, 109.4567, 111.5899, 113.8213, 116.1242, 118.4748, 120.8528
BRA, 609.0778, 633.7114, 643.4618, 657.4176, 677.7683, 704.2104, 711.1596, 738.4007, 757.0196, 775.3815, 805.4803, 823.2369, 841.4680000000003, 867.8152, 903.1933, 920.1377, 925.7024, 929.8725, 959.0568, 945.1708, 1009.0299, 1045.8348, 1075.3144, 1120.1361, 1148.9333, 1132.0831, 1107.2593, 1119.5129, 1232.1984, 1253.8529, 1272.3574, 1220.8012874052401, 1166.2148221942057, 1109.1440767974452, 1050.0450180539244, 989.2878333333333, 970.5994756790051, 950.9417580011769, 930.6567135267629, 910.0284210613876, 889.2878333333333
BRB, 1.2829, 1.4169999999999998, 1.1896, 1.3154, 0.9531700000000001, 1.0354, 1.0599, 1.1046, 1.3472, 1.4163, 1.3975, 1.419, 1.4095, 1.4457, 1.4792, 1.5219, 1.5333, 1.5562, 1.8048, 1.794, 1.6532, 1.7207, 1.6669, 1.6408, 1.4591, 1.4880000000000002, 1.5243, 1.5215, 1.5029, 1.4843000000000002, 1.4657, 1.4471, 1.4285, 1.4099, 1.3913, 1.3727, 1.3697, 1.3667, 1.3637, 1.3607, 1.3577
BRN, 10.0307, 10.0277, 9.9848, 9.262, 9.1452, 9.3697, 9.4491, 9.6885, 9.8647, 8.8091, 9.874, 10.0074, 9.6116, 10.2281, 10.3751, 10.290999999999999, 10.960999999999999, 14.3852, 16.0821, 13.9643, 14.0452, 15.7564, 15.630999999999998, 14.2671, 15.6626, 15.9487, 17.2321, 17.6195, 17.3402, 16.9581, 16.5736, 16.1785, 15.7782, 15.3876, 15.0176, 14.6753, 14.349, 14.0297, 13.7244, 13.4377, 13.1725
BTN, 0.99485, 1.0512, 1.0707, 1.0519, 1.0664, 1.2579, 1.3551, 1.4380000000000002, 1.4397, 1.4742, 1.4587, 1.4055, 1.4578, 1.4228, 1.3628, 1.5294, 1.5147, 1.5511, 1.5273, 1.7609, 1.8779, 2.0826, 2.1593, 2.2606, 2.325, 2.2836, 2.397, 2.4512, 2.6178, 2.7647, 2.8948, 3.1967718835607606, 3.5036457419970595, 3.8174276766321866, 4.140623893517682, 4.475653175381123, 4.821771735754637, 5.1769607171047545, 5.541276332963602, 5.915474841746847, 6.3
BVT, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
BWA, 14.2395, 13.6456, 13.5581, 13.6784, 13.949000000000002, 14.7936, 14.9972, 14.5547, 14.1919, 13.9173, 14.1537, 17.9504, 18.5851, 9.7662, 10.1925, 12.1252, 14.3715, 12.3605, 22.9149, 11.174000000000001, 27.2441, 30.0562, 15.2028, 14.517999999999999, 14.3204, 13.3984, 13.2758, 18.9871, 15.6499, 15.7411, 15.8181, 15.8734, 15.9008, 15.9067, 15.8966, 15.8753, 15.8313, 15.7579, 15.6657, 15.5633, 15.4578
CAF, 19.3474, 19.7827, 19.9213, 20.0172, 20.2575, 21.7911, 22.6681, 24.0882, 27.3651, 25.8623, 30.3879, 30.6953, 27.4744, 38.4104, 38.5029, 38.5512, 14.6742, 14.8193, 15.0547, 8.8555, 9.2718, 9.9912, 9.4785, 9.6982, 9.6372, 9.9495, 10.55, 10.640999999999998, 12.298653846153845, 13.956307692307695, 15.613961538461538, 17.20771300993007, 18.789198342439782, 20.35841753599067, 21.915370590582747, 23.460057506216007, 24.99247828289043, 26.51263292060606, 28.020521419362858, 29.516143779160842, 30.9995
CAN, 609.0678, 600.2213, 617.0832, 619.3192, 640.8868, 657.4751, 678.5577, 693.7686, 701.1502, 714.0323, 737.1631, 726.3384, 730.6818, 747.1831, 749.13, 736.3004, 727.6668, 750.5125, 730.1257, 687.7322, 699.3821, 709.3876, 717.0581, 728.265, 729.2702, 728.1482, 713.8603, 721.8594, 713.3049538461539, 704.7505076923078, 696.1960615384614, 662.9804970367339, 630.3785143900914, 598.3901135985335, 567.01529466206, 536.2540575806714, 506.1064023543679, 476.57232898314874, 447.65183746701445, 419.3449278059649, 391.65160000000003
CHE, 53.2806, 55.1435, 54.9068, 52.352, 51.3503, 52.2284, 52.8639, 51.6708, 53.3244, 53.0039, 52.3802, 53.922, 52.2939, 53.4288, 54.0565, 54.7446, 54.3645, 52.4703, 53.9361, 52.5845, 54.1393, 50.0397, 51.4642, 52.2356, 48.3679, 47.8193, 48.1861, 47.1623, 48.5264, 48.6848, 48.8396, 46.08520450821443, 43.26752407163323, 40.409208837345794, 37.529675199563094, 34.645, 32.992634146291444, 31.356001082497098, 29.747693148440195, 28.176967947980284, 26.65
CHL, 52.5898, 50.6064, 52.4855, 54.9667, 58.7915, 62.1666, 68.2802, 75.4853, 75.9245, 80.1167, 77.1984, 72.0107, 73.8671, 74.3697, 79.4048, 80.8241, 83.71700000000001, 90.8004, 92.5363, 87.8734, 92.4099, 99.8892, 103.2675, 104.9387, 107.5347, 109.6827, 112.4264, 111.178, 115.632, 119.125, 122.2304, 118.43433702140088, 114.15354726929584, 109.4516920261582, 104.38455406060913, 99.0, 98.43518689355069, 97.7256337045461, 96.90003680316352, 95.98400909693306, 95.0
CHN, 3627.3725, 3767.8442, 3897.485, 4078.6184, 4333.2711, 4682.0469, 4874.6176, 4851.3636, 4709.9324, 4796.2031, 4922.4501, 5027.7604, 5451.2209, 6224.5119, 7050.2596, 7808.0066, 8557.444, 9087.3472, 9684.52, 10161.0383, 11029.6326, 12079.6658, 12428.9881, 12546.8774, 12672.6489, 12682.5306, 12754.1024, 12950.3744, 14095.6344, 14432.295, 14744.0686, 14752.330497521916, 14734.022599040416, 14687.88191063496, 14613.326787546719, 14510.258537182295, 14380.728420603604, 14226.015850352169, 14045.556289650167, 13839.231328745498, 13607.24562409209
