add_info,iso3,tar_type_used,tar_type_calc,tar_type_orig,condi,rge,ndc_value_exclLU,ndc_value_inclLU,ndc_strengthen_tar,int_ref,refyr,taryr,tar_emi_exclLU,tar_emi_inclLU,gwp,scenario,emi_bl_exclLU_refyr,emi_bl_exclLU_taryr,emi_bl_LU_refyr,emi_bl_LU_taryr,pc_cov_set_to_100,pc_cov_exclLU_refyr,pc_cov_exclLU_taryr,pop_refyr,pop_taryr,gdp_refyr,gdp_taryr,CO2,CH4,N2O,HFCS,PFCS,SF6,NF3,energy,ippu,agriculture,waste,other,lulucf,lulucf_tar_2030_fyson2019,emi_bl_onlyLU_refyr,emi_bl_onlyLU_taryr
,,,,,,,,,,,,,MtCO2eq,MtCO2eq,,,MtCO2eq (AR4),MtCO2eq (AR4),MtCO2eq (AR4),MtCO2eq (AR4),,%,%,Pers,Pers,2011GKD,2011GKD,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,MtCO2eq,,
,AGO,ABS,ABS,RBU,conditional,best,,96.625 MtCO2eq_AR4,,,2030,2030,51.12899999999999,96.625,AR4,SSP5BLREMMP,147.754,147.754,106.13527142857141,106.13527142857141,,0.996815653,0.996815653,38821196.294,38821196.294,306923716095.6907,306923716095.6907,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,,45.49600000000001,45.49600000000001
,AGO,RBU,ABS,RBU,unconditional,best,,-20%,,,2025,2025,110.57700000446408,124.70680000446407,AR4,SSP5BLREMMP,141.6892,141.6892,106.13527142857141,106.13527142857141,,0.998179113,0.998179113,35444356.8306,35444356.8306,251770564534.9873,251770564534.9873,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,,14.129799999999989,14.129799999999989
,AGO,RBU,ABS,RBU,unconditional,best,,-35%,,,2030,2030,80.28117500232331,125.77717500232332,AR4,SSP5BLREMMP,147.754,147.754,106.13527142857141,106.13527142857141,,0.996815653,0.996815653,38821196.294,38821196.294,306923716095.6907,306923716095.6907,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,,45.49600000000001,45.49600000000001
,AGO,RBU,ABS,RBU,conditional,best,,-27%,,,2025,2025,99.68773000602651,113.8175300060265,AR4,SSP5BLREMMP,141.6892,141.6892,106.13527142857141,106.13527142857141,,0.998179113,0.998179113,35444356.8306,35444356.8306,251770564534.9873,251770564534.9873,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,,14.129799999999989,14.129799999999989
,AGO,RBU,ABS,RBU,conditional,best,,-50%,,,2030,2030,51.364250003319,96.86025000331901,AR4,SSP5BLREMMP,147.754,147.754,106.13527142857141,106.13527142857141,,0.996815653,0.996815653,38821196.294,38821196.294,306923716095.6907,306923716095.6907,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,,45.49600000000001,45.49600000000001
,ALB,AEI,ABS,RBU,unconditional,best,2 tCO2eq/cap,,,,2050,2050,5.2137756174,4.870600317399999,AR4,SSP5BLREMMP,15.653976929244175,15.653976929244175,-0.3431753,-0.3431753,,0.694828965,0.694828965,2606887.8087,2606887.8087,100019214026.5508,100019214026.5508,YES,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,,-0.3431753,-0.3431753
,ALB,ABU,ABS,RBU,unconditional,best,-0.708 MtCO2eq_SAR,,,,2030,2030,5.659169203743953,5.315993903743952,AR4,SSP5BLREMMP,6.394476929244176,6.394476929244176,-0.3431753,-0.3431753,,0.645227375,0.645227375,2795919.7268,2795919.7268,49889629509.2241,49889629509.2241,YES,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,,-0.3431753,-0.3431753
,ALB,ABS,ABS,RBU,unconditional,best,5.449 MtCO2eq_SAR,,,,2030,2030,5.659169203743952,5.315993903743951,AR4,SSP5BLREMMP,6.394476929244176,6.394476929244176,-0.3431753,-0.3431753,,0.645227375,0.645227375,2795919.7268,2795919.7268,49889629509.2241,49889629509.2241,YES,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,,-0.3431753,-0.3431753
,ALB,RBU,ABS,RBU,unconditional,best,-11.5%,,,,2030,2030,5.919999399435433,5.576824099435433,AR4,SSP5BLREMMP,6.394476929244176,6.394476929244176,-0.3431753,-0.3431753,,0.645227375,0.645227375,2795919.7268,2795919.7268,49889629509.2241,49889629509.2241,YES,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,,-0.3431753,-0.3431753
,AND,ABU,ABS,ABU,unconditional,best,-0.19373 MtCO2eq_SAR,,,,2030,2030,0.33871527313806526,0.31776270170949383,AR4,SSP5BLREMMP,0.5335353843696946,0.5335353843696946,-0.020952571428571428,-0.020952571428571428,,0.96133757,0.96133757,79120.5,79120.5,,,YES,YES,YES,NO,NO,YES,NO,YES,YES,NO,YES,NO,NO,,-0.020952571428571428,-0.020952571428571428
