ISO3,CO2,CH4,N2O,HFCS,PFCS,SF6,NF3,IPC1,IPC2,IPCMAG,IPC4,IPC5,IPCMLULUCF,CO2_IPC1,CO2_IPC2,CO2_IPCMAG,CO2_IPC4,CO2_IPC5,CO2_IPCMLULUCF,CH4_IPC1,CH4_IPC2,CH4_IPCMAG,CH4_IPC4,CH4_IPC5,CH4_IPCMLULUCF,N2O_IPC1,N2O_IPC2,N2O_IPCMAG,N2O_IPC4,N2O_IPC5,N2O_IPCMLULUCF,HFCS_IPC2,PFCS_IPC2,SF6_IPC2,NF3_IPC2
DMA,YES,YES,YES,YES,NAN,NAN,NAN,YES,NAN,NAN,YES,NAN,NAN,YES,YES/NAN,YES/NAN,YES,YES/NAN,YES/NAN,YES,YES/NAN,YES/NAN,YES,YES/NAN,YES/NAN,YES,YES/NAN,YES/NAN,YES,YES/NAN,YES/NAN,YES/NAN,NAN,NAN,NAN
DNK,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES
DOM,YES,YES,YES,NAN,NAN,NAN,NAN,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,NAN/YES,NAN/YES,NAN/YES,NAN/YES
DZA,YES,YES,YES,NAN,NAN,NAN,NAN,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,NAN/YES,NAN/YES,NAN/YES,NAN/YES
ECU,YES,YES,YES,NAN,NAN,NAN,NAN,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,NAN/YES,NAN/YES,NAN/YES,NAN/YES
EGY,NAN,NAN,NAN,NAN,NAN,NAN,NAN,YES,YES,YES,YES,NAN,YES,NAN/YES,NAN/YES,NAN/YES,NAN/YES,NAN,NAN/YES,NAN/YES,NAN/YES,NAN/YES,NAN/YES,NAN,NAN/YES,NAN/YES,NAN/YES,NAN/YES,NAN/YES,NAN,NAN/YES,NAN/YES,NAN/YES,NAN/YES,NAN/YES
ERI,YES,YES,YES,NAN,NAN,NAN,NAN,YES,YES,NAN,YES,NAN,YES,YES,YES,YES/NAN,YES,YES/NAN,YES,YES,YES,YES/NAN,YES,YES/NAN,YES,YES,YES,YES/NAN,YES,YES/NAN,YES,NAN/YES,NAN/YES,NAN/YES,NAN/YES
ESP,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES
EST,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES
ETH,YES,YES,YES,NAN,NAN,NAN,NAN,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,NAN/YES,NAN/YES,NAN/YES,NAN/YES
FIN,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES
FJI,YES,YES,YES,NAN,NAN,NAN,NAN,YES,NAN,NAN,NAN,NAN,NAN,YES,YES/NAN,YES/NAN,YES/NAN,YES/NAN,YES/NAN,YES,YES/NAN,YES/NAN,YES/NAN,YES/NAN,YES/NAN,YES,YES/NAN,YES/NAN,YES/NAN,YES/NAN,YES/NAN,NAN,NAN,NAN,NAN
FRA,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES
FSM,YES,NAN,NAN,NAN,NAN,NAN,NAN,YES,NAN,NAN,NAN,NAN,NAN,YES,YES/NAN,YES/NAN,YES/NAN,YES/NAN,YES/NAN,NAN/YES,NAN,NAN,NAN,NAN,NAN,NAN/YES,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
GAB,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,NO/YES,NO/YES,NO/YES,NO/YES
GBR,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES
GEO,YES,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,NAN,NO,YES,YES,YES,YES,YES/NAN,YES/NO,YES,YES,YES,YES,YES/NAN,YES/NO,YES,YES,YES,YES,YES/NAN,YES/NO,YES,YES,YES,NAN/YES
GHA,YES,YES,YES,YES,NAN,NAN,NAN,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,NAN/YES,NAN/YES,NAN/YES
GIN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,YES,NO,YES,NO,NAN,YES,NAN/YES,NAN/NO,NAN/YES,NAN/NO,NAN,NAN/YES,NAN/YES,NAN/NO,NAN/YES,NAN/NO,NAN,NAN/YES,NAN/YES,NAN/NO,NAN/YES,NAN/NO,NAN,NAN/YES,NAN/NO,NAN/NO,NAN/NO,NAN/NO
