ISO3,CO2,CH4,N2O,HFCS,PFCS,SF6,NF3,IPC1,IPC2,IPCMAG,IPC4,IPC5,IPCMLULUCF,CO2_IPC1,CO2_IPC2,CO2_IPCMAG,CO2_IPC4,CO2_IPC5,CO2_IPCMLULUCF,CH4_IPC1,CH4_IPC2,CH4_IPCMAG,CH4_IPC4,CH4_IPC5,CH4_IPCMLULUCF,N2O_IPC1,N2O_IPC2,N2O_IPCMAG,N2O_IPC4,N2O_IPC5,N2O_IPCMLULUCF,HFCS_IPC2,PFCS_IPC2,SF6_IPC2,NF3_IPC2
ISR,YES,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,NAN,NAN,YES,YES,YES,YES,YES/NAN,YES/NAN,YES,YES,YES,YES,YES/NAN,YES/NAN,YES,YES,YES,YES,YES/NAN,YES/NAN,YES,YES,YES,NAN/YES
ITA,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES
JAM,YES,YES,YES,YES,NAN,NAN,NAN,YES,NAN,NAN,NAN,NAN,YES,YES,YES/NAN,YES/NAN,YES/NAN,YES/NAN,YES,YES,YES/NAN,YES/NAN,YES/NAN,YES/NAN,YES,YES,YES/NAN,YES/NAN,YES/NAN,YES/NAN,YES,YES/NAN,NAN,NAN,NAN
JOR,YES,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,NAN/YES
JPN,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES
KAZ,YES,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,NAN/YES
KEN,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES
KGZ,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES
KHM,YES,YES,YES,NAN,NAN,NAN,NAN,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,NAN/YES,NAN/YES,NAN/YES,NAN/YES
KIR,YES,NO,NO,NO,NO,NO,NO,YES,NAN,NAN,NAN,NAN,NO,YES,YES/NAN,YES/NAN,YES/NAN,YES/NAN,YES/NO,NO/YES,NO/NAN,NO/NAN,NO/NAN,NO/NAN,NO,NO/YES,NO/NAN,NO/NAN,NO/NAN,NO/NAN,NO,NO/NAN,NO/NAN,NO/NAN,NO/NAN
KNA,YES,NAN,NAN,NAN,NAN,NAN,NAN,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES/NAN,YES,NAN/YES,NAN/YES,NAN/YES,NAN/YES,NAN,NAN/YES,NAN/YES,NAN/YES,NAN/YES,NAN/YES,NAN,NAN/YES,NAN/YES,NAN/YES,NAN/YES,NAN/YES
KOR,YES,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,NAN/YES
KWT,NAN,NAN,NAN,NAN,NAN,NAN,NAN,YES,NAN,NAN,NAN,NAN,NAN,NAN/YES,NAN,NAN,NAN,NAN,NAN,NAN/YES,NAN,NAN,NAN,NAN,NAN,NAN/YES,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
LAO,NAN,NAN,NAN,NAN,NAN,NAN,NAN,YES,NAN,NAN,NAN,NAN,YES,NAN/YES,NAN,NAN,NAN,NAN,NAN/YES,NAN/YES,NAN,NAN,NAN,NAN,NAN/YES,NAN/YES,NAN,NAN,NAN,NAN,NAN/YES,NAN,NAN,NAN,NAN
LBN,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,NO/YES,NO/YES,NO/YES,NO/YES
LBR,YES,YES,YES,NAN,NAN,NAN,NAN,YES,NAN,NAN,YES,NAN,NAN,YES,YES/NAN,YES/NAN,YES,YES/NAN,YES/NAN,YES,YES/NAN,YES/NAN,YES,YES/NAN,YES/NAN,YES,YES/NAN,YES/NAN,YES,YES/NAN,YES/NAN,NAN,NAN,NAN,NAN
LBY,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
LCA,YES,YES,YES,NAN,NAN,NAN,NAN,YES,NAN,NAN,NAN,NAN,NO,YES,YES/NAN,YES/NAN,YES/NAN,YES/NAN,YES/NO,YES,YES/NAN,YES/NAN,YES/NAN,YES/NAN,YES/NO,YES,YES/NAN,YES/NAN,YES/NAN,YES/NAN,YES/NO,NAN,NAN,NAN,NAN
LIE,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES
LKA,YES,YES,YES,NAN,NAN,NAN,NAN,YES,YES,NAN,YES,NAN,YES,YES,YES,YES/NAN,YES,YES/NAN,YES,YES,YES,YES/NAN,YES,YES/NAN,YES,YES,YES,YES/NAN,YES,YES/NAN,YES,NAN/YES,NAN/YES,NAN/YES,NAN/YES
LSO,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,NO/YES,NO/YES,NO/YES,NO/YES
LTU,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES
LUX,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES
LVA,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES
MAC,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
MAR,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,NO/YES,NO/YES,NO/YES,NO/YES
MCO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES
MDA,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES
MDG,YES,YES,YES,NO,NO,NO,NO,YES,NAN,YES,YES,NAN,YES,YES,YES/NAN,YES,YES,YES/NAN,YES,YES,YES/NAN,YES,YES,YES/NAN,YES,YES,YES/NAN,YES,YES,YES/NAN,YES,NO/NAN,NO/NAN,NO/NAN,NO/NAN
MDV,YES,YES,NO,NAN,NAN,NO,NAN,YES,NAN,NAN,YES,NAN,NAN,YES,YES/NAN,YES/NAN,YES,YES/NAN,YES/NAN,YES,YES/NAN,YES/NAN,YES,YES/NAN,YES/NAN,NO/YES,NO/NAN,NO/NAN,NO/YES,NO/NAN,NO/NAN,NAN,NAN,NO/NAN,NAN
MEX,YES,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,NAN/YES
MHL,YES,YES,YES,NAN,NAN,NAN,NAN,YES,NAN,NAN,YES,NAN,NO,YES,YES/NAN,YES/NAN,YES,YES/NAN,YES/NO,YES,YES/NAN,YES/NAN,YES,YES/NAN,YES/NO,YES,YES/NAN,YES/NAN,YES,YES/NAN,YES/NO,NAN,NAN,NAN,NAN
MKD,YES,NAN,NAN,NAN,NAN,NAN,NAN,YES,NO,NO,NO,NAN,NO,YES,YES/NO,YES/NO,YES/NO,YES/NAN,YES/NO,NAN/YES,NAN/NO,NAN/NO,NAN/NO,NAN,NAN/NO,NAN/YES,NAN/NO,NAN/NO,NAN/NO,NAN,NAN/NO,NAN/NO,NAN/NO,NAN/NO,NAN/NO
MLI,YES,YES,YES,NAN,NAN,NAN,NAN,YES,NAN,YES,NAN,NAN,YES,YES,YES/NAN,YES,YES/NAN,YES/NAN,YES,YES,YES/NAN,YES,YES/NAN,YES/NAN,YES,YES,YES/NAN,YES,YES/NAN,YES/NAN,YES,NAN,NAN,NAN,NAN
MLT,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES
MMR,NAN,NAN,NAN,NAN,NAN,NAN,NAN,YES,NAN,NAN,NAN,NAN,YES,NAN/YES,NAN,NAN,NAN,NAN,NAN/YES,NAN/YES,NAN,NAN,NAN,NAN,NAN/YES,NAN/YES,NAN,NAN,NAN,NAN,NAN/YES,NAN,NAN,NAN,NAN
MNE,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NAN,NO,YES,YES,YES,YES,YES/NAN,YES/NO,YES,YES,YES,YES,YES/NAN,YES/NO,YES,YES,YES,YES,YES/NAN,YES/NO,YES,YES,YES,YES
MNG,YES,YES,YES,YES,NAN,NAN,NAN,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,NAN/YES,NAN/YES,NAN/YES
MOZ,YES,YES,YES,NAN,NAN,NAN,NAN,YES,NAN,NAN,YES,NAN,YES,YES,YES/NAN,YES/NAN,YES,YES/NAN,YES,YES,YES/NAN,YES/NAN,YES,YES/NAN,YES,YES,YES/NAN,YES/NAN,YES,YES/NAN,YES,NAN,NAN,NAN,NAN
