iso3,link,text,date
AUS,https://www.theguardian.com/australia-news/2020/sep/23/labor-commits-to-environmentally-sustainable-gas-development?utm_campaign=Carbon%20Brief%20Daily%20Briefing&utm_medium=email&utm_source=Revue%20newsletter,"Labor commits to 'environmentally sustainable' gas development",Sep 2020
CHN,https://www.bbc.com/news/science-environment-54256826?utm_campaign=Carbon%20Brief%20Daily%20Briefing&utm_medium=email&utm_source=Revue%20newsletter,"Climate change: China aims for 'carbon neutrality by 2060'",Sep 2020
CHN,https://www.carbonbrief.org/analysis-chinas-covid-stimulus-plans-for-fossil-fuels-three-times-larger-than-low-carbon?utm_campaign=Feed%3A%20carbonbrief%20%28The%20Carbon%20Brief%29&utm_medium=feed&utm_source=feedburner,"Analysis: China's Covid stimulus plans for fossil fuels three times larger than low-carbon: China's main energy-consuming and producing provinces are directing the equivalent of hundreds of billions of dollars into fossil fuel projects, analysis of spending plans reveals.",23~Sep 2020
DEU,https://www.germanwatch.org/de,"GERMANWATCH",
DEU,https://www.bmwi.de/Redaktion/DE/Pressemitteilungen/2020/09/20200923-altmaier-eeg-novelle-2021-klares-zukunftssignal-fuer-mehr-klimaschutz-und-mehr-erneuerbare.html,"Altmaier: 'EEG Novelle 2021 klares Zukunftssignal fuer mehr Klimaschutz und mehr Erneuerbare'",23~Sep 2020
DEU,https://www.klimareporter.de/,"klimareporter$^{\circ}$",
DEU,https://www.wissenschaft-aktuell.de/rubriken/Klima.html,"WISSENSCHAFT aktuell: Klima",
DEU,https://www.carbonbrief.org/analysis-how-far-would-germanys-2038-coal-phaseout-breach-paris-climate-goals?utm_campaign=Carbon%20Brief%20Daily%20Briefing&utm_medium=email&utm_source=Revue%20newsletter,"Analysis: How far would Germany's 2038 coal phaseout breach Paris climate goals?",29~Jan 2019
DEU,https://www.pik-potsdam.de/en/news/latest-news/germany-phases-out-coal-to-help-stabilize-our-climate?set_language=en,"Germany phases out coal to help stabilize our climate",27~Jan 2019
EARTH,https://www.climatewatchdata.org/ndcs-explore,"CLIMATEWATCH: Explore Nationally Determined Contributions (NDCs)",
EARTH,https://www.theguardian.com/environment/2019/jun/25/g20-nations-triple-coal-power-subsidies-climate-crisis?fbclid=IwAR2MSGON9If9HtR70LiczWe6e1l4PHWW9CrfTpMy0KqVv3N-p13iHwZslvs,"G20 countries triple coal power subsidies despite climate crisis",25~Jun 2019
EARTH,https://www.c2es.org/document/greenhouse-gas-emissions-from-aviation-and-marine-transportation-mitigation-potential-and-policies/,"Greenhouse Gas Emissions from Aviation and Marine Transportation: Mitigation Potential and Policies",Dec 2009
