cat,IPCM0EL
category,IPC2
clss,TOTAL
ent,FGASES
family,emi
gwp,AR4
note,Scenario based on RCPSSP IAM scenario dowscaled to country level using GDP data from SSP scenarios. For methodology see Guetschow et al. 2017Check info_per_country.csv for further information.
scen,SSP3BLAIMCGEFILLED
srce,PMSSPBIE
tablename,FGASES_IPCM0EL_TOTAL_NET_SSP3BLAIMCGEFILLED_PMSSPBIE
tpe,NET
unit,MtCO2eq
ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
BEL,3.945,3.9262,4.4625,4.3095,5.1056,5.5453,5.4134,2.7794,2.013,1.5265,1.7353,1.643,1.6802,2.0138,2.2026,2.0749,2.2014,2.4487,2.6131,2.6722,2.7594,2.9995,3.1689,3.3275,3.2955,3.2788,3.5897,3.0657,3.6839999999999997,3.8146,3.9103,3.9871,4.0654,4.1455,4.2279,4.3131,4.4008,4.4908,4.5831,4.6783,4.7765,4.8775,4.9804,5.0844,5.1887,5.2925,5.3966,5.5017,5.607,5.7117,5.815,5.9165,6.0167,6.1158,6.2138,6.3111,6.4073,6.5025,6.5966,6.6899,6.7823
BGR,0.0037007,0.0039171,0.004152,0.0044041,0.005732,0.0082408,0.011048,0.014797,0.020909999999999998,0.027779,0.039564,0.05259199999999999,0.068615,0.09148099999999999,0.1281,0.20337,0.30564,0.39466,0.63507,0.64868,0.68187,0.7697,0.8392799999999999,0.9888299999999999,1.1249,1.2402,1.4188,1.8354,1.6627,1.7683,1.8519,1.9205,1.9884,2.0553,2.121,2.1852,2.2484,2.3109,2.3723,2.432,2.4897,2.5451,2.5986,2.6502,2.7003,2.7489,2.7964,2.8429,2.8884,2.9328,2.9762,3.0180000000000002,3.0582,3.0976,3.1368,3.1768,3.217,3.2568,3.2965,3.3367,3.3778
BHR,3.009,0.46063000000000004,0.50455,0.5785899999999999,0.38831,0.36243000000000003,0.34731,0.34279,0.32352,0.29774,0.27393,0.25317,0.2234,0.22901999999999997,0.22903,0.32331,0.3754,0.37238000000000004,0.37238000000000004,0.36216,0.37167,0.34972,0.35429,0.35886,0.36343000000000003,0.368,0.37258,0.37715,0.40709,0.44469,0.48468999999999995,0.5270699999999999,0.57112,0.6166699999999999,0.6634800000000001,0.7113,0.7599899999999999,0.8096800000000001,0.8604799999999999,0.9125200000000001,0.9659399999999999,1.0209,1.0775,1.1354,1.1947,1.255,1.3162,1.3777,1.4395,1.5013,1.5628,1.6242,1.6858,1.7478,1.8103,1.8735,1.9364,1.9982,2.0596,2.1209,2.1827
BIH,0.7318100000000001,0.64284,0.40038,0.19460999999999998,0.12650999999999998,0.1142,0.11045,0.15327000000000002,0.23168000000000002,0.44918,0.48191999999999996,0.38833,0.32104,0.41065,0.5380699999999999,0.65766,0.7266199999999999,0.79057,0.8741399999999999,0.9144700000000001,1.0189,1.0233,1.084,1.1447,1.2054,1.2661,1.3268,1.3875,1.4571,1.5414,1.6092,1.6671,1.7269,1.7872,1.847,1.9053,1.9622,2.0184,2.0738,2.1282,2.1815,2.2334,2.2839,2.3329,2.3805,2.4266,2.4719,2.5164,2.5596,2.6011,2.6404,2.6778,2.7134,2.7473,2.7791,2.8088,2.8363,2.8619,2.8859,2.9085,2.9299
BLR,0.0034170999999999997,0.0039417,0.0050083,0.0085617,0.013294,0.025580000000000002,0.042041,0.063291,0.091201,0.12047999999999999,0.15216,0.19095,0.23839000000000002,0.30295,0.41293,0.53665,0.58222,0.65975,0.7379,0.78088,0.86205,0.88846,0.9513299999999999,1.0141,1.0767,1.1395,1.2025,1.2654,1.2753,1.3187,1.3599,1.3988,1.4357,1.4708,1.5042,1.536,1.5664,1.5959,1.6249,1.6538,1.6833,1.7132,1.7431,1.7732,1.8036,1.8344,1.865,1.8947,1.9240000000000002,1.9533,1.9828,2.0128,2.0434,2.0746,2.1068,2.1399,2.1732,2.2051,2.2353,2.2634,2.2891
BOL,0.010872,0.011327,0.01269,0.014962999999999999,0.018144,4.8929,15.6127,26.3316,31.2036,29.4869,25.8084,17.6362,11.4257,14.6509,24.6229,28.5871,30.4793,32.3715,34.2637,36.156,38.0482,39.9404,41.8326,43.7248,45.6171,47.5093,49.4015,51.2937,51.6502,52.6258,53.703,54.8971,56.1706,57.4872,58.8133,60.1181,61.3808,62.5843,63.7064,64.7267,65.6267,66.4229,67.1494,67.8144,68.4254,68.9891,69.5055,69.9717,70.3899,70.7622,71.0908,71.3971,71.6921,71.9625,72.196,72.381,72.5073,72.5652,72.5449,72.4373,72.234
BRA,4.4534,4.9775,5.5482,5.5625,5.3351,5.0429,4.1384,3.6606,2.8407,3.9608,2.4039,2.5322,3.0860000000000003,3.4315,4.0885,4.3989,5.7938,6.5701,7.3337,7.5309,8.9505,8.2684,9.1336,9.9363,10.7097,11.5679,12.0482,12.6931,14.0377,14.804,15.5738,16.35,17.1384,17.9311,18.7196,19.4947,20.2493,20.9774,21.6712,22.3228,22.9243,23.4845,24.0162,24.5184,24.9903,25.4318,25.8445,26.2284,26.5817,26.9029,27.1904,27.4541,27.7003,27.9222,28.1134,28.2679,28.381,28.4513,28.4775,28.4588,28.3947
BRN,5.599e-05,0.00013938,0.00031849,0.0012067,0.0026447,0.0055402,0.016551,0.028172000000000003,0.040987,0.061148,0.11348,0.14427,0.17851,0.21683000000000002,0.25584,0.29425,0.33598,0.37381,0.41163999999999995,0.45077,0.4899,0.51313,0.54883,0.58454,0.62025,0.65595,0.69166,0.72736,0.75252,0.74143,0.72872,0.71435,0.69905,0.68379,0.6692899999999999,0.65609,0.64349,0.63092,0.61892,0.60797,0.59844,0.59012,0.58234,0.57476,0.56711,0.55912,0.5506,0.5414899999999999,0.53177,0.52141,0.5104,0.49898000000000003,0.48744,0.47584,0.46421999999999997,0.4526,0.44064,0.42801999999999996,0.41481,0.40105,0.38681
CAN,11.7547,12.7753,10.9659,10.5361,9.9206,9.0829,9.0811,9.3239,10.4538,9.941,10.6425,9.7642,10.0861,10.1216,10.4473,10.3549,9.8791,9.2972,9.3242,9.6932,10.0891,10.7052,11.3186,11.4908,11.5932,12.4776,13.2604,13.725,14.3767,14.955,15.3734,15.6906,15.9948,16.2946,16.5987,16.9159,17.2408,17.5672,17.9027,18.255,18.6322,19.0343,19.454,19.889,20.3367,20.7947,21.2681,21.7602,22.2654,22.778000000000002,23.291999999999998,23.8082,24.3292,24.8519,25.373,25.8896,26.4026,26.9132,27.4186,27.9159,28.4019
CHE,0.25679,0.24253000000000002,0.24084,0.19094,0.21036999999999997,0.35646,0.40819,0.50744,0.63413,0.7008800000000001,0.83191,0.9130799999999999,1.0149,1.1437,1.2647,1.3011,1.4048,1.4780000000000002,1.5346,1.4896,1.4984,1.5791,1.6998,1.7127,1.7524,1.7945,1.7167,1.7395,1.9466,2.0426,2.119,2.1841,2.2497,2.3156,2.3814,2.447,2.5121,2.577,2.6422,2.7084,2.7762,2.8447,2.9131,2.9819999999999998,3.0521,3.1243,3.1987,3.2752,3.3534,3.4335,3.5151,3.5982,3.6827,3.7685,3.8557,3.9442,4.0341,4.1251,4.2169,4.3091,4.4014
