cat,IPCM0EL
category,IPC2
clss,TOTAL
ent,FGASES
family,emi
gwp,AR4
note,Scenario based on RCPSSP IAM scenario dowscaled to country level using GDP data from SSP scenarios. For methodology see Guetschow et al. 2017Check info_per_country.csv for further information.
scen,SSP2BLMESGBFILLED
srce,PMSSPBIE
tablename,FGASES_IPCM0EL_TOTAL_NET_SSP2BLMESGBFILLED_PMSSPBIE
tpe,NET
unit,MtCO2eq
ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
BEL,3.945,3.9262,4.4625,4.3095,5.1056,5.5453,5.4134,2.7794,2.013,1.5265,1.7353,1.643,1.6802,2.0138,2.2026,2.0749,2.2014,2.4487,2.6131,2.6722,2.7594,2.9995,3.1689,3.3275,3.2955,3.2788,3.5897,3.0657,3.638,3.7527,3.8717,3.9947,4.1193,4.2463,4.3762,4.5097,4.648,4.7922,4.9432,5.1017,5.2685,5.4447,5.6298,5.8227,6.0218,6.2259,6.4349,6.649,6.867000000000001,7.0877,7.3095,7.5332,7.7602,7.9903,8.2233,8.4591,8.6973,8.9376,9.1796,9.4228,9.6667
BGR,0.0037007,0.0039171,0.004152,0.0044041,0.005732,0.0082408,0.011048,0.014797,0.020909999999999998,0.027779,0.039564,0.05259199999999999,0.068615,0.09148099999999999,0.1281,0.20337,0.30564,0.39466,0.63507,0.64868,0.68187,0.7697,0.8392799999999999,0.9888299999999999,1.1249,1.2402,1.4188,1.8354,1.6321,1.7201,1.8052,1.8872,1.9692,2.0512,2.1333,2.2157,2.2991,2.384,2.4703,2.5579,2.6469,2.7373,2.8293,2.9221,3.0153,3.1084,3.201,3.2932,3.3845,3.4744,3.5624,3.6487,3.7338,3.818,3.9017,3.985,4.0677,4.1494,4.2302,4.3102,4.3896
BHR,3.009,0.46063000000000004,0.50455,0.5785899999999999,0.38831,0.36243000000000003,0.34731,0.34279,0.32352,0.29774,0.27393,0.25317,0.2234,0.22901999999999997,0.22903,0.32331,0.3754,0.37238000000000004,0.37238000000000004,0.36216,0.37167,0.34972,0.35429,0.35886,0.36343000000000003,0.368,0.37258,0.37715,0.42144,0.47131999999999996,0.51977,0.56731,0.61511,0.66319,0.71159,0.76034,0.80982,0.8608,0.91405,0.9704,1.0308,1.0953,1.1635,1.2351,1.3095,1.3865,1.466,1.5479,1.632,1.7182,1.8062,1.8962,1.989,2.0845,2.1829,2.2841,2.3876,2.4928,2.6002,2.7101,2.8231
BIH,0.7318100000000001,0.64284,0.40038,0.19460999999999998,0.12650999999999998,0.1142,0.11045,0.15327000000000002,0.23168000000000002,0.44918,0.48191999999999996,0.38833,0.32104,0.41065,0.5380699999999999,0.65766,0.7266199999999999,0.79057,0.8741399999999999,0.9144700000000001,1.0189,1.0233,1.084,1.1447,1.2054,1.2661,1.3268,1.3875,1.4242,1.4859,1.5461,1.6054,1.6661,1.7271,1.7875,1.8464,1.9043,1.9623,2.0204,2.0786,2.1373,2.1964,2.2558,2.315,2.3736,2.4312,2.4879,2.5436,2.5975,2.6489,2.6968,2.742,2.7854,2.8264,2.8646,2.8996,2.9316,2.9609,2.9875,3.0113,3.0324
BLR,0.0034170999999999997,0.0039417,0.0050083,0.0085617,0.013294,0.025580000000000002,0.042041,0.063291,0.091201,0.12047999999999999,0.15216,0.19095,0.23839000000000002,0.30295,0.41293,0.53665,0.58222,0.65975,0.7379,0.78088,0.86205,0.88846,0.9513299999999999,1.0141,1.0767,1.1395,1.2025,1.2654,1.3344,1.4267,1.5019999999999998,1.5634,1.6183,1.6680000000000001,1.7138,1.757,1.7984,1.8387,1.8799,1.9236,1.9716,2.0237,2.0779,2.134,2.1914,2.2498,2.3086,2.3672,2.4255,2.4832,2.54,2.5957,2.6508,2.7055,2.7599,2.8142,2.8687,2.9234,2.9785,3.0342,3.0906
BOL,0.010872,0.011327,0.01269,0.014962999999999999,0.018144,4.8929,15.6127,26.3316,31.2036,29.4869,25.8084,17.6362,11.4257,14.6509,24.6229,28.5871,30.4793,32.3715,34.2637,36.156,38.0482,39.9404,41.8326,43.7248,45.6171,47.5093,49.4015,51.2937,51.9462,52.6849,52.9276,52.8058,52.5,52.0604,51.527,50.9319,50.3231,49.7442,49.214,48.7473,48.3558,48.0093,47.6707,47.3386,47.0112,46.6866,46.36600000000001,46.0486,45.7295,45.4042,45.0685,44.7491,44.4583,44.1723,43.8707,43.5357,43.1576,42.7279,42.2343,41.6664,41.016000000000005
BRA,4.4534,4.9775,5.5482,5.5625,5.3351,5.0429,4.1384,3.6606,2.8407,3.9608,2.4039,2.5322,3.0860000000000003,3.4315,4.0885,4.3989,5.7938,6.5701,7.3337,7.5309,8.9505,8.2684,9.1336,9.9363,10.7097,11.5679,12.0482,12.6931,15.1068,16.8353,18.3843,19.7393,20.9548,22.0487,23.041,23.9522,24.7938,25.5786,26.3289,27.0654,27.8079,28.5399,29.2352,29.8972,30.5293,31.1346,31.7118,32.2572,32.7695,33.2469,33.6874,34.1076,34.5156,34.8972,35.2388,35.5275,35.7479,35.8886,35.9437,35.9077,35.775999999999996
BRN,5.599e-05,0.00013938,0.00031849,0.0012067,0.0026447,0.0055402,0.016551,0.028172000000000003,0.040987,0.061148,0.11348,0.14427,0.17851,0.21683000000000002,0.25584,0.29425,0.33598,0.37381,0.41163999999999995,0.45077,0.4899,0.51313,0.54883,0.58454,0.62025,0.65595,0.69166,0.72736,0.80937,0.84491,0.8668799999999999,0.87897,0.88708,0.8928200000000001,0.89755,0.9024200000000001,0.90735,0.9121299999999999,0.9175399999999999,0.92427,0.93296,0.9431299999999999,0.95376,0.9646399999999999,0.97557,0.9863799999999999,0.9970100000000001,1.0075,1.018,1.0284,1.0389,1.0491,1.0589,1.0686,1.0785,1.0889,1.0995,1.1102,1.1211,1.1321,1.1435
CAN,11.7547,12.7753,10.9659,10.5361,9.9206,9.0829,9.0811,9.3239,10.4538,9.941,10.6425,9.7642,10.0861,10.1216,10.4473,10.3549,9.8791,9.2972,9.3242,9.6932,10.0891,10.7052,11.3186,11.4908,11.5932,12.4776,13.2604,13.725,14.1855,14.6891,15.1862,15.6711,16.1411,16.6032,17.0647,17.5332,18.0094,18.4933,18.9913,19.5103,20.0575,20.635,21.2376,21.8618,22.504,23.1601,23.8299,24.5131,25.2054,25.9023,26.5992,27.2993,28.0076,28.7225,29.4423,30.1654,30.8912,31.6189,32.3466,33.0722,33.7937
CHE,0.25679,0.24253000000000002,0.24084,0.19094,0.21036999999999997,0.35646,0.40819,0.50744,0.63413,0.7008800000000001,0.83191,0.9130799999999999,1.0149,1.1437,1.2647,1.3011,1.4048,1.4780000000000002,1.5346,1.4896,1.4984,1.5791,1.6998,1.7127,1.7524,1.7945,1.7167,1.7395,1.9409999999999998,2.0476,2.1561,2.266,2.3764,2.4877,2.6005,2.7152,2.8318,2.9506,3.0728,3.1994,3.332,3.4701,3.613,3.761,3.9146,4.0744,4.2405,4.4125,4.5898,4.7719,4.9579,5.1489,5.346,5.5487,5.7565,5.968999999999999,6.1863,6.4087,6.6353,6.8651,7.097
