cat,IPCMLULUCF
clss,TOTAL
ent,CO2
family,emi
gwp,AR4
note,calculated by the function combine_tables_varying_in_one_sheet_as by CC and JN from PRIMAP
scen,HISTORY
srce,BUR3IPCC2006I
tablename,CO2_IPCMLULUCF_TOTAL_NET_HISTORY_BUR3IPCC2006I
tpe,NET
unit,MtCO2eq
ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
AND,-0.13001,nan,nan,nan,nan,-0.13072,nan,nan,nan,nan,-0.11408,nan,nan,nan,nan,-0.11622,nan,nan,nan,nan,-0.13660999999999998,-0.13576,-0.13587,-0.13526,-0.13527,-0.13538,-0.13545,-0.1356
NAM,nan,nan,nan,nan,-87.9239,-89.7312,-91.5558,-93.3978,-95.2569,-97.1334,-99.3315,-99.2657,-103.7401,-104.1819,-106.0028,-103.7763,-100.1725,-97.4085,-106.0304,-94.1805,-98.4179,-95.679,-94.7162,-112.5945,-109.6649,nan,nan,nan
