add_info,iso3,tar_type_used,tar_type_reclass,tar_type_main,condi,rge,ndc_value_exclLU,ndc_value_inclLU,ndc_strengthen_tar,int_ref,refyr,taryr,tar_emi_exclLU,tar_emi_inclLU,gwp,scenario,emi_bl_exclLU_refyr,emi_bl_exclLU_taryr,emi_bl_onlyLU_refyr,emi_bl_onlyLU_taryr,pc_cov_set_to_100,pc_cov_exclLU_refyr,pc_cov_exclLU_taryr,pop_refyr,pop_taryr,gdp_refyr,gdp_taryr,CO2,CH4,N2O,HFCS,PFCS,SF6,NF3,energy,ippu,agriculture,waste,other,lulucf,lulucf_tar_2030_fyson2019
,,,,,,,,,,,,,MtCO2eq,MtCO2eq,,,MtCO2eq (AR4),MtCO2eq (AR4),MtCO2eq (AR4),MtCO2eq (AR4),,%,%,Pers,Pers,2011GKD,2011GKD,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,MtCO2eq
,AFG,ABU,ABS,RBU,conditional,best,-1.372950 MtCO2eq_SAR,-1.372940 MtCO2eq_SAR,,,2025,2025,43.37449578851031,55.76012073107704,AR4,SSP1BLIMAGE,44.85218844341937,44.85218844341937,12.38562494256675,12.38562494256675,,1.0,1.0,42705370.4131,42705370.4131,110605023381.172,110605023381.172,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,
,AFG,ABU,ABS,RBU,conditional,best,-6.239540 MtCO2eq_SAR,-6.239540 MtCO2eq_SAR,,,2030,2030,45.95759231189554,58.975010375375774,AR4,SSP1BLIMAGE,52.67314817919682,52.67314817919682,13.017418063480234,13.017418063480234,,0.9999974533193436,0.9999974533193436,46573700.5984,46573700.5984,154202034247.3272,154202034247.3272,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,
,AFG,ABS,ABS,RBU,conditional,best,40.3 MtCO2eq_SAR,51.807700 MtCO2eq_SAR,,,2025,2025,43.3744957885103,55.76012073107705,AR4,SSP1BLIMAGE,44.85218844341937,44.85218844341937,12.38562494256675,12.38562494256675,,1.0,1.0,42705370.4131,42705370.4131,110605023381.172,110605023381.172,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,
,AFG,ABS,ABS,RBU,conditional,best,42.7 MtCO2eq_SAR,54.794710 MtCO2eq_SAR,,,2030,2030,45.95759231189553,58.97501037537577,AR4,SSP1BLIMAGE,52.67314817919682,52.67314817919682,13.017418063480234,13.017418063480234,,0.9999974533193436,0.9999974533193436,46573700.5984,46573700.5984,154202034247.3272,154202034247.3272,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,
,AFG,RBU,ABS,RBU,conditional,best,-3.3%,-2.6%,,,2025,2025,43.37206622478653,55.749630237950484,AR4,SSP1BLIMAGE,44.85218844341937,44.85218844341937,12.38562494256675,12.38562494256675,Yes (not lulucf),1.0,1.0,42705370.4131,42705370.4131,110605023381.172,110605023381.172,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,
,AFG,RBU,ABS,RBU,conditional,best,-13.6%,-10.2%,,,2030,2030,45.50960002682606,58.99012848592399,AR4,SSP1BLIMAGE,52.67314817919682,52.67314817919682,13.017418063480234,13.017418063480234,Yes (not lulucf),1.0,1.0,46573700.5984,46573700.5984,154202034247.3272,154202034247.3272,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,
,AGO,ABU,ABS,RBU,unconditional,best,,-31.163 MtCO2eq_AR4,,,2025,2025,82.4602,124.65599999999999,AR4,SSP1BLIMAGE,113.6232,113.6232,42.19579999999999,42.19579999999999,,0.9974556252596299,0.9974556252596299,35348664.5688,35348664.5688,236785756857.0,236785756857.0,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,
,AGO,ABU,ABS,RBU,unconditional,best,,-67.638 MtCO2eq_AR4,,,2030,2030,33.94029999999999,125.612,AR4,SSP1BLIMAGE,101.5783,101.5783,91.6717,91.6717,,0.9951830262959708,0.9951830262959708,38672284.8281,38672284.8281,270979138897.0576,270979138897.0576,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,
,AGO,ABU,ABS,RBU,conditional,best,,-42.071 MtCO2eq_AR4,,,2025,2025,71.5522,113.74799999999999,AR4,SSP1BLIMAGE,113.6232,113.6232,42.19579999999999,42.19579999999999,,0.9974556252596299,0.9974556252596299,35348664.5688,35348664.5688,236785756857.0,236785756857.0,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,
,AGO,ABU,ABS,RBU,conditional,best,,-96.625 MtCO2eq_AR4,,,2030,2030,4.953299999999999,96.625,AR4,SSP1BLIMAGE,101.5783,101.5783,91.6717,91.6717,,0.9951830262959708,0.9951830262959708,38672284.8281,38672284.8281,270979138897.0576,270979138897.0576,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,
,AGO,ABS,ABS,RBU,unconditional,best,,124.656 MtCO2eq_AR4,,,2025,2025,82.46020000000001,124.656,AR4,SSP1BLIMAGE,113.6232,113.6232,42.19579999999999,42.19579999999999,,0.9974556252596299,0.9974556252596299,35348664.5688,35348664.5688,236785756857.0,236785756857.0,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,
,AGO,ABS,ABS,RBU,unconditional,best,,125.612 MtCO2eq_AR4,,,2030,2030,33.94029999999999,125.612,AR4,SSP1BLIMAGE,101.5783,101.5783,91.6717,91.6717,,0.9951830262959708,0.9951830262959708,38672284.8281,38672284.8281,270979138897.0576,270979138897.0576,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,
,AGO,ABS,ABS,RBU,conditional,best,,113.748 MtCO2eq_AR4,,,2025,2025,71.55220000000001,113.748,AR4,SSP1BLIMAGE,113.6232,113.6232,42.19579999999999,42.19579999999999,,0.9974556252596299,0.9974556252596299,35348664.5688,35348664.5688,236785756857.0,236785756857.0,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,
,AGO,ABS,ABS,RBU,conditional,best,,96.625 MtCO2eq_AR4,,,2030,2030,4.953299999999999,96.625,AR4,SSP1BLIMAGE,101.5783,101.5783,91.6717,91.6717,,0.9951830262959708,0.9951830262959708,38672284.8281,38672284.8281,270979138897.0576,270979138897.0576,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,
,AGO,RBU,ABS,RBU,unconditional,best,,-20%,,,2025,2025,82.4594,124.6552,AR4,SSP1BLIMAGE,113.6232,113.6232,42.19579999999999,42.19579999999999,Yes (not lulucf),1.0,1.0,35348664.5688,35348664.5688,236785756857.0,236785756857.0,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,
