,r,g,b
IPC1,0,0,0.5
IPC2,0.7,0,0.8
IPCMAG,0.3,0.6,1
IPC4,0.6,0.3,0.4
IPC5,0.6,0.7,0.8
IPCMLULUCF,0,0.4,0
IPCM0EL,0.5,0.5,0.5
IPC0,0.2,0.2,0.2
IPC1A,0.2,0.6,0.5
IPC1B,0.1,0.3,0.8
IPC1B1,0.2,0.2,0.5
IPC1B2,0.5,0.7,0.7
IPC1B3,0.3,0,1
IPCMAGELV,0,0.4,0.2
IPC3A,0.5,0.2,0.7
