,r,g,b
SSP1BLIMAGE,0,0.7,1
SSP2BLMESGB,0.4,0.4,1
SSP3BLAIMCGE,0.7,0,0
SSP4BLGCAM4,1,0.4,1
SSP5BLREMMP,1,0.4,0
